round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2630671105940872,0.34207764952780695,326.0,953.0,98.0,0.0,0.5066666666666667,0.5066666666666667,0.6377777777777778,0.8133333333333334,0.6624444444444445,0.92,0.6736084656084657,1.0,0.3877551020408163,0.16751269035532995,66.0,1.5957446808510638,0.2837896540471148,0.19618935515924568,0.0
1,0.2755826547394601,0.32065775950668035,312.0,973.0,98.0,0.0,0.5375,0.5375,0.6333333333333333,0.75,0.6702083333333333,0.9125,0.6820238095238096,1.0,0.4387755102040816,0.203125,78.0,,,,0.0
2,0.2878976292671186,0.31551901336073995,307.0,973.0,98.0,0.0,0.5308641975308642,0.5308641975308642,0.6502057613168724,0.8024691358024691,0.6705761316872427,0.8888888888888888,0.6848030570252792,1.0,0.4387755102040816,0.21428571428571427,72.0,,,,0.0
3,0.3001724898712343,0.3122448979591837,306.0,980.0,98.0,0.0,0.4567901234567901,0.4567901234567901,0.5761316872427984,0.7283950617283951,0.5958847736625515,0.8148148148148148,0.6223495982755243,1.0,0.37755102040816324,0.19298245614035087,66.0,,,,0.0
4,0.31000040113923544,0.25,245.0,980.0,98.0,0.0,0.44155844155844154,0.44155844155844154,0.5108225108225107,0.6103896103896104,0.5517316017316019,0.7922077922077922,0.5807462378890951,1.0,0.3469387755102041,0.22492401215805471,74.0,,,,0.0
5,0.3180632997713506,0.2070030895983522,201.0,971.0,98.0,0.0,0.2916666666666667,0.2916666666666667,0.4166666666666667,0.5833333333333334,0.4673611111111111,0.8055555555555556,0.49364528218694886,1.0,0.21428571428571427,0.20909090909090908,69.0,,,,0.0
6,0.32516346423843717,0.18153846153846154,177.0,975.0,98.0,0.0,0.36923076923076925,0.36923076923076925,0.5051282051282051,0.676923076923077,0.5305128205128206,0.7846153846153846,0.5583211233211234,1.0,0.24489795918367346,0.22006472491909385,68.0,,,,0.0
7,0.3337879578001524,0.2193877551020408,215.0,980.0,98.0,0.0,0.379746835443038,0.379746835443038,0.45780590717299585,0.569620253164557,0.5065400843881859,0.7848101265822784,0.5360608800482218,1.0,0.30612244897959184,0.1794871794871795,56.0,,,,0.0
8,0.3425327931324963,0.22244897959183674,218.0,980.0,98.0,0.0,0.38571428571428573,0.38571428571428573,0.4857142857142857,0.6142857142857143,0.5135714285714286,0.7428571428571429,0.547420634920635,1.0,0.2755102040816326,0.1893687707641196,57.0,,,,0.0
9,0.3503550082233543,0.2,195.0,975.0,98.0,0.0,0.4861111111111111,0.4861111111111111,0.5509259259259259,0.6388888888888888,0.5807870370370369,0.7638888888888888,0.613205467372134,1.0,0.35714285714285715,0.20689655172413793,60.0,,,,0.0
10,0.3573348309198123,0.18012422360248448,174.0,966.0,98.0,0.0,0.328125,0.328125,0.4401041666666667,0.59375,0.48072916666666665,0.765625,0.5108196924603174,1.0,0.21428571428571427,0.21830985915492956,62.0,1.5204081632653061,0.2020021856726963,0.44023188017496356,0.0
11,0.36343214729832723,0.15510204081632653,152.0,980.0,98.0,0.0,0.3181818181818182,0.3181818181818182,0.46212121212121204,0.6515151515151515,0.5037878787878788,0.8333333333333334,0.5260882635882635,1.0,0.21428571428571427,0.21201413427561838,60.0,,,,0.0
12,0.371053792771471,0.19527235354573483,190.0,973.0,98.0,0.0,0.4032258064516129,0.4032258064516129,0.49731182795698925,0.6129032258064516,0.5344086021505376,0.7741935483870968,0.5655593958013313,1.0,0.25510204081632654,0.21908127208480566,62.0,,,,0.0
13,0.3782742990091861,0.18518518518518517,180.0,972.0,98.0,0.0,0.35384615384615387,0.35384615384615387,0.4871794871794872,0.6461538461538462,0.5164102564102564,0.7692307692307693,0.5496520146520147,1.0,0.23469387755102042,0.23134328358208955,62.0,,,,0.0
14,0.3836495647639296,0.1391484942886812,134.0,963.0,98.0,0.0,0.36065573770491804,0.36065573770491804,0.45901639344262296,0.5901639344262295,0.48606557377049175,0.7213114754098361,0.5193533697632058,1.0,0.22448979591836735,0.23484848484848486,62.0,,,,0.0
15,0.38830277989490153,0.11946446961894953,116.0,971.0,98.0,0.0,0.3877551020408163,0.3877551020408163,0.4965986394557823,0.6326530612244898,0.5282312925170068,0.7755102040816326,0.5576206673145448,1.0,0.19387755102040816,0.2222222222222222,62.0,,,,0.0
16,0.3930362228729592,0.12102564102564102,118.0,975.0,98.0,0.0,0.2692307692307692,0.2692307692307692,0.38782051282051283,0.5384615384615384,0.432051282051282,0.7307692307692307,0.4663690476190476,1.0,0.14285714285714285,0.21453287197231835,62.0,,,,0.0
17,0.39776966585101686,0.12127440904419322,118.0,973.0,98.0,0.0,0.2777777777777778,0.2777777777777778,0.38580246913580246,0.5370370370370371,0.42098765432098767,0.6851851851851852,0.46394767783656676,1.0,0.15306122448979592,0.20202020202020202,60.0,,,,0.0
18,0.40170083035821735,0.10030706243602866,98.0,977.0,98.0,0.0,0.28846153846153844,0.28846153846153844,0.4006410256410256,0.5192307692307693,0.44583333333333336,0.7307692307692307,0.47989926739926736,1.0,0.15306122448979592,0.21806853582554517,70.0,,,,0.0
19,0.404990172088732,0.08436213991769548,82.0,972.0,98.0,0.0,0.4318181818181818,0.4318181818181818,0.5265151515151515,0.6590909090909091,0.5458333333333333,0.75,0.5800054112554113,1.0,0.19387755102040816,0.16707616707616707,68.0,,,,0.0
20,0.40735689357776084,0.06020408163265306,59.0,980.0,98.0,0.0,0.4864864864864865,0.4864864864864865,0.5990990990990991,0.7297297297297297,0.6261261261261261,0.8378378378378378,0.6471364221364222,1.0,0.1836734693877551,0.16984732824427481,89.0,1.53125,0.17021993947795988,0.2302145132830281,0.0
21,0.4085603112840467,0.030706243602865915,30.0,977.0,98.0,0.0,0.2,0.2,0.26,0.36,0.31799999999999995,0.6,0.36938095238095237,1.0,0.05102040816326531,0.16727272727272727,92.0,,,,0.0
