round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25303914288745094,0.030947775628626693,144.0,4653.0,515.0,0.0,0.40229885057471265,0.40229885057471265,0.4827586206896552,0.5977011494252874,0.5206896551724138,0.7701149425287356,0.5499407042510491,1.0,0.06796116504854369,0.1598375784422296,433.0,2.3140495867768593,0.15811030390714004,0.01303824263306977,0.0
1,0.2559244722605283,0.028746565208201225,136.0,4731.0,515.0,0.0,0.49382716049382713,0.49382716049382713,0.5967078189300411,0.7160493827160493,0.633127572016461,0.8765432098765432,0.6498432294728592,1.0,0.07766990291262135,0.16357142857142856,458.0,,,,0.0
2,0.2585552137477458,0.026083298275136727,124.0,4754.0,515.0,0.0,0.4177215189873418,0.4177215189873418,0.510548523206751,0.620253164556962,0.5573839662447257,0.8354430379746836,0.5792294554952783,1.0,0.06407766990291262,0.1664145234493192,440.0,,,,0.0
3,0.2604646228916941,0.019455252918287938,90.0,4626.0,515.0,0.0,0.3709677419354839,0.3709677419354839,0.48655913978494625,0.6290322580645161,0.50752688172043,0.7258064516129032,0.5441244239631337,1.0,0.04466019417475728,0.16492241068206423,457.0,,,,0.0
4,0.2628407764930519,0.023633677991137372,112.0,4739.0,515.0,0.0,0.3472222222222222,0.3472222222222222,0.4444444444444444,0.5833333333333334,0.46736111111111117,0.6805555555555556,0.5075507054673722,1.0,0.04854368932038835,0.16459510357815443,437.0,,,,0.0
5,0.2654290866659595,0.02577101816645543,122.0,4734.0,515.0,0.0,0.4794520547945205,0.4794520547945205,0.5639269406392695,0.6712328767123288,0.5988584474885845,0.821917808219178,0.6213579038921504,1.0,0.06796116504854369,0.1622429906542056,434.0,,,,0.0
6,0.26755065238145753,0.021213406873143825,100.0,4714.0,515.0,0.0,0.34328358208955223,0.34328358208955223,0.48009950248756217,0.6567164179104478,0.5203980099502489,0.835820895522388,0.5429459843638949,1.0,0.04466019417475728,0.16383540958852397,434.0,,,,0.0
7,0.26912061101092605,0.015748031496062992,74.0,4699.0,515.0,0.0,0.5192307692307693,0.5192307692307693,0.5961538461538461,0.6923076923076923,0.6221153846153846,0.8076923076923077,0.6500992063492064,1.0,0.05242718446601942,0.1636763090443061,447.0,,,,0.0
8,0.2704784130688448,0.013442554085276202,64.0,4761.0,515.0,0.0,0.2619047619047619,0.2619047619047619,0.376984126984127,0.5238095238095238,0.43293650793650795,0.7619047619047619,0.46259448223733945,1.0,0.021359223300970873,0.16956682710107368,458.0,,,,0.0
9,0.27204837169831336,0.015664690939881456,74.0,4724.0,515.0,0.0,0.4807692307692308,0.4807692307692308,0.5865384615384616,0.7307692307692307,0.5990384615384615,0.7884615384615384,0.6254197191697192,1.0,0.04854368932038835,0.16629547141796586,448.0,,,,0.0
10,0.2735971146706269,0.015256008359456636,73.0,4785.0,515.0,0.0,0.5,0.5,0.5833333333333333,0.717391304347826,0.5887681159420289,0.7391304347826086,0.6234817115251898,1.0,0.04466019417475728,0.16402714932126697,435.0,2.4796747967479673,0.1400070804840176,0.012198167936195579,0.0
