round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4045189349740108,0.04473850031505986,213.0,4761.0,515.0,0.0,0.3305785123966942,0.3305785123966942,0.4407713498622589,0.6033057851239669,0.477961432506887,0.7603305785123967,0.5102748261839171,1.0,0.07766990291262135,0.1343093570973902,211.0,2.2348993288590604,0.13257206882450645,0.010731327362329766,0.0
1,0.4098228492627559,0.05245488879563575,250.0,4766.0,515.0,0.0,0.38345864661654133,0.38345864661654133,0.4761904761904763,0.5939849624060151,0.5216791979949875,0.7969924812030075,0.5503938417472253,1.0,0.09902912621359224,0.14078674948240166,204.0,,,,0.0
2,0.414023549379442,0.04146596858638744,198.0,4775.0,515.0,0.0,0.29508196721311475,0.29508196721311475,0.39480874316939896,0.5245901639344263,0.4407103825136612,0.7213114754098361,0.4777712724434035,1.0,0.06990291262135923,0.13333333333333333,210.0,,,,0.0
3,0.4181606025246632,0.040222772277227724,195.0,4848.0,515.0,0.0,0.32456140350877194,0.32456140350877194,0.4473684210526316,0.5964912280701754,0.48026315789473684,0.7368421052631579,0.5134328877749931,1.0,0.07184466019417475,0.13404114134041142,202.0,,,,0.0
4,0.42202185212686966,0.03725690890481064,182.0,4885.0,515.0,0.0,0.3177570093457944,0.3177570093457944,0.4283489096573208,0.5607476635514018,0.4755451713395639,0.7663551401869159,0.5057372793354102,1.0,0.06601941747572816,0.1319628647214854,199.0,,,,0.0
5,0.4252678476715816,0.03167046160215276,153.0,4831.0,515.0,0.0,0.35051546391752575,0.35051546391752575,0.4518900343642611,0.5773195876288659,0.48951890034364265,0.7319587628865979,0.524750450008182,1.0,0.06601941747572816,0.12783375314861462,203.0,,,,0.0
6,0.4284289805876737,0.03070898598516076,149.0,4852.0,515.0,0.0,0.37894736842105264,0.37894736842105264,0.5035087719298246,0.6736842105263158,0.5371929824561404,0.8210526315789474,0.5611445279866333,1.0,0.06990291262135923,0.12869336835193695,196.0,,,,0.0
7,0.43127187864644106,0.02794577685088634,134.0,4795.0,515.0,0.0,0.32432432432432434,0.32432432432432434,0.46171171171171166,0.6486486486486487,0.4806306306306306,0.7297297297297297,0.5161304161304162,1.0,0.04660194174757282,0.128060263653484,204.0,,,,0.0
8,0.43388140447650364,0.025220422390814026,123.0,4877.0,515.0,0.0,0.23170731707317074,0.23170731707317074,0.34349593495934955,0.4878048780487805,0.38069105691056915,0.6463414634146342,0.42334494773519166,1.0,0.036893203883495145,0.1308531109685696,204.0,,,,0.0
9,0.43596053887769176,0.020202020202020204,98.0,4851.0,515.0,0.0,0.2835820895522388,0.2835820895522388,0.4253731343283582,0.5970149253731343,0.44999999999999996,0.7164179104477612,0.4867626154939587,1.0,0.036893203883495145,0.12848799480856588,198.0,,,,0.0
