round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25325129945900077,0.033362218370883885,154.0,4616.0,515.0,0.0,0.29473684210526313,0.29473684210526313,0.42456140350877186,0.6,0.45192982456140346,0.7263157894736842,0.4877276524644946,1.0,0.05436893203883495,0.1638608305274972,438.0,2.206896551724138,0.16084247405649751,0.011194637081852716,0.0
1,0.2565185106608677,0.03304721030042918,154.0,4660.0,515.0,0.0,0.28,0.28,0.41,0.58,0.4485,0.75,0.4837539682539682,1.0,0.05436893203883495,0.16174242424242424,427.0,,,,0.0
2,0.2595523496340299,0.030865529894236996,143.0,4633.0,515.0,0.0,0.24719101123595505,0.24719101123595505,0.400749063670412,0.6067415730337079,0.4423220973782772,0.797752808988764,0.4673889780631354,1.0,0.04271844660194175,0.16443081640475277,429.0,,,,0.0
3,0.2619921502068527,0.024588411374812914,115.0,4677.0,515.0,0.0,0.29333333333333333,0.29333333333333333,0.39555555555555555,0.52,0.44355555555555554,0.7333333333333333,0.47916931216931213,1.0,0.04271844660194175,0.1667936024371668,438.0,,,,0.0
4,0.2635621088363212,0.015876421368804978,74.0,4661.0,515.0,0.0,0.3333333333333333,0.3333333333333333,0.4138888888888888,0.5333333333333333,0.45222222222222214,0.7,0.49045634920634923,1.0,0.038834951456310676,0.1613022567517573,436.0,,,,0.0
5,0.2647714012941551,0.012083951664193343,57.0,4717.0,515.0,0.0,0.2,0.2,0.28888888888888886,0.4,0.3622222222222222,0.7111111111111111,0.3972751322751323,1.0,0.017475728155339806,0.16346153846153846,442.0,,,,0.0
6,0.2664262225522436,0.016338500209467952,78.0,4774.0,515.0,0.0,0.19607843137254902,0.19607843137254902,0.34967320261437906,0.5294117647058824,0.3830065359477124,0.6862745098039216,0.42776221599751013,1.0,0.019417475728155338,0.16429640718562874,439.0,,,,0.0
7,0.2682932003818818,0.018703506907545166,88.0,4705.0,515.0,0.0,0.18032786885245902,0.18032786885245902,0.2923497267759563,0.4426229508196721,0.33825136612021856,0.639344262295082,0.38773744470465776,1.0,0.021359223300970873,0.16704374057315233,443.0,,,,0.0
8,0.26960857112549064,0.013160687752069624,62.0,4711.0,515.0,0.0,0.14545454545454545,0.14545454545454545,0.2848484848484848,0.45454545454545453,0.31484848484848477,0.5818181818181818,0.3747835497835498,1.0,0.015533980582524271,0.16290262865605332,440.0,,,,0.0
9,0.27094515752625437,0.0134185303514377,63.0,4695.0,515.0,0.0,0.22727272727272727,0.22727272727272727,0.32954545454545453,0.45454545454545453,0.36136363636363633,0.5909090909090909,0.4126984126984127,1.0,0.019417475728155338,0.1669112252384446,455.0,,,,0.0
10,0.2719847247268484,0.01032448377581121,49.0,4746.0,515.0,0.0,0.3333333333333333,0.3333333333333333,0.4351851851851851,0.5555555555555556,0.47129629629629627,0.7222222222222222,0.5080467372134039,1.0,0.02330097087378641,0.16477895506028498,451.0,2.5074626865671643,0.14249972923284834,0.010912357850371255,0.0
11,0.2735971146706269,0.015993265993265993,76.0,4752.0,515.0,0.0,0.5,0.5,0.5833333333333334,0.6875,0.5927083333333333,0.7291666666666666,0.6294477513227513,1.0,0.04660194174757282,0.16575988393180993,457.0,,,,0.0
12,0.2754853081574202,0.01846856194231168,89.0,4819.0,515.0,0.0,0.5254237288135594,0.5254237288135594,0.6045197740112994,0.6949152542372882,0.6274011299435028,0.7966101694915254,0.6541498520312079,1.0,0.06019417475728155,0.16984661429105874,454.0,,,,0.0
13,0.27733107032990345,0.018362178134233853,87.0,4738.0,515.0,0.0,0.5614035087719298,0.5614035087719298,0.631578947368421,0.7192982456140351,0.6631578947368421,0.8596491228070176,0.6845655806182123,1.0,0.062135922330097085,0.16403089371092314,446.0,,,,0.0
14,0.2786888723878222,0.013663535439795047,64.0,4684.0,515.0,0.0,0.4489795918367347,0.4489795918367347,0.5544217687074829,0.673469387755102,0.5738095238095238,0.7551020408163265,0.6018140589569161,1.0,0.04271844660194175,0.1691616766467066,452.0,,,,0.0
15,0.27996181181712104,0.012698412698412698,60.0,4725.0,515.0,0.0,0.42105263157894735,0.42105263157894735,0.5438596491228069,0.7105263157894737,0.5635964912280701,0.7894736842105263,0.5920217209690893,1.0,0.031067961165048542,0.16647876738068396,443.0,,,,0.0
16,0.2814044765036597,0.014026402640264026,68.0,4848.0,515.0,0.0,0.37777777777777777,0.37777777777777777,0.47407407407407415,0.5777777777777777,0.5340740740740741,0.8444444444444444,0.5562522045855379,1.0,0.03300970873786408,0.16556291390728478,450.0,,,,0.0
17,0.2831229447332131,0.016798009124844464,81.0,4822.0,515.0,0.0,0.46296296296296297,0.46296296296296297,0.537037037037037,0.6296296296296297,0.5685185185185185,0.7777777777777778,0.596413874191652,1.0,0.04854368932038835,0.16251354279523295,450.0,,,,0.0
18,0.284332237191047,0.012045646661031277,57.0,4732.0,515.0,0.0,0.46511627906976744,0.46511627906976744,0.5310077519379844,0.627906976744186,0.5531007751937984,0.7209302325581395,0.591048357327427,1.0,0.038834951456310676,0.1686478454680535,454.0,,,,0.0
19,0.2853293730773311,0.009863588667366212,47.0,4765.0,515.0,0.0,0.47058823529411764,0.47058823529411764,0.5245098039215685,0.5882352941176471,0.5436274509803922,0.6764705882352942,0.5832749766573295,1.0,0.031067961165048542,0.16593567251461988,454.0,,,,0.0
20,0.28664474382093985,0.013130029648454045,62.0,4722.0,515.0,0.0,0.3488372093023256,0.3488372093023256,0.47674418604651164,0.6046511627906976,0.5,0.6976744186046512,0.5402547065337763,1.0,0.02912621359223301,0.16666666666666666,443.0,2.3203125,0.13298870815963632,0.019503292522613742,0.0
21,0.287620664050069,0.009645628014258754,46.0,4769.0,515.0,0.0,0.4444444444444444,0.4444444444444444,0.574074074074074,0.7222222222222222,0.5796296296296295,0.75,0.6160824514991181,1.0,0.031067961165048542,0.16148148148148148,436.0,,,,0.0
22,0.28851172165057815,0.00881982360352793,42.0,4762.0,515.0,0.0,0.45161290322580644,0.45161290322580644,0.5268817204301076,0.6129032258064516,0.5413978494623656,0.6774193548387096,0.5835765488991297,1.0,0.027184466019417475,0.16982534373838723,457.0,,,,0.0
23,0.28957250450832717,0.010453690152623877,50.0,4783.0,515.0,0.0,0.4594594594594595,0.4594594594594595,0.545045045045045,0.6486486486486487,0.5653153153153152,0.7297297297297297,0.5983376233376234,1.0,0.03300970873786408,0.16702663786897048,464.0,,,,0.0
24,0.2905908560517662,0.010291595197255575,48.0,4664.0,515.0,0.0,0.30303030303030304,0.30303030303030304,0.35858585858585856,0.45454545454545453,0.3934343434343434,0.6060606060606061,0.44288119288119293,1.0,0.019417475728155338,0.16989567809239942,456.0,,,,0.0
25,0.29131218839503553,0.00709663953245669,34.0,4791.0,515.0,0.0,0.5,0.5,0.5606060606060607,0.6363636363636364,0.571969696969697,0.6818181818181818,0.6107323232323233,1.0,0.021359223300970873,0.16515426497277677,455.0,,,,0.0
26,0.2928821470245041,0.015238879736408566,74.0,4856.0,515.0,0.0,0.2727272727272727,0.2727272727272727,0.42045454545454536,0.5909090909090909,0.4420454545454545,0.6818181818181818,0.478968253968254,1.0,0.02330097087378641,0.16368381804623416,439.0,,,,0.0
27,0.29356104805346345,0.00675818373812038,32.0,4735.0,515.0,0.0,0.23076923076923078,0.23076923076923078,0.3141025641025641,0.4230769230769231,0.3391025641025641,0.5384615384615384,0.3912240537240538,1.0,0.011650485436893204,0.16964951528709918,455.0,,,,0.0
28,0.2942611647395778,0.006862133499688085,33.0,4809.0,515.0,0.0,0.4444444444444444,0.4444444444444444,0.5061728395061729,0.5925925925925926,0.5283950617283951,0.7037037037037037,0.5631687242798353,1.0,0.02330097087378641,0.16630591630591632,461.0,,,,0.0
29,0.295109791025777,0.008298755186721992,40.0,4820.0,515.0,0.0,0.5666666666666667,0.5666666666666667,0.6166666666666667,0.6666666666666666,0.6483333333333333,0.8,0.6764285714285715,1.0,0.03300970873786408,0.16678994082840237,451.0,,,,0.0
