round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2530389481518234,0.021270480022995114,74.0,3479.0,378.0,0.0,0.5434782608695652,0.5434782608695652,0.6086956521739131,0.6956521739130435,0.6358695652173914,0.8043478260869565,0.6606797791580401,1.0,0.06613756613756613,0.16993464052287582,338.0,2.138211382113821,0.13912980107878714,0.030776383385971738,0.0
1,0.2563879930538328,0.02317596566523605,81.0,3495.0,378.0,0.0,0.717948717948718,0.717948717948718,0.7735042735042734,0.8461538461538461,0.7799145299145299,0.8717948717948718,0.7973646723646723,1.0,0.07407407407407407,0.16404715127701375,334.0,,,,0.0
2,0.25853799718845616,0.014878397711015737,52.0,3495.0,378.0,0.0,0.6666666666666666,0.6666666666666666,0.7716049382716049,0.8888888888888888,0.7882716049382715,0.9629629629629629,0.7923868312757202,1.0,0.047619047619047616,0.16527709661598822,337.0,,,,0.0
3,0.26176300339039116,0.022215892908003416,78.0,3511.0,378.0,0.0,0.6111111111111112,0.6111111111111112,0.6805555555555556,0.7777777777777778,0.711111111111111,0.9166666666666666,0.7204475308641975,1.0,0.0582010582010582,0.16229589312221673,328.0,,,,0.0
4,0.26482262465889356,0.021650087770626096,74.0,3418.0,378.0,0.0,0.6486486486486487,0.6486486486486487,0.7342342342342342,0.8378378378378378,0.7531531531531531,0.918918918918919,0.7655405405405405,1.0,0.06349206349206349,0.16351888667992048,329.0,,,,0.0
5,0.26713801372694945,0.016436747872028177,56.0,3407.0,378.0,0.0,0.5833333333333334,0.5833333333333334,0.6481481481481481,0.75,0.6675925925925925,0.8333333333333334,0.6891534391534393,1.0,0.05555555555555555,0.1727664155005382,321.0,,,,0.0
6,0.2695774414950798,0.016577690362461366,59.0,3559.0,378.0,0.0,0.6944444444444444,0.6944444444444444,0.7268518518518517,0.7777777777777778,0.7393518518518518,0.8333333333333334,0.7620590828924162,1.0,0.06613756613756613,0.16834170854271358,335.0,,,,0.0
7,0.27214090796328455,0.017846862406447898,62.0,3474.0,378.0,0.0,0.6060606060606061,0.6060606060606061,0.7121212121212122,0.8484848484848485,0.7318181818181818,0.9393939393939394,0.7386363636363636,1.0,0.05291005291005291,0.17229038854805726,337.0,,,,0.0
8,0.2744149507979823,0.015714285714285715,55.0,3500.0,378.0,0.0,0.4594594594594595,0.4594594594594595,0.5315315315315314,0.6486486486486487,0.5666666666666667,0.8108108108108109,0.5952702702702704,1.0,0.04497354497354497,0.16692268305171531,326.0,,,,0.0
9,0.2766063011659638,0.015138531848043417,53.0,3501.0,378.0,0.0,0.5714285714285714,0.5714285714285714,0.6523809523809524,0.7428571428571429,0.6723809523809523,0.8285714285714286,0.6964172335600907,1.0,0.05291005291005291,0.16901408450704225,324.0,,,,0.0
10,0.27950053750103365,0.020396270396270396,70.0,3432.0,378.0,0.0,0.627906976744186,0.627906976744186,0.686046511627907,0.7441860465116279,0.686046511627907,0.7441860465116279,0.7189830195644149,1.0,0.07142857142857142,0.1641321447299423,313.0,2.178861788617886,0.12553776730758825,0.033990536817490445,0.0
11,0.28198131150252215,0.01710376282782212,60.0,3508.0,378.0,0.0,0.5714285714285714,0.5714285714285714,0.6666666666666667,0.7714285714285715,0.6995238095238095,0.9142857142857143,0.7114285714285714,1.0,0.05291005291005291,0.16168271667511405,319.0,,,,0.0
12,0.28342842967005705,0.009937535491198184,35.0,3522.0,378.0,0.0,0.6428571428571429,0.6428571428571429,0.6845238095238094,0.75,0.7005952380952382,0.8214285714285714,0.7230442176870747,1.0,0.047619047619047616,0.15961070559610704,328.0,,,,0.0
13,0.28504093277102455,0.011051289317086993,39.0,3529.0,378.0,0.0,0.7241379310344828,0.7241379310344828,0.7643678160919539,0.8275862068965517,0.7885057471264368,0.9310344827586207,0.7972632731253421,1.0,0.05555555555555555,0.1701913393756294,338.0,,,,0.0
14,0.2873976680724386,0.016493055555555556,57.0,3456.0,378.0,0.0,0.5666666666666667,0.5666666666666667,0.661111111111111,0.8,0.6744444444444444,0.8666666666666667,0.6894444444444443,1.0,0.04497354497354497,0.16789758739537175,341.0,,,,0.0
15,0.28905151740676427,0.011412268188302425,40.0,3505.0,378.0,0.0,0.52,0.52,0.62,0.72,0.6559999999999999,0.88,0.6684444444444444,1.0,0.03439153439153439,0.16748046875,343.0,,,,0.0
16,0.2903332506408666,0.008744710860366713,31.0,3545.0,378.0,0.0,0.6818181818181818,0.6818181818181818,0.7348484848484848,0.8181818181818182,0.7462121212121211,0.8636363636363636,0.7623015873015873,1.0,0.03968253968253968,0.1588149587178242,327.0,,,,0.0
17,0.2914082527081783,0.00763807285546416,26.0,3404.0,378.0,0.0,0.65,0.65,0.6916666666666667,0.75,0.7166666666666667,0.85,0.7371428571428571,1.0,0.03439153439153439,0.1649016641452345,327.0,,,,0.0
18,0.29260729347556436,0.008330939385234128,29.0,3481.0,378.0,0.0,0.5454545454545454,0.5454545454545454,0.6439393939393939,0.7727272727272727,0.6621212121212121,0.8636363636363636,0.6848484848484848,1.0,0.031746031746031744,0.16471734892787523,338.0,,,,0.0
19,0.29417845034317375,0.010844748858447488,38.0,3504.0,378.0,0.0,0.5384615384615384,0.5384615384615384,0.6025641025641025,0.6923076923076923,0.6217948717948717,0.7692307692307693,0.652075702075702,1.0,0.037037037037037035,0.17011834319526628,345.0,,,,0.0
20,0.295418837343918,0.008549444286121402,30.0,3509.0,378.0,0.0,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.7619047619047619,0.6666666666666666,0.8571428571428571,0.687358276643991,1.0,0.031746031746031744,0.15958498023715414,323.0,2.4552845528455283,0.11600039395283143,0.03244435965138759,0.0
21,0.2966178781113041,0.008350129570976101,29.0,3473.0,378.0,0.0,0.34782608695652173,0.34782608695652173,0.4492753623188405,0.5652173913043478,0.4710144927536231,0.6521739130434783,0.5184092477570738,1.0,0.021164021164021163,0.16616465863453816,331.0,,,,0.0
22,0.2975688414785413,0.006480698788391096,23.0,3549.0,378.0,0.0,0.631578947368421,0.631578947368421,0.6842105263157895,0.7368421052631579,0.6947368421052631,0.7894736842105263,0.7190058479532164,1.0,0.031746031746031744,0.16539827498731607,326.0,,,,0.0
23,0.2983957661457041,0.005685048322910745,20.0,3518.0,378.0,0.0,0.5625,0.5625,0.6458333333333334,0.75,0.6708333333333334,0.875,0.6855902777777778,1.0,0.023809523809523808,0.1591460456089277,328.0,,,,0.0
24,0.29963615314644837,0.008675534991324466,30.0,3458.0,378.0,0.0,0.5217391304347826,0.5217391304347826,0.6231884057971014,0.782608695652174,0.644927536231884,0.8695652173913043,0.6595410628019325,1.0,0.031746031746031744,0.16583416583416583,332.0,,,,0.0
25,0.30033903911353677,0.005022156573116691,17.0,3385.0,378.0,0.0,0.5714285714285714,0.5714285714285714,0.6785714285714286,0.8571428571428571,0.6785714285714286,0.8571428571428571,0.6959183673469387,1.0,0.021164021164021163,0.17027863777089783,330.0,,,,0.0
26,0.30133134871413214,0.00683371298405467,24.0,3512.0,378.0,0.0,0.47058823529411764,0.47058823529411764,0.5588235294117647,0.6470588235294118,0.5823529411764706,0.7647058823529411,0.6166666666666666,1.0,0.021164021164021163,0.16058029014507252,321.0,,,,0.0
27,0.30195154221450426,0.004185267857142857,15.0,3584.0,378.0,0.0,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.45454545454545453,0.38636363636363635,0.5454545454545454,0.44884559884559894,1.0,0.007936507936507936,0.16642048252092564,338.0,,,,0.0
28,0.3026957744149508,0.005170927894283252,18.0,3481.0,378.0,0.0,0.7333333333333333,0.7333333333333333,0.7666666666666667,0.8,0.7933333333333333,0.9333333333333333,0.8044444444444444,1.0,0.0291005291005291,0.16548940464177597,328.0,,,,0.0
29,0.3036880840155462,0.006806579693703914,24.0,3526.0,378.0,0.0,0.47058823529411764,0.47058823529411764,0.5294117647058824,0.5882352941176471,0.5441176470588235,0.6470588235294118,0.595751633986928,1.0,0.021164021164021163,0.16752312435765673,326.0,,,,0.0
