round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4037459687422476,0.026232343614874604,91.0,3469.0,378.0,0.0,0.38461538461538464,0.38461538461538464,0.5064102564102564,0.6923076923076923,0.541025641025641,0.8461538461538461,0.5632707570207571,1.0,0.05291005291005291,0.17927631578947367,109.0,2.2275449101796405,0.11393186369765722,0.018823496424350133,0.0
1,0.4077565533779873,0.027801662367440527,97.0,3489.0,378.0,0.0,0.3559322033898305,0.3559322033898305,0.4745762711864407,0.6610169491525424,0.5059322033898306,0.7966101694915254,0.532223567393059,1.0,0.05555555555555555,0.17089678510998307,101.0,,,,0.0
2,0.4109815595799223,0.021947101857062466,78.0,3554.0,378.0,0.0,0.3392857142857143,0.3392857142857143,0.43154761904761907,0.5714285714285714,0.4797619047619048,0.7857142857142857,0.5094671201814059,1.0,0.05026455026455026,0.14839797639123103,88.0,,,,0.0
3,0.4151161829157364,0.02827254735651682,100.0,3537.0,378.0,0.0,0.3442622950819672,0.3442622950819672,0.4562841530054644,0.6229508196721312,0.5087431693989071,0.8524590163934426,0.5288446526151445,1.0,0.05555555555555555,0.16279069767441862,98.0,,,,0.0
4,0.41892003638468533,0.026285714285714287,92.0,3500.0,378.0,0.0,0.21818181818181817,0.21818181818181817,0.36969696969696964,0.5636363636363636,0.4151515151515151,0.7636363636363637,0.44484126984126976,1.0,0.031746031746031744,0.16666666666666666,103.0,,,,0.0
5,0.42231042752005293,0.02335516946738821,82.0,3511.0,378.0,0.0,0.29411764705882354,0.29411764705882354,0.4411764705882353,0.6078431372549019,0.48725490196078436,0.803921568627451,0.5137799564270152,1.0,0.03968253968253968,0.15654952076677317,98.0,,,,0.0
6,0.42549408748862977,0.021968616262482168,77.0,3505.0,378.0,0.0,0.34782608695652173,0.34782608695652173,0.44565217391304346,0.5652173913043478,0.4956521739130434,0.782608695652174,0.5274585921325052,1.0,0.042328042328042326,0.15993265993265993,95.0,,,,0.0
7,0.42818159265690897,0.01846066458392502,65.0,3521.0,378.0,0.0,0.29545454545454547,0.29545454545454547,0.37878787878787884,0.4772727272727273,0.4696969696969697,0.8636363636363636,0.4885642135642136,1.0,0.03439153439153439,0.15639810426540285,99.0,,,,0.0
8,0.43099313652526255,0.0192090395480226,68.0,3540.0,378.0,0.0,0.3,0.3,0.4208333333333334,0.575,0.48583333333333334,0.85,0.5020833333333333,1.0,0.031746031746031744,0.16237942122186494,101.0,,,,0.0
9,0.433184486893244,0.015173203549957057,53.0,3493.0,378.0,0.0,0.38461538461538464,0.38461538461538464,0.5085470085470085,0.6666666666666666,0.5367521367521366,0.7948717948717948,0.5603886853886854,1.0,0.03968253968253968,0.14215686274509803,87.0,,,,0.0
10,0.4354998759612999,0.015886524822695036,56.0,3525.0,378.0,0.0,0.3142857142857143,0.3142857142857143,0.4761904761904762,0.6857142857142857,0.5161904761904763,0.8571428571428571,0.534047619047619,1.0,0.0291005291005291,0.15608919382504288,91.0,2.2125,0.09545164033291487,0.04389250728154788,0.0
11,0.43843545852972793,0.020124716553287982,71.0,3528.0,378.0,0.0,0.2857142857142857,0.2857142857142857,0.42176870748299317,0.6326530612244898,0.4472789115646258,0.7346938775510204,0.4815273728539035,1.0,0.037037037037037035,0.16412859560067683,97.0,,,,0.0
