round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2532456793186141,0.02270767461914343,79.0,3479.0,378.0,0.0,0.36538461538461536,0.36538461538461536,0.49358974358974356,0.6346153846153846,0.5243589743589744,0.7692307692307693,0.5559676434676434,1.0,0.05026455026455026,0.16394279877425944,321.0,2.1048387096774195,0.13805671662061947,0.031765064367881714,0.0
1,0.25671876292069795,0.0240343347639485,84.0,3495.0,378.0,0.0,0.38461538461538464,0.38461538461538464,0.5,0.6410256410256411,0.523076923076923,0.7435897435897436,0.5572547822547823,1.0,0.03968253968253968,0.16159600997506235,324.0,,,,0.0
2,0.25957165302240964,0.019742489270386267,69.0,3495.0,378.0,0.0,0.3548387096774194,0.3548387096774194,0.4838709677419355,0.6451612903225806,0.5225806451612903,0.8064516129032258,0.549231950844854,1.0,0.0291005291005291,0.1600790513833992,324.0,,,,0.0
3,0.26321012155792606,0.025092671799258625,88.0,3507.0,378.0,0.0,0.3333333333333333,0.3333333333333333,0.48148148148148145,0.6388888888888888,0.5203703703703703,0.8055555555555556,0.5479828042328042,1.0,0.031746031746031744,0.16146881287726358,321.0,,,,0.0
4,0.26660051269329366,0.023976608187134502,82.0,3420.0,378.0,0.0,0.3235294117647059,0.3235294117647059,0.49509803921568635,0.7352941176470589,0.5156862745098039,0.8235294117647058,0.5385504201680672,1.0,0.0291005291005291,0.1636085626911315,321.0,,,,0.0
5,0.2689985942280658,0.017023774581743468,58.0,3407.0,378.0,0.0,0.25,0.25,0.3802083333333333,0.53125,0.41458333333333336,0.6875,0.4545882936507937,1.0,0.021164021164021163,0.17302525523911874,322.0,,,,0.0
6,0.27218225419664266,0.021647455721113297,77.0,3557.0,378.0,0.0,0.5121951219512195,0.5121951219512195,0.5406504065040649,0.5853658536585366,0.5699186991869919,0.7073170731707317,0.6116047231900891,1.0,0.05555555555555555,0.15752032520325204,310.0,,,,0.0
7,0.2764409162325312,0.029512893982808024,103.0,3490.0,378.0,0.0,0.5,0.5,0.6111111111111112,0.7619047619047619,0.6301587301587301,0.8571428571428571,0.6522675736961452,1.0,0.05555555555555555,0.15667011375387796,303.0,,,,0.0
8,0.27999669230133134,0.02456441016852328,86.0,3501.0,378.0,0.0,0.34210526315789475,0.34210526315789475,0.4473684210526316,0.6052631578947368,0.4921052631578947,0.8157894736842105,0.518890977443609,1.0,0.03439153439153439,0.16097308488612835,311.0,,,,0.0
9,0.2837591995369222,0.025918541726003986,91.0,3511.0,378.0,0.0,0.40540540540540543,0.40540540540540543,0.5495495495495495,0.7297297297297297,0.5563063063063063,0.7567567567567568,0.5885027885027885,1.0,0.03968253968253968,0.16052631578947368,305.0,,,,0.0
10,0.28785247663937813,0.028879813302217037,99.0,3428.0,378.0,0.0,0.35,0.35,0.4625,0.625,0.48374999999999996,0.725,0.5190575396825396,1.0,0.037037037037037035,0.16298633017875921,310.0,2.088709677419355,0.1145510378971984,0.038560920800289576,0.0
11,0.29144959894153644,0.024779265166619196,87.0,3511.0,378.0,0.0,0.37209302325581395,0.37209302325581395,0.46899224806201545,0.5813953488372093,0.5166666666666667,0.7906976744186046,0.5464747139165744,1.0,0.042328042328042326,0.16164241164241164,311.0,,,,0.0
12,0.29310344827586204,0.01130901894260673,40.0,3537.0,378.0,0.0,0.20689655172413793,0.20689655172413793,0.29885057471264365,0.4482758620689655,0.367816091954023,0.7586206896551724,0.401231527093596,1.0,0.015873015873015872,0.15527638190954773,309.0,,,,0.0
13,0.2950053750103366,0.012976022566995768,46.0,3545.0,378.0,0.0,0.2962962962962963,0.2962962962962963,0.46296296296296297,0.6666666666666666,0.49629629629629624,0.8148148148148148,0.5210905349794238,1.0,0.021164021164021163,0.164021164021164,310.0,,,,0.0
14,0.29785826511204827,0.019873271889400922,69.0,3472.0,378.0,0.0,0.3235294117647059,0.3235294117647059,0.45588235294117646,0.6176470588235294,0.48235294117647054,0.7352941176470589,0.5205182072829131,1.0,0.0291005291005291,0.16014418125643667,311.0,,,,0.0
15,0.30021500041346233,0.016243944143630663,57.0,3509.0,378.0,0.0,0.23529411764705882,0.23529411764705882,0.35784313725490197,0.5,0.396078431372549,0.6764705882352942,0.43876050420168067,1.0,0.021164021164021163,0.16341591987348444,310.0,,,,0.0
16,0.3024063507814438,0.014883459702330806,53.0,3561.0,378.0,0.0,0.2222222222222222,0.2222222222222222,0.37654320987654316,0.5555555555555556,0.42098765432098767,0.7407407407407407,0.45367430922986474,1.0,0.015873015873015872,0.15597742432016418,304.0,,,,0.0
17,0.3040188538824113,0.011393514460999123,39.0,3423.0,378.0,0.0,0.17857142857142858,0.17857142857142858,0.30357142857142855,0.4642857142857143,0.3357142857142857,0.6071428571428571,0.3886621315192743,1.0,0.013227513227513227,0.15945089757127773,302.0,,,,0.0
18,0.30716116761763,0.021764032073310423,76.0,3492.0,378.0,0.0,0.35294117647058826,0.35294117647058826,0.5147058823529411,0.7352941176470589,0.5323529411764705,0.8235294117647058,0.5556372549019608,1.0,0.031746031746031744,0.16606868272680678,324.0,,,,0.0
19,0.3101380964194162,0.020559680182752713,72.0,3502.0,378.0,0.0,0.35135135135135137,0.35135135135135137,0.509009009009009,0.7027027027027027,0.5468468468468469,0.8648648648648649,0.5633526383526384,1.0,0.03439153439153439,0.15739769150052466,300.0,,,,0.0
20,0.31278425535433724,0.018301401201029455,64.0,3497.0,378.0,0.0,0.3,0.3,0.4388888888888889,0.6,0.4772222222222222,0.7666666666666667,0.5095238095238095,1.0,0.023809523809523808,0.15934356802541028,301.0,2.2479338842975207,0.10073565450540359,0.04002170385188365,0.0
21,0.31481022078888615,0.014,49.0,3500.0,378.0,0.0,0.12903225806451613,0.12903225806451613,0.3333333333333333,0.5806451612903226,0.3462365591397849,0.6451612903225806,0.39496927803379417,1.0,0.010582010582010581,0.1582618025751073,295.0,,,,0.0
22,0.317704457123956,0.019646365422396856,70.0,3563.0,378.0,0.0,0.2727272727272727,0.2727272727272727,0.3434343434343434,0.45454545454545453,0.40101010101010104,0.696969696969697,0.4399831649831649,1.0,0.023809523809523808,0.15753424657534246,299.0,,,,0.0
23,0.3193996526916398,0.01156558533145275,41.0,3545.0,378.0,0.0,0.3076923076923077,0.3076923076923077,0.42948717948717946,0.5769230769230769,0.47756410256410253,0.7692307692307693,0.5122863247863247,1.0,0.021164021164021163,0.16257187663355985,311.0,,,,0.0
24,0.3211361944926817,0.012107235514557509,42.0,3469.0,378.0,0.0,0.18518518518518517,0.18518518518518517,0.3333333333333333,0.5185185185185185,0.40370370370370373,0.8148148148148148,0.42355967078189305,1.0,0.013227513227513227,0.1578672242550967,302.0,,,,0.0
25,0.32270735136029105,0.011219368172423975,38.0,3387.0,378.0,0.0,0.3333333333333333,0.3333333333333333,0.492063492063492,0.6666666666666666,0.523015873015873,0.8095238095238095,0.5483371126228269,1.0,0.018518518518518517,0.16622127204703366,311.0,,,,0.0
26,0.32518812536177955,0.01717721156598912,60.0,3493.0,378.0,0.0,0.2647058823529412,0.2647058823529412,0.3627450980392157,0.5,0.39656862745098037,0.6470588235294118,0.43970588235294117,1.0,0.023809523809523808,0.16795154185022027,305.0,,,,0.0
27,0.3267592822293889,0.010582010582010581,38.0,3591.0,378.0,0.0,0.13043478260869565,0.13043478260869565,0.29710144927536225,0.5652173913043478,0.33188405797101445,0.7391304347826086,0.3655624568668046,1.0,0.007936507936507936,0.15528578654527062,307.0,,,,0.0
28,0.3284544777970727,0.011687571265678449,41.0,3508.0,378.0,0.0,0.12121212121212122,0.12121212121212122,0.24747474747474746,0.42424242424242425,0.28383838383838383,0.5757575757575758,0.33816738816738817,1.0,0.010582010582010581,0.16014606155451225,307.0,,,,0.0
29,0.3308112130984867,0.016029246344206972,57.0,3556.0,378.0,0.0,0.3125,0.3125,0.39583333333333337,0.5,0.45052083333333337,0.75,0.4840525793650794,1.0,0.026455026455026454,0.16242555495397942,300.0,,,,0.0
