C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/30  coverage=0.2505  prec@K=0.0056  accepted=10  loss=0.6534  (0.1s)
Round    2/30  coverage=0.2510  prec@K=0.0063  accepted=11  loss=0.6515  (0.0s)
Round    3/30  coverage=0.2516  prec@K=0.0067  accepted=12  loss=0.6524  (0.0s)
Round    4/30  coverage=0.2520  prec@K=0.0046  accepted=8  loss=0.6498  (0.0s)
Round    5/30  coverage=0.2523  prec@K=0.0033  accepted=6  loss=0.6499  (0.1s)
Round    6/30  coverage=0.2526  prec@K=0.0034  accepted=6  loss=0.6487  (0.1s)
Round    7/30  coverage=0.2530  prec@K=0.0039  accepted=7  loss=0.6484  (0.1s)
Round    8/30  coverage=0.2531  prec@K=0.0017  accepted=3  loss=0.6466  (0.1s)
Round    9/30  coverage=0.2534  prec@K=0.0041  accepted=7  loss=0.6449  (0.1s)
Round   10/30  coverage=0.2536  prec@K=0.0017  accepted=3  loss=0.6457  (0.1s)
Round   11/30  coverage=0.2536  prec@K=0.0000  accepted=0  loss=nan  (0.1s)
Round   12/30  coverage=0.2540  prec@K=0.0046  accepted=8  loss=0.6451  (0.1s)
Round   13/30  coverage=0.2541  prec@K=0.0017  accepted=3  loss=0.6419  (0.1s)
Round   14/30  coverage=0.2544  prec@K=0.0034  accepted=6  loss=0.6424  (0.1s)
Round   15/30  coverage=0.2544  prec@K=0.0000  accepted=0  loss=nan  (0.1s)
Round   16/30  coverage=0.2545  prec@K=0.0011  accepted=2  loss=0.6416  (0.1s)
Round   17/30  coverage=0.2548  prec@K=0.0033  accepted=6  loss=0.6422  (0.1s)
Round   18/30  coverage=0.2550  prec@K=0.0016  accepted=3  loss=0.6408  (0.1s)
Round   19/30  coverage=0.2552  prec@K=0.0028  accepted=5  loss=0.6403  (0.1s)
Round   20/30  coverage=0.2553  prec@K=0.0011  accepted=2  loss=0.6380  (0.1s)
Round   21/30  coverage=0.2553  prec@K=0.0000  accepted=0  loss=nan  (0.1s)
Round   22/30  coverage=0.2554  prec@K=0.0011  accepted=2  loss=0.6375  (0.1s)
Round   23/30  coverage=0.2555  prec@K=0.0006  accepted=1  loss=0.6367  (0.1s)
Round   24/30  coverage=0.2557  prec@K=0.0023  accepted=4  loss=0.6356  (0.1s)
Round   25/30  coverage=0.2557  prec@K=0.0000  accepted=0  loss=nan  (0.1s)
Round   26/30  coverage=0.2557  prec@K=0.0000  accepted=0  loss=nan  (0.1s)
Round   27/30  coverage=0.2558  prec@K=0.0011  accepted=2  loss=0.6353  (0.1s)
Round   28/30  coverage=0.2559  prec@K=0.0011  accepted=2  loss=0.6336  (0.1s)
Round   29/30  coverage=0.2559  prec@K=0.0000  accepted=0  loss=nan  (0.1s)
Round   30/30  coverage=0.2559  prec@K=0.0000  accepted=0  loss=nan  (0.1s)

结果已写入 results\online\algo_sweep_college_msg_v2\college_msg_mlp/rounds.csv
