round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2504927079227434,0.005633802816901409,10.0,1775.0,189.0,0.0,0.0,0.0,0.037037037037037035,0.1111111111111111,0.1148148148148148,0.4444444444444444,0.1851410934744268,1.0,0.0,0.15294117647058825,143.0,2.6769230769230767,0.07437297933345473,0.10666489835277199,0.0
1,0.25103468663776113,0.006264236902050114,11.0,1756.0,189.0,0.0,0.0,0.0,0.14814814814814814,0.3333333333333333,0.17037037037037037,0.4444444444444444,0.2456349206349206,1.0,0.0,0.16065911431513905,156.0,,,,0.0
2,0.2516259361450532,0.006670372429127293,12.0,1799.0,189.0,0.0,0.18181818181818182,0.18181818181818182,0.2121212121212121,0.2727272727272727,0.2303030303030303,0.36363636363636365,0.30930735930735936,1.0,0.010582010582010581,0.14853556485355648,142.0,,,,0.0
3,0.2520201024832479,0.004550625711035267,8.0,1758.0,189.0,0.0,0.0,0.0,0.0625,0.125,0.0875,0.25,0.18606150793650794,1.0,0.0,0.16836158192090395,149.0,,,,0.0
4,0.252315727236894,0.0033222591362126247,6.0,1806.0,189.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4083333333333334,0.6666666666666666,0.4599206349206349,1.0,0.010582010582010581,0.14300100704934543,142.0,,,,0.0
5,0.25261135199054,0.00338409475465313,6.0,1773.0,189.0,0.0,0.0,0.0,0.13888888888888887,0.3333333333333333,0.18055555555555555,0.5,0.24880952380952379,1.0,0.0,0.15495867768595042,150.0,,,,0.0
6,0.2529562475364604,0.0039149888143176735,7.0,1788.0,189.0,0.0,0.0,0.0,0.16666666666666666,0.42857142857142855,0.19523809523809524,0.5714285714285714,0.2492063492063492,1.0,0.0,0.1562829989440338,148.0,,,,0.0
7,0.2531040599132834,0.0016759776536312849,3.0,1790.0,189.0,0.0,0.0,0.0,0.25,0.5,0.25,0.5,0.3333333333333333,1.0,0.0,0.1540816326530612,151.0,,,,0.0
8,0.25344895545920376,0.0041444641799881585,7.0,1689.0,189.0,0.0,0.0,0.0,0.05555555555555555,0.16666666666666666,0.08888888888888889,0.3333333333333333,0.18888888888888888,1.0,0.0,0.15649606299212598,159.0,,,,0.0
9,0.2535967678360268,0.0016722408026755853,3.0,1794.0,189.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.38888888888888884,1.0,0.0,0.15578947368421053,148.0,,,,0.0
10,0.2535967678360268,0.0,0.0,1801.0,189.0,0.0,,,,,,,,,0.0,0.1489795918367347,146.0,2.753731343283582,0.06731981763232935,0.1040313569129464,0.0
11,0.2539909341742215,0.004553215708594195,8.0,1757.0,189.0,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.10714285714285714,0.2857142857142857,0.2039115646258503,1.0,0.0,0.1519916142557652,145.0,,,,0.0
