round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40145841545132044,0.01710376282782212,30.0,1754.0,189.0,0.0,0.5652173913043478,0.5652173913043478,0.6666666666666667,0.8260869565217391,0.6971014492753622,0.9565217391304348,0.7019323671497585,1.0,0.06878306878306878,0.16738197424892703,156.0,1.9607843137254901,0.06385986333346304,0.0761690375164783,0.0
1,0.4041190382341348,0.029883785279468732,54.0,1807.0,189.0,0.0,0.5675675675675675,0.5675675675675675,0.6801801801801801,0.8108108108108109,0.7072072072072071,0.918918918918919,0.7200772200772202,1.0,0.1111111111111111,0.16806722689075632,160.0,,,,0.0
2,0.4054986204178163,0.015581524763494713,28.0,1797.0,189.0,0.0,0.6666666666666666,0.6666666666666666,0.7857142857142857,0.9047619047619048,0.7857142857142857,0.9047619047619048,0.798941798941799,1.0,0.07407407407407407,0.16699604743083005,169.0,,,,0.0
3,0.40746945210878993,0.02249718785151856,40.0,1778.0,189.0,0.0,0.6875,0.6875,0.7760416666666667,0.90625,0.7838541666666667,0.9375,0.7922247023809523,1.0,0.1164021164021164,0.16549648946840523,165.0,,,,0.0
4,0.40904611746156877,0.017777777777777778,32.0,1800.0,189.0,0.0,0.64,0.64,0.7,0.76,0.7,0.76,0.7338888888888888,1.0,0.08465608465608465,0.16617502458210423,169.0,,,,0.0
5,0.4104256996452503,0.015167930660888408,28.0,1846.0,189.0,0.0,0.6,0.6,0.6416666666666666,0.7,0.6741666666666667,0.85,0.695,1.0,0.06349206349206349,0.16265640038498555,169.0,,,,0.0
6,0.4119038234134805,0.016968325791855202,30.0,1768.0,189.0,0.0,0.64,0.64,0.6933333333333332,0.76,0.7093333333333334,0.84,0.7304761904761904,1.0,0.08465608465608465,0.1714005876591577,175.0,,,,0.0
7,0.4132341348048877,0.015083798882681564,27.0,1790.0,189.0,0.0,0.45454545454545453,0.45454545454545453,0.5075757575757576,0.5909090909090909,0.5371212121212121,0.7272727272727273,0.5737734487734487,1.0,0.05291005291005291,0.15013901760889714,162.0,,,,0.0
8,0.4141702798581001,0.010752688172043012,19.0,1767.0,189.0,0.0,0.7333333333333333,0.7333333333333333,0.8,0.8666666666666667,0.8166666666666667,0.9333333333333333,0.8261904761904761,1.0,0.0582010582010582,0.16301239275500476,171.0,,,,0.0
9,0.4150078833267639,0.009376723662437948,17.0,1813.0,189.0,0.0,0.5333333333333333,0.5333333333333333,0.5888888888888888,0.6666666666666666,0.6288888888888889,0.8666666666666667,0.6446296296296297,1.0,0.042328042328042326,0.16003700277520813,173.0,,,,0.0
10,0.4157962160031533,0.008903728436282694,16.0,1797.0,189.0,0.0,0.5,0.5,0.6388888888888888,0.8333333333333334,0.6388888888888888,0.8333333333333334,0.6611111111111111,1.0,0.031746031746031744,0.1625,169.0,2.1806451612903226,0.05668105755394566,0.10600494578575417,0.0
11,0.4163874655104454,0.0067605633802816905,12.0,1775.0,189.0,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.4727272727272727,0.5454545454545454,0.5313131313131314,1.0,0.026455026455026454,0.16231884057971013,168.0,,,,0.0
