round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25103468663776113,0.011705685618729096,21.0,1794.0,189.0,0.0,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.2777777777777778,0.2833333333333334,0.5555555555555556,0.33963844797178133,1.0,0.015873015873015872,0.17063870352716873,179.0,2.448,0.07491965171600952,0.09054195502240453,0.0
1,0.25251281040599133,0.01665741254858412,30.0,1801.0,189.0,0.0,0.16,0.16,0.24,0.36,0.248,0.4,0.32280952380952377,1.0,0.021164021164021163,0.17344961240310078,179.0,,,,0.0
2,0.25344895545920376,0.01076487252124646,19.0,1765.0,189.0,0.0,0.2,0.2,0.3333333333333333,0.4666666666666667,0.38333333333333336,0.6666666666666666,0.4357142857142858,1.0,0.015873015873015872,0.16873212583412775,177.0,,,,0.0
3,0.2544343713046906,0.011254924029262802,20.0,1777.0,189.0,0.0,0.2,0.2,0.2888888888888889,0.4,0.3055555555555555,0.4666666666666667,0.37867724867724867,1.0,0.015873015873015872,0.16666666666666666,179.0,,,,0.0
4,0.25537051635790303,0.010497237569060774,19.0,1810.0,189.0,0.0,0.11764705882352941,0.11764705882352941,0.22549019607843135,0.35294117647058826,0.2784313725490196,0.5882352941176471,0.3262138188608777,1.0,0.010582010582010581,0.1704331450094162,181.0,,,,0.0
5,0.25660228616476155,0.01429388221841052,25.0,1749.0,189.0,0.0,0.0,0.0,0.14166666666666666,0.35,0.18666666666666665,0.55,0.2450793650793651,1.0,0.0,0.16634615384615384,173.0,,,,0.0
6,0.2577355143870713,0.012806236080178173,23.0,1796.0,189.0,0.0,0.21052631578947367,0.21052631578947367,0.3245614035087719,0.47368421052631576,0.3587719298245614,0.631578947368421,0.4099832915622389,1.0,0.021164021164021163,0.16714697406340057,174.0,,,,0.0
7,0.25896728419392984,0.014228799089356859,25.0,1757.0,189.0,0.0,0.25,0.25,0.35,0.5,0.4025,0.75,0.4408928571428571,1.0,0.026455026455026454,0.17117988394584138,177.0,,,,0.0
8,0.260149783208514,0.013377926421404682,24.0,1794.0,189.0,0.0,0.15789473684210525,0.15789473684210525,0.24561403508771926,0.3684210526315789,0.29035087719298247,0.5789473684210527,0.3456766917293233,1.0,0.015873015873015872,0.16556914393226718,176.0,,,,0.0
9,0.26118446984627514,0.01171875,21.0,1792.0,189.0,0.0,0.125,0.125,0.26041666666666663,0.4375,0.28541666666666665,0.5625,0.3455605158730159,1.0,0.010582010582010581,0.16828793774319067,173.0,,,,0.0
