round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2532,0.06614303431169904,320.0,4838.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.342,0.16865227103499628,453.0,1.635,0.012213426960298271,0.17748205894685756,0.0
1,0.25566,0.05093167701863354,246.0,4830.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.268,0.16604197901049475,443.0,,,,0.0
2,0.2579,0.0470687119142677,224.0,4759.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24,0.1698609545283728,452.0,,,,0.0
3,0.26,0.04479522184300341,210.0,4688.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.238,0.17590822179732313,460.0,,,,0.0
4,0.26168,0.03609022556390978,168.0,4655.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.178,0.16597510373443983,440.0,,,,0.0
5,0.26373,0.04299496644295302,205.0,4768.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21,0.16813481424741478,439.0,,,,0.0
6,0.26525,0.03243012588009388,152.0,4687.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.154,0.173414820473644,454.0,,,,0.0
7,0.26674,0.03149439864722046,149.0,4731.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.166,0.16890380313199105,453.0,,,,0.0
8,0.26783,0.02329059829059829,109.0,4680.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.122,0.1676602086438152,450.0,,,,0.0
9,0.26883,0.021510002151000216,100.0,4649.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.118,0.17497147204260174,460.0,,,,0.0
10,0.26978,0.02050507230736024,95.0,4633.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.122,0.16936394429808055,450.0,1.955,0.0049082742507621496,1.0765261921321863,0.0
11,0.27071,0.019533711405166982,93.0,4761.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12,0.16986817325800377,451.0,,,,0.0
12,0.27146,0.016142918639690057,75.0,4646.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11,0.17463933181473046,460.0,,,,0.0
13,0.27227,0.017415609546334122,81.0,4651.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.092,0.17313546423135465,455.0,,,,0.0
14,0.27298,0.015106382978723404,71.0,4700.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.098,0.16907294832826747,445.0,,,,0.0
15,0.27371,0.015756529246708395,73.0,4633.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.096,0.17252994011976047,461.0,,,,0.0
16,0.27425,0.01151140481773609,54.0,4691.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.076,0.17531718569780855,456.0,,,,0.0
17,0.27464,0.008259212198221092,39.0,4722.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.064,0.17281626506024098,459.0,,,,0.0
18,0.27499,0.007470651013874066,35.0,4685.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.16802973977695168,452.0,,,,0.0
19,0.27543,0.009503239740820735,44.0,4630.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.1728954322385806,458.0,,,,0.0
20,0.27579,0.0077502691065662,36.0,4645.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,0.16996638027642882,455.0,2.075,0.0027768684774697704,1.0722759860901352,0.0
21,0.27624,0.009658725048293626,45.0,4659.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.052,0.17227049489988666,456.0,,,,0.0
22,0.27657,0.007216269407391209,33.0,4573.0,500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.056,0.18077075883988875,455.0,,,,0.0
