round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2588363240891789,0.026746724890829694,49.0,1832.0,186.0,0.0,0.5714285714285714,0.5714285714285714,0.7023809523809523,0.8571428571428571,0.7166666666666667,0.9285714285714286,0.7285714285714286,1.0,0.043010752688172046,0.14990859232175502,164.0,2.0357142857142856,0.16318776002344995,0.04987091596832345,0.0
1,0.2669929309407287,0.02452316076294278,45.0,1835.0,186.0,0.0,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.8181818181818182,0.7493506493506494,1.0,0.03763440860215054,0.14591078066914498,157.0,,,,0.0
2,0.27551205365234727,0.025627044711014176,47.0,1834.0,186.0,0.0,0.4166666666666667,0.4166666666666667,0.625,0.8333333333333334,0.625,0.8333333333333334,0.6507936507936508,1.0,0.026881720430107527,0.14907407407407408,161.0,,,,0.0
3,0.2876563349646547,0.03651226158038147,67.0,1835.0,186.0,0.0,0.6,0.6,0.6916666666666667,0.85,0.7166666666666666,0.95,0.7238095238095238,1.0,0.06451612903225806,0.14829268292682926,152.0,,,,0.0
4,0.29164400942541235,0.0120415982484948,22.0,1827.0,186.0,0.0,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.6111111111111112,0.8888888888888888,0.626984126984127,1.0,0.021505376344086023,0.14981617647058823,163.0,,,,0.0
5,0.2992568424868588,0.022900763358778626,42.0,1834.0,186.0,0.0,0.375,0.375,0.45833333333333337,0.5625,0.49583333333333335,0.75,0.5288690476190476,1.0,0.03225806451612903,0.15160349854227406,156.0,,,,0.0
6,0.3061446438281675,0.020959735245449532,38.0,1813.0,186.0,0.0,0.45454545454545453,0.45454545454545453,0.5606060606060606,0.7272727272727273,0.606060606060606,0.9090909090909091,0.6190476190476191,1.0,0.026881720430107527,0.14821763602251406,158.0,,,,0.0
7,0.31756389342033714,0.03459637561779242,63.0,1821.0,186.0,0.0,0.5,0.5,0.5476190476190476,0.6428571428571429,0.5797619047619048,0.7857142857142857,0.601984126984127,1.0,0.03763440860215054,0.14766355140186915,158.0,,,,0.0
8,0.32553924234185244,0.02412280701754386,44.0,1824.0,186.0,0.0,0.36363636363636365,0.36363636363636365,0.393939393939394,0.45454545454545453,0.4621212121212121,0.7272727272727273,0.49657287157287155,1.0,0.021505376344086023,0.1448339483394834,157.0,,,,0.0
9,0.3289831430125068,0.010382513661202186,19.0,1830.0,186.0,0.0,0.375,0.375,0.4583333333333333,0.625,0.5208333333333333,0.875,0.5364583333333333,1.0,0.016129032258064516,0.14947965941343425,158.0,,,,0.0
10,0.3335145912633678,0.013676148796498906,25.0,1828.0,186.0,0.0,0.0,0.0,0.2333333333333333,0.5,0.31833333333333336,0.9,0.33083333333333337,1.0,0.0,0.15029469548133595,153.0,2.102272727272727,0.13594457511356783,0.1545260384750923,0.0
11,0.3394961029545043,0.017847485127095726,33.0,1849.0,186.0,0.0,0.46153846153846156,0.46153846153846156,0.6153846153846154,0.8461538461538461,0.6307692307692307,0.9230769230769231,0.6384615384615385,1.0,0.03225806451612903,0.1489971346704871,156.0,,,,0.0
12,0.34729019394598515,0.023446019629225736,43.0,1834.0,186.0,0.0,0.5,0.5,0.625,0.75,0.6458333333333334,0.8333333333333334,0.6634259259259259,1.0,0.03225806451612903,0.15,153.0,,,,0.0
13,0.35526554286750045,0.023783783783783784,44.0,1850.0,186.0,0.0,0.3125,0.3125,0.41666666666666663,0.5625,0.44479166666666664,0.6875,0.4844494047619048,1.0,0.026881720430107527,0.15506035283194058,167.0,,,,0.0
