round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2564799709987312,0.019650655021834062,36.0,1832.0,186.0,0.0,0.35714285714285715,0.35714285714285715,0.5714285714285714,0.8571428571428571,0.5857142857142856,0.9285714285714286,0.5959183673469388,1.0,0.026881720430107527,0.15567765567765568,170.0,2.1132075471698113,0.16475845212341117,0.041888105089296745,0.0
1,0.26101141924959215,0.013631406761177753,25.0,1834.0,186.0,0.0,0.4,0.4,0.55,0.8,0.595,1.0,0.595,1.0,0.021505376344086023,0.1503690036900369,163.0,,,,0.0
2,0.2660866412905565,0.015275504637206765,28.0,1833.0,186.0,0.0,0.8181818181818182,0.8181818181818182,0.8484848484848484,0.9090909090909091,0.8484848484848484,0.9090909090909091,0.8614718614718615,1.0,0.04838709677419355,0.14743589743589744,161.0,,,,0.0
3,0.27442450607214064,0.025068119891008173,46.0,1835.0,186.0,0.0,0.5555555555555556,0.5555555555555556,0.6111111111111112,0.6666666666666666,0.6722222222222223,0.9444444444444444,0.6814814814814816,1.0,0.053763440860215055,0.15244487056567593,159.0,,,,0.0
4,0.2784121805328983,0.0120415982484948,22.0,1827.0,186.0,0.0,0.42857142857142855,0.42857142857142855,0.6904761904761906,1.0,0.6904761904761906,1.0,0.6904761904761906,1.0,0.016129032258064516,0.15307057745187902,167.0,,,,0.0
5,0.2843936922240348,0.01800327332242226,33.0,1833.0,186.0,0.0,0.5384615384615384,0.5384615384615384,0.6025641025641025,0.6923076923076923,0.6025641025641025,0.6923076923076923,0.6445360195360195,1.0,0.03763440860215054,0.15355450236966825,162.0,,,,0.0
6,0.28874388254486133,0.013252346769740474,24.0,1811.0,186.0,0.0,0.5555555555555556,0.5555555555555556,0.7222222222222222,0.8888888888888888,0.75,1.0,0.75,1.0,0.026881720430107527,0.1489945155393053,163.0,,,,0.0
7,0.2965379735363422,0.023665382498624106,43.0,1817.0,186.0,0.0,0.5,0.5,0.7166666666666666,1.0,0.7166666666666666,1.0,0.7166666666666666,1.0,0.026881720430107527,0.14757103574702107,161.0,,,,0.0
8,0.3010694217872032,0.013743815283122594,25.0,1819.0,186.0,0.0,0.5,0.5,0.5625,0.625,0.5625,0.625,0.60625,1.0,0.021505376344086023,0.1431159420289855,158.0,,,,0.0
9,0.3028820010875476,0.005479452054794521,10.0,1825.0,186.0,0.0,0.4,0.4,0.5,0.6,0.55,0.8,0.5785714285714285,1.0,0.010752688172043012,0.14246575342465753,156.0,,,,0.0
