round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4052927315570056,0.016574585635359115,30.0,1810.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.5666666666666667,0.8,0.5833333333333334,0.8666666666666667,0.6027777777777777,1.0,0.026881720430107527,0.1539961013645224,158.0,2.0,0.14095508701602727,0.0853562238901852,0.0
1,0.41054921152800433,0.015829694323144104,29.0,1832.0,186.0,0.0,0.2,0.2,0.36666666666666664,0.6,0.4116666666666666,0.8,0.4426190476190476,1.0,0.010752688172043012,0.15071090047393365,159.0,,,,0.0
2,0.4141743701286931,0.010899182561307902,20.0,1835.0,186.0,0.0,0.45454545454545453,0.45454545454545453,0.6666666666666666,0.9090909090909091,0.6848484848484848,1.0,0.6848484848484848,1.0,0.026881720430107527,0.14956855225311602,156.0,,,,0.0
3,0.41798078665941635,0.011481683980317113,21.0,1829.0,186.0,0.0,0.25,0.25,0.3333333333333333,0.4166666666666667,0.3541666666666667,0.5,0.4180555555555556,1.0,0.016129032258064516,0.15450236966824646,163.0,,,,0.0
4,0.42341852456044954,0.016339869281045753,30.0,1836.0,186.0,0.0,0.4166666666666667,0.4166666666666667,0.5416666666666666,0.75,0.5416666666666666,0.75,0.5747354497354498,1.0,0.026881720430107527,0.14874551971326164,166.0,,,,0.0
5,0.4246873300706906,0.0038503850385038503,7.0,1818.0,186.0,0.0,0.2857142857142857,0.2857142857142857,0.4047619047619047,0.5714285714285714,0.5119047619047619,1.0,0.5119047619047619,1.0,0.010752688172043012,0.14825046040515655,161.0,,,,0.0
6,0.42541236179082836,0.002184598580010923,4.0,1831.0,186.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5590277777777778,1.0,0.010752688172043012,0.1492265696087352,164.0,,,,0.0
7,0.4255936197208628,0.0005512679162072767,1.0,1814.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0.0,0.15930018416206262,173.0,,,,0.0
8,0.42722494109117276,0.0049833887043189366,9.0,1806.0,186.0,0.0,0.125,0.125,0.25,0.375,0.28125,0.5,0.3546626984126984,1.0,0.005376344086021506,0.15291936978683968,165.0,,,,0.0
9,0.4284937466014138,0.003844041735310269,7.0,1821.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.47222222222222215,0.6666666666666666,0.47222222222222215,0.6666666666666666,0.5074074074074074,1.0,0.010752688172043012,0.15391791044776118,165.0,,,,0.0
10,0.429400036251586,0.002717391304347826,5.0,1840.0,186.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7222222222222223,1.0,0.010752688172043012,0.15205223880597016,163.0,2.513888888888889,0.13118250822068905,0.07179600678163656,0.0
