round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40076128330614463,0.002763957987838585,5.0,1809.0,186.0,0.0,0.0,0.0,0.1,0.2,0.1,0.2,0.2007936507936508,1.0,0.0,0.14891696750902528,165.0,2.4857142857142858,0.1447936793193133,0.04353594443517144,0.0
1,0.40203008881638574,0.003854625550660793,7.0,1816.0,186.0,0.0,0.2857142857142857,0.2857142857142857,0.40476190476190477,0.5714285714285714,0.40476190476190477,0.5714285714285714,0.4543650793650794,1.0,0.010752688172043012,0.14752650176678445,167.0,,,,0.0
2,0.40366141018669566,0.0049504950495049506,9.0,1818.0,186.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.825,1.0,0.021505376344086023,0.14949863263445762,164.0,,,,0.0
3,0.404205183976799,0.0016375545851528383,3.0,1832.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.49206349206349204,1.0,0.005376344086021506,0.14609800362976408,161.0,,,,0.0
4,0.4047489577669023,0.0016286644951140066,3.0,1842.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.611111111111111,1.0,0.611111111111111,1.0,0.611111111111111,1.0,0.005376344086021506,0.1496282527881041,161.0,,,,0.0
5,0.4051114736269712,0.001095290251916758,2.0,1826.0,186.0,0.0,0.0,0.0,0.25,0.5,0.25,0.5,0.3214285714285714,1.0,0.0,0.15111940298507462,162.0,,,,0.0
6,0.4058365053471089,0.002211166390270868,4.0,1809.0,186.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5590277777777778,1.0,0.010752688172043012,0.15009208103130756,163.0,,,,0.0
7,0.4067427949972811,0.002688172043010753,5.0,1860.0,186.0,0.0,0.4,0.4,0.5333333333333333,0.8,0.5333333333333333,0.8,0.5666666666666667,1.0,0.010752688172043012,0.14885844748858448,163.0,,,,0.0
8,0.4080116005075222,0.0038293216630196935,7.0,1828.0,186.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2703042328042328,1.0,0.005376344086021506,0.1572093023255814,169.0,,,,0.0
9,0.40819285843755665,0.0005452562704471102,1.0,1834.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,0.13992869875222816,157.0,,,,0.0
10,0.40909914808772885,0.0027144408251900108,5.0,1842.0,186.0,0.0,0.4,0.4,0.4,0.4,0.49000000000000005,0.8,0.51,1.0,0.010752688172043012,0.14939309056956115,160.0,2.6777777777777776,0.142552211090403,0.05242252077364223,0.0
11,0.40909914808772885,0.0,0.0,1808.0,186.0,0.0,,,,,,,,,0.0,0.14678030303030304,155.0,,,,0.0
12,0.40964292187783213,0.0016277807921866521,3.0,1843.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0.0,0.15349264705882354,167.0,,,,0.0
13,0.4101866956679355,0.001644736842105263,3.0,1824.0,186.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.18333333333333335,1.0,0.0,0.14324817518248176,157.0,,,,0.0
