round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.41435562805872755,0.04343105320304017,80.0,1842.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12903225806451613,0.1512455516014235,170.0,2.388888888888889,0.13676651420451547,0.04496328485353583,0.0
1,0.4246873300706906,0.031198686371100164,57.0,1827.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08602150537634409,0.1586452762923351,178.0,,,,0.0
2,0.44027551205365234,0.04746136865342163,86.0,1812.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12365591397849462,0.15595463137996218,165.0,,,,0.0
3,0.4489758926953054,0.026158038147138966,48.0,1835.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06989247311827956,0.15342960288808663,170.0,,,,0.0
4,0.46275149537792276,0.041804180418041806,76.0,1818.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11290322580645161,0.1602982292637465,172.0,,,,0.0
5,0.47362697117998914,0.03303964757709251,60.0,1816.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0967741935483871,0.15495495495495495,172.0,,,,0.0
6,0.4857712524922965,0.03766160764474424,67.0,1779.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10752688172043011,0.15669515669515668,165.0,,,,0.0
7,0.49882182345477616,0.039538714991762765,72.0,1821.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12365591397849462,0.1516802906448683,167.0,,,,0.0
8,0.505347108936016,0.019823788546255508,36.0,1816.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06451612903225806,0.1559633027522936,170.0,,,,0.0
9,0.5147725212978068,0.02924634420697413,52.0,1778.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0913978494623656,0.14784205693296604,161.0,,,,0.0
10,0.5196664854087366,0.014835164835164835,27.0,1820.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06989247311827956,0.16069788797061524,175.0,2.4155844155844157,0.10427099855235658,0.07235830497096224,0.0
11,0.5270980605401486,0.022428884026258207,41.0,1828.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0913978494623656,0.15097690941385436,170.0,,,,0.0
12,0.5385173101323183,0.0341833966359197,63.0,1843.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0967741935483871,0.15503173164097914,171.0,,,,0.0
13,0.5472176907739713,0.026622296173044926,48.0,1803.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08064516129032258,0.15428033866415805,164.0,,,,0.0
14,0.5515678810947979,0.012965964343598054,24.0,1851.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07526881720430108,0.15315315315315314,170.0,,,,0.0
15,0.5580931665760377,0.01938610662358643,36.0,1857.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07526881720430108,0.1544256120527307,164.0,,,,0.0
16,0.5667935472176908,0.026519337016574586,48.0,1810.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10215053763440861,0.1555352241537054,170.0,,,,0.0
17,0.5785753126699293,0.03591160220994475,65.0,1810.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08064516129032258,0.16117216117216118,176.0,,,,0.0
18,0.5863694036614102,0.023344191096634093,43.0,1842.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06989247311827956,0.1567717996289425,169.0,,,,0.0
19,0.6001450063440276,0.041058887088060506,76.0,1851.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11827956989247312,0.15967153284671534,175.0,,,,0.0
20,0.6037701649447164,0.011013215859030838,20.0,1816.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04838709677419355,0.15013404825737264,168.0,2.4615384615384617,0.07976601017441388,0.08492453724880708,0.0
21,0.6104767083559905,0.020251778872468526,37.0,1827.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.053763440860215055,0.15741583257506825,173.0,,,,0.0
22,0.6162769621170926,0.01728795245813074,32.0,1851.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08602150537634409,0.16123019571295433,173.0,,,,0.0
23,0.6206271524379191,0.013348164627363738,24.0,1798.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.043010752688172046,0.15775158658204896,174.0,,,,0.0
24,0.6247960848287113,0.01248642779587405,23.0,1842.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.043010752688172046,0.1607806691449814,173.0,,,,0.0
25,0.6278774696392967,0.009413067552602437,17.0,1806.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05913978494623656,0.1483166515013649,163.0,,,,0.0
26,0.6322276599601232,0.013107591480065538,24.0,1831.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07526881720430108,0.15915363385464582,173.0,,,,0.0
27,0.6365778502809498,0.013022246337493217,24.0,1843.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.053763440860215055,0.16138059701492538,173.0,,,,0.0
28,0.6383904295812942,0.00547645125958379,10.0,1826.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.043010752688172046,0.15627906976744185,168.0,,,,0.0
29,0.6429218778321552,0.013572204125950055,25.0,1842.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07526881720430108,0.1576036866359447,171.0,,,,0.0
