round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2552111654884901,0.015846994535519125,29.0,1830.0,186.0,0.0,0.625,0.625,0.71875,0.875,0.75,1.0,0.75,1.0,0.053763440860215055,0.15229885057471265,159.0,1.9710144927536233,0.16372002661487206,0.04648233472419058,0.0
1,0.25847380822911004,0.009922822491730982,18.0,1814.0,186.0,0.0,0.4,0.4,0.5,0.6,0.5700000000000001,0.9,0.5842857142857143,1.0,0.021505376344086023,0.15173674588665448,166.0,,,,0.0
2,0.2624614826898677,0.011963023382272975,22.0,1839.0,186.0,0.0,0.375,0.375,0.5416666666666666,0.75,0.5416666666666666,0.75,0.578125,1.0,0.016129032258064516,0.14069456812110417,158.0,,,,0.0
3,0.26554286750045314,0.009330406147091108,17.0,1822.0,186.0,0.0,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.8571428571428571,0.6071428571428571,1.0,0.6071428571428571,1.0,0.016129032258064516,0.1568075117370892,167.0,,,,0.0
4,0.27261192677179624,0.021405049396267837,39.0,1822.0,186.0,0.0,0.14285714285714285,0.14285714285714285,0.3095238095238095,0.5,0.3273809523809524,0.5714285714285714,0.38988095238095244,1.0,0.010752688172043012,0.15258855585831063,168.0,,,,0.0
5,0.2742432481421062,0.0049504950495049506,9.0,1818.0,186.0,0.0,0.4,0.4,0.6,0.8,0.6,0.8,0.62,1.0,0.010752688172043012,0.14080717488789238,157.0,,,,0.0
6,0.27551205365234727,0.003800217155266015,7.0,1842.0,186.0,0.0,0.25,0.25,0.375,0.5,0.375,0.5,0.4523809523809524,1.0,0.005376344086021506,0.15267175572519084,160.0,,,,0.0
7,0.27732463295269166,0.005385029617662897,10.0,1857.0,186.0,0.0,0.5,0.5,0.6041666666666667,0.75,0.6041666666666667,0.75,0.6398809523809523,1.0,0.021505376344086023,0.14991023339317774,167.0,,,,0.0
8,0.2825811129236904,0.015778019586507073,29.0,1838.0,186.0,0.0,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.9090909090909091,0.7454545454545454,1.0,0.7454545454545454,1.0,0.03225806451612903,0.14977168949771688,164.0,,,,0.0
9,0.2847562080841037,0.006546644844517185,12.0,1833.0,186.0,0.0,0.25,0.25,0.39583333333333337,0.625,0.39583333333333337,0.625,0.45014880952380953,1.0,0.010752688172043012,0.1589840075258702,169.0,,,,0.0
10,0.2876563349646547,0.008705114254624592,16.0,1838.0,186.0,0.0,0.4444444444444444,0.4444444444444444,0.537037037037037,0.6666666666666666,0.6148148148148148,1.0,0.6148148148148148,1.0,0.021505376344086023,0.15428033866415805,164.0,2.0307692307692307,0.15451148333355638,0.0760139984278774,0.0
