round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25303607032807685,0.009371554575523704,17.0,1814.0,186.0,0.0,0.25,0.25,0.4166666666666667,0.6666666666666666,0.43333333333333335,0.75,0.4639880952380952,1.0,0.016129032258064516,0.15300546448087432,168.0,2.0588235294117645,0.16094938510868395,0.09074170274740483,0.0
1,0.2573862606489034,0.012972972972972972,24.0,1850.0,186.0,0.0,0.4444444444444444,0.4444444444444444,0.5925925925925926,0.7777777777777778,0.5925925925925926,0.7777777777777778,0.6222222222222222,1.0,0.021505376344086023,0.14985862393967955,159.0,,,,0.0
2,0.2608301613195577,0.01025364274150027,19.0,1853.0,186.0,0.0,0.3,0.3,0.5,0.7,0.545,0.9,0.5549999999999999,1.0,0.016129032258064516,0.15602189781021897,171.0,,,,0.0
3,0.26481783578031537,0.011898323418063819,22.0,1849.0,186.0,0.0,0.7142857142857143,0.7142857142857143,0.8095238095238094,1.0,0.8095238095238094,1.0,0.8095238095238094,1.0,0.026881720430107527,0.1509433962264151,168.0,,,,0.0
4,0.26735544680079754,0.007679648930334613,14.0,1823.0,186.0,0.0,0.09090909090909091,0.09090909090909091,0.303030303030303,0.5454545454545454,0.32575757575757575,0.6363636363636364,0.3709235209235209,1.0,0.005376344086021506,0.14852398523985239,161.0,,,,0.0
5,0.2686242523110386,0.003816793893129771,7.0,1834.0,186.0,0.0,0.25,0.25,0.41666666666666663,0.75,0.41666666666666663,0.75,0.45238095238095233,1.0,0.005376344086021506,0.14640638864241348,165.0,,,,0.0
6,0.2689867681711075,0.001092896174863388,2.0,1830.0,186.0,0.0,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.005376344086021506,0.1439929328621908,163.0,,,,0.0
7,0.270436831611383,0.004319654427645789,8.0,1852.0,186.0,0.0,0.2857142857142857,0.2857142857142857,0.47619047619047616,0.7142857142857143,0.47619047619047616,0.7142857142857143,0.5158730158730159,1.0,0.010752688172043012,0.1468721668177697,162.0,,,,0.0
8,0.2722494109117274,0.005443658138268917,10.0,1837.0,186.0,0.0,0.0,0.0,0.10416666666666666,0.25,0.19166666666666665,0.625,0.2390376984126984,1.0,0.0,0.15301530153015303,170.0,,,,0.0
9,0.2742432481421062,0.005962059620596206,11.0,1845.0,186.0,0.0,0.14285714285714285,0.14285714285714285,0.38095238095238093,0.7142857142857143,0.38095238095238093,0.7142857142857143,0.41564625850340137,1.0,0.005376344086021506,0.14928057553956833,166.0,,,,0.0
10,0.2767808591625884,0.0075716603569497025,14.0,1849.0,186.0,0.0,0.0,0.0,0.10416666666666666,0.25,0.18541666666666665,0.625,0.2326388888888889,1.0,0.0,0.1481164383561644,173.0,2.8979591836734695,0.15386931224112257,0.11430660377262992,0.0
11,0.27732463295269166,0.0016429353778751369,3.0,1826.0,186.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.24444444444444446,1.0,0.24444444444444446,1.0,0.0,0.14725069897483692,158.0,,,,0.0
12,0.2775058908827261,0.0005449591280653951,1.0,1835.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.1456140350877193,166.0,,,,0.0
13,0.27895595432300163,0.004333694474539545,8.0,1846.0,186.0,0.0,0.0,0.0,0.0,0.0,0.1125,0.5,0.1732142857142857,1.0,0.0,0.14725069897483692,158.0,,,,0.0
14,0.2796809860431394,0.002171552660152009,4.0,1842.0,186.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.3384920634920635,1.0,0.005376344086021506,0.15217391304347827,168.0,,,,0.0
15,0.2805872756933116,0.002730748225013654,5.0,1831.0,186.0,0.0,0.2,0.2,0.36666666666666664,0.6,0.36666666666666664,0.6,0.41166666666666674,1.0,0.005376344086021506,0.14645103324348607,163.0,,,,0.0
16,0.2814935653434838,0.002720348204570185,5.0,1838.0,186.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.17777777777777778,0.6666666666666666,0.2253968253968254,1.0,0.0,0.15579710144927536,172.0,,,,0.0
17,0.2822185970636215,0.002191780821917808,4.0,1825.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.41203703703703703,1.0,0.005376344086021506,0.15026833631484796,168.0,,,,0.0
18,0.2843936922240348,0.006482982171799027,12.0,1851.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.47222222222222215,0.6666666666666666,0.47222222222222215,0.6666666666666666,0.5115740740740741,1.0,0.010752688172043012,0.14837576821773485,169.0,,,,0.0
19,0.2843936922240348,0.0,0.0,1835.0,186.0,0.0,,,,,,,,,0.0,0.15018315018315018,164.0,,,,0.0
20,0.28511872394417254,0.002154011847065159,4.0,1857.0,186.0,0.0,0.5,0.5,0.5,0.5,0.625,1.0,0.625,1.0,0.005376344086021506,0.14507299270072993,159.0,2.6666666666666665,0.15072777345530208,0.06964343745314641,0.0
21,0.28602501359434473,0.002701242571582928,5.0,1851.0,186.0,0.0,0.0,0.0,0.27777777777777773,0.6666666666666666,0.27777777777777773,0.6666666666666666,0.3194444444444444,1.0,0.0,0.15391539153915393,171.0,,,,0.0
22,0.2874750770346203,0.004331348132106118,8.0,1847.0,186.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.19999999999999998,0.5,0.2701058201058201,1.0,0.0,0.14795008912655971,166.0,,,,0.0
23,0.2876563349646547,0.0005455537370430987,1.0,1833.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.15132178669097537,166.0,,,,0.0
24,0.2885626246148269,0.0027056277056277055,5.0,1848.0,186.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7083333333333334,1.0,0.010752688172043012,0.14784205693296604,161.0,,,,0.0
25,0.2894689142649991,0.0027412280701754384,5.0,1824.0,186.0,0.0,0.2,0.2,0.4,0.6,0.4,0.6,0.4619047619047619,1.0,0.005376344086021506,0.15186500888099466,171.0,,,,0.0
26,0.28965017219503353,0.000543773790103317,1.0,1839.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.1478743068391867,160.0,,,,0.0
27,0.29019394598513687,0.001639344262295082,3.0,1830.0,186.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5833333333333334,1.0,0.005376344086021506,0.15145985401459855,166.0,,,,0.0
28,0.2903752039151713,0.000547645125958379,1.0,1826.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0.0,0.15252707581227437,169.0,,,,0.0
29,0.29073771977524016,0.001075268817204301,2.0,1860.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11805555555555555,1.0,0.0,0.147396293027361,167.0,,,,0.0
