round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4004171848048458,0.011235955056179775,11.0,979.0,98.0,0.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.3181818181818182,0.45454545454545453,0.39087301587301587,1.0,0.030612244897959183,0.1637323943661972,93.0,2.142857142857143,0.241621841039092,0.1903907849882443,0.0
1,0.4008183240402744,0.010362694300518135,10.0,965.0,98.0,0.0,0.0,0.0,0.037037037037037035,0.1111111111111111,0.14259259259259258,0.5555555555555556,0.19228395061728396,1.0,0.0,0.1616871704745167,92.0,,,,0.0
2,0.4013398050463316,0.013265306122448979,13.0,980.0,98.0,0.0,0.09090909090909091,0.09090909090909091,0.2121212121212121,0.36363636363636365,0.253030303030303,0.5454545454545454,0.30667388167388165,1.0,0.01020408163265306,0.15726495726495726,92.0,,,,0.0
3,0.4017409442817602,0.01037344398340249,10.0,964.0,98.0,0.0,0.0,0.0,0.14583333333333331,0.375,0.20833333333333331,0.625,0.2586805555555555,1.0,0.0,0.15706806282722513,90.0,,,,0.0
4,0.4022624252878174,0.01330603889457523,13.0,977.0,98.0,0.0,0.15384615384615385,0.15384615384615385,0.20512820512820512,0.3076923076923077,0.23974358974358975,0.46153846153846156,0.3108669108669109,1.0,0.02040816326530612,0.16351118760757316,95.0,,,,0.0
5,0.4028240202174175,0.014659685863874346,14.0,955.0,98.0,0.0,0.0,0.0,0.06944444444444443,0.16666666666666666,0.09027777777777778,0.25,0.18680555555555556,1.0,0.0,0.15034965034965034,86.0,,,,0.0
6,0.4030245898351318,0.005107252298263534,5.0,979.0,98.0,0.0,0.4,0.4,0.4,0.4,0.49000000000000005,0.8,0.5122222222222221,1.0,0.02040816326530612,0.1586452762923351,89.0,,,,0.0
7,0.4033053872999318,0.007142857142857143,7.0,980.0,98.0,0.0,0.16666666666666666,0.16666666666666666,0.4444444444444444,0.8333333333333334,0.4444444444444444,0.8333333333333334,0.462962962962963,1.0,0.01020408163265306,0.16267123287671234,95.0,,,,0.0
8,0.403546070841189,0.006263048016701462,6.0,958.0,98.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.16666666666666666,0.15158730158730158,1.0,0.0,0.1520979020979021,87.0,,,,0.0
9,0.4039472100766176,0.010319917440660475,10.0,969.0,98.0,0.0,0.2,0.2,0.2833333333333333,0.4,0.3083333333333333,0.5,0.37579365079365074,1.0,0.02040816326530612,0.16145833333333334,93.0,,,,0.0
10,0.4041477796943319,0.00513347022587269,5.0,974.0,98.0,0.0,0.0,0.0,0.1,0.2,0.13999999999999999,0.4,0.21357142857142858,1.0,0.0,0.15716753022452504,91.0,2.191011235955056,0.23999197605771103,0.1917938541238413,0.0
11,0.4042681214649605,0.0031446540880503146,3.0,954.0,98.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.1722222222222222,1.0,0.0,0.1546572934973638,88.0,,,,0.0
12,0.40450880500621766,0.006185567010309278,6.0,970.0,98.0,0.0,0.0,0.0,0.06666666666666667,0.2,0.16666666666666666,0.6,0.22000000000000003,1.0,0.0,0.15862068965517243,92.0,,,,0.0
