round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4022624252878174,0.05822267620020429,57.0,979.0,98.0,0.0,0.18421052631578946,0.18421052631578946,0.23684210526315788,0.3157894736842105,0.3144736842105263,0.6578947368421053,0.3593880534670008,1.0,0.07142857142857142,0.16515426497277677,91.0,2.1235955056179776,0.24057389430260095,0.19227557565766512,0.0
1,0.4043884632355891,0.054922279792746116,53.0,965.0,98.0,0.0,0.2,0.2,0.280952380952381,0.42857142857142855,0.33666666666666667,0.6571428571428571,0.3825283446712018,1.0,0.07142857142857142,0.1726078799249531,92.0,,,,0.0
2,0.40691564041878936,0.06428571428571428,63.0,980.0,98.0,0.0,0.16279069767441862,0.16279069767441862,0.3062015503875969,0.5348837209302325,0.35387596899224805,0.7441860465116279,0.3878829826504245,1.0,0.07142857142857142,0.1672661870503597,93.0,,,,0.0
3,0.4096032732961611,0.0694300518134715,67.0,965.0,98.0,0.0,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.40476190476190477,0.2452380952380952,0.5476190476190477,0.3016628873771731,1.0,0.030612244897959183,0.17293233082706766,92.0,,,,0.0
4,0.41245136186770426,0.07267144319344933,71.0,977.0,98.0,0.0,0.20512820512820512,0.20512820512820512,0.2905982905982906,0.41025641025641024,0.34188034188034183,0.6410256410256411,0.3922975172975172,1.0,0.08163265306122448,0.1685185185185185,91.0,,,,0.0
5,0.4151791086686189,0.0709812108559499,68.0,958.0,98.0,0.0,0.3,0.3,0.3916666666666667,0.5,0.4379166666666666,0.7,0.4742261904761905,1.0,0.12244897959183673,0.17669172932330826,94.0,,,,0.0
6,0.4177865136989049,0.06639427987742594,65.0,979.0,98.0,0.0,0.15,0.15,0.3083333333333333,0.525,0.34833333333333333,0.7,0.38467261904761907,1.0,0.061224489795918366,0.17100371747211895,92.0,,,,0.0
7,0.4206346022704481,0.07244897959183673,71.0,980.0,98.0,0.0,0.24324324324324326,0.24324324324324326,0.3333333333333333,0.43243243243243246,0.3887387387387387,0.6756756756756757,0.4306091806091805,1.0,0.09183673469387756,0.16757741347905283,92.0,,,,0.0
8,0.42211881744153396,0.038622129436325675,37.0,958.0,98.0,0.0,0.2692307692307692,0.2692307692307692,0.39743589743589747,0.5384615384615384,0.47051282051282056,0.8461538461538461,0.4908424908424909,1.0,0.07142857142857142,0.1706422018348624,93.0,,,,0.0
9,0.4244855389305628,0.06032719836400818,59.0,978.0,98.0,0.0,0.0975609756097561,0.0975609756097561,0.1951219512195122,0.34146341463414637,0.22804878048780483,0.4878048780487805,0.2966124661246612,1.0,0.04081632653061224,0.1660377358490566,88.0,,,,0.0
10,0.4266516908018773,0.055441478439425054,54.0,974.0,98.0,0.0,0.21428571428571427,0.21428571428571427,0.3055555555555555,0.42857142857142855,0.3698412698412698,0.7142857142857143,0.403656462585034,1.0,0.09183673469387756,0.16820702402957485,91.0,2.0224719101123596,0.22616758067410725,0.161102202834498,0.0
11,0.42869750090256326,0.05301455301455302,51.0,962.0,98.0,0.0,0.125,0.125,0.2291666666666666,0.375,0.27166666666666667,0.575,0.32515873015873015,1.0,0.05102040816326531,0.17448405253283303,93.0,,,,0.0
12,0.4305026274619921,0.04639175257731959,45.0,970.0,98.0,0.0,0.0967741935483871,0.0967741935483871,0.1989247311827957,0.3225806451612903,0.2731182795698925,0.6451612903225806,0.3165898617511521,1.0,0.030612244897959183,0.1657559198542805,91.0,,,,0.0
13,0.432548437562678,0.05268595041322314,51.0,968.0,98.0,0.0,0.1935483870967742,0.1935483870967742,0.2903225806451613,0.41935483870967744,0.35806451612903223,0.7096774193548387,0.3937660010240655,1.0,0.061224489795918366,0.16337522441651706,91.0,,,,0.0
14,0.43419310842793535,0.042008196721311473,41.0,976.0,98.0,0.0,0.15625,0.15625,0.3489583333333333,0.625,0.3973958333333333,0.84375,0.4183159722222222,1.0,0.05102040816326531,0.1685185185185185,91.0,,,,0.0
15,0.43575755144610695,0.03979591836734694,39.0,980.0,98.0,0.0,0.16666666666666666,0.16666666666666666,0.3055555555555555,0.5,0.37638888888888883,0.7916666666666666,0.4040839947089947,1.0,0.04081632653061224,0.1717557251908397,90.0,,,,0.0
16,0.4373621083878214,0.04081632653061224,40.0,980.0,98.0,0.0,0.037037037037037035,0.037037037037037035,0.15432098765432098,0.3333333333333333,0.2191358024691358,0.6296296296296297,0.2687683715461493,1.0,0.01020408163265306,0.16515426497277677,91.0,,,,0.0
17,0.4394881463355931,0.05447070914696814,53.0,973.0,98.0,0.0,0.18181818181818182,0.18181818181818182,0.22727272727272727,0.30303030303030304,0.29848484848484846,0.6060606060606061,0.3511183261183261,1.0,0.061224489795918366,0.16074766355140188,86.0,,,,0.0
18,0.44201532351879336,0.06501547987616099,63.0,969.0,98.0,0.0,0.23684210526315788,0.23684210526315788,0.3991228070175438,0.6052631578947368,0.4307017543859649,0.7368421052631579,0.46591478696741856,1.0,0.09183673469387756,0.16697588126159554,90.0,,,,0.0
19,0.4444622728549079,0.06224489795918367,61.0,980.0,98.0,0.0,0.22727272727272727,0.22727272727272727,0.3674242424242424,0.5227272727272727,0.39924242424242423,0.6590909090909091,0.44171176046176047,1.0,0.10204081632653061,0.1648148148148148,89.0,,,,0.0
20,0.4465080829555939,0.05214723926380368,51.0,978.0,98.0,0.0,0.125,0.125,0.2583333333333333,0.45,0.27458333333333335,0.525,0.3379662698412698,1.0,0.05102040816326531,0.15942028985507245,88.0,2.0549450549450547,0.21408712752276743,0.21170173601412068,0.0
21,0.4479922981266798,0.037871033776867964,37.0,977.0,98.0,0.0,0.10714285714285714,0.10714285714285714,0.1726190476190476,0.2857142857142857,0.22976190476190475,0.5357142857142857,0.2931831065759637,1.0,0.030612244897959183,0.16727941176470587,91.0,,,,0.0
22,0.44999799430382287,0.05170630816959669,50.0,967.0,98.0,0.0,0.0625,0.0625,0.203125,0.40625,0.2390625,0.5625,0.29993799603174603,1.0,0.02040816326530612,0.17158671586715868,93.0,,,,0.0
23,0.45240482971639456,0.062434963579604576,60.0,961.0,98.0,0.0,0.29411764705882354,0.29411764705882354,0.35784313725490197,0.47058823529411764,0.4004901960784314,0.6470588235294118,0.4506302521008403,1.0,0.10204081632653061,0.1609403254972875,89.0,,,,0.0
24,0.45449075374062337,0.05327868852459016,52.0,976.0,98.0,0.0,0.16216216216216217,0.16216216216216217,0.24774774774774774,0.35135135135135137,0.27612612612612614,0.4864864864864865,0.35043972543972546,1.0,0.061224489795918366,0.16729323308270677,89.0,,,,0.0
25,0.45657667776485217,0.05311542390194075,52.0,979.0,98.0,0.0,0.11428571428571428,0.11428571428571428,0.21904761904761902,0.37142857142857144,0.2876190476190476,0.6857142857142857,0.3301814058956915,1.0,0.04081632653061224,0.1657559198542805,91.0,,,,0.0
26,0.4580207790123952,0.037383177570093455,36.0,963.0,98.0,0.0,0.1111111111111111,0.1111111111111111,0.27777777777777773,0.5185185185185185,0.3277777777777778,0.7407407407407407,0.35992063492063486,1.0,0.030612244897959183,0.16760828625235405,89.0,,,,0.0
27,0.4593846524128525,0.03469387755102041,34.0,980.0,98.0,0.0,0.10714285714285714,0.10714285714285714,0.1845238095238095,0.2857142857142857,0.25773809523809527,0.6071428571428571,0.30790816326530607,1.0,0.030612244897959183,0.17184643510054845,94.0,,,,0.0
28,0.4611897789722813,0.04643962848297214,45.0,969.0,98.0,0.0,0.125,0.125,0.19791666666666663,0.3125,0.24479166666666666,0.53125,0.3096974206349206,1.0,0.04081632653061224,0.16457960644007155,92.0,,,,0.0
29,0.46279433591399577,0.04145077720207254,40.0,965.0,98.0,0.0,0.15384615384615385,0.15384615384615385,0.33974358974358976,0.5769230769230769,0.38782051282051283,0.8076923076923077,0.4117368742368743,1.0,0.04081632653061224,0.16820702402957485,91.0,,,,0.0
