round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4011392354286173,0.029927760577915376,29.0,969.0,98.0,0.0,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.3333333333333333,0.21458333333333332,0.5416666666666666,0.27579365079365076,1.0,0.01020408163265306,0.16636528028933092,92.0,2.0434782608695654,0.24087481325717575,0.16957828823755489,0.0
1,0.4030245898351318,0.048205128205128206,47.0,975.0,98.0,0.0,0.5,0.5,0.5763888888888888,0.6666666666666666,0.5868055555555555,0.7083333333333334,0.6203042328042327,1.0,0.12244897959183673,0.15280135823429541,90.0,,,,0.0
2,0.4051105138593606,0.053388090349075976,52.0,974.0,98.0,0.0,0.37142857142857144,0.37142857142857144,0.5095238095238095,0.6571428571428571,0.5166666666666666,0.6857142857142857,0.5594671201814059,1.0,0.1326530612244898,0.1592920353982301,90.0,,,,0.0
3,0.40795860243090376,0.07312049433573635,71.0,971.0,98.0,0.0,0.5853658536585366,0.5853658536585366,0.6422764227642277,0.7317073170731707,0.6617886178861788,0.8292682926829268,0.6829945799457995,1.0,0.24489795918367346,0.15699658703071673,92.0,,,,0.0
4,0.4101247543022183,0.05572755417956656,54.0,969.0,98.0,0.0,0.6470588235294118,0.6470588235294118,0.7058823529411765,0.7941176470588235,0.7191176470588236,0.8529411764705882,0.7368814192343605,1.0,0.22448979591836735,0.16258741258741258,93.0,,,,0.0
5,0.4126920454089614,0.06680584551148225,64.0,958.0,98.0,0.0,0.7,0.7,0.7791666666666667,0.875,0.7854166666666667,0.9,0.799404761904762,1.0,0.2857142857142857,0.1494661921708185,84.0,,,,0.0
6,0.4140559188094187,0.03472931562819203,34.0,979.0,98.0,0.0,0.6956521739130435,0.6956521739130435,0.789855072463768,0.9130434782608695,0.8115942028985507,1.0,0.8115942028985507,1.0,0.16326530612244897,0.15780141843971632,89.0,,,,0.0
7,0.41554013398050466,0.03790983606557377,37.0,976.0,98.0,0.0,0.6,0.6,0.7066666666666667,0.84,0.7066666666666667,0.84,0.7304761904761905,1.0,0.15306122448979592,0.15853658536585366,91.0,,,,0.0
8,0.41710457699867626,0.04,39.0,975.0,98.0,0.0,0.5769230769230769,0.5769230769230769,0.6987179487179487,0.8461538461538461,0.6987179487179487,0.8461538461538461,0.7176739926739928,1.0,0.15306122448979592,0.16460176991150444,93.0,,,,0.0
9,0.4181876529343335,0.028272251308900525,27.0,955.0,98.0,0.0,0.6190476190476191,0.6190476190476191,0.6746031746031745,0.7619047619047619,0.6841269841269841,0.8095238095238095,0.7104308390022676,1.0,0.1326530612244898,0.15586690017513136,89.0,,,,0.0
