round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2545687587860746,0.03929203539823009,111.0,2825.0,378.0,0.0,0.3157894736842105,0.3157894736842105,0.47368421052631576,0.6666666666666666,0.5061403508771929,0.8070175438596491,0.5306251740462267,1.0,0.047619047619047616,0.21447253705318223,246.0,1.9722222222222223,0.14180426089224962,0.0897124198381212,0.0
1,0.26019184652278177,0.047752808988764044,136.0,2848.0,378.0,0.0,0.4090909090909091,0.4090909090909091,0.5631313131313131,0.7727272727272727,0.5972222222222222,0.9242424242424242,0.6074855699855699,1.0,0.07142857142857142,0.2083696599825632,239.0,,,,0.0
2,0.26672455139336804,0.05396174863387978,158.0,2928.0,378.0,0.0,0.4647887323943662,0.4647887323943662,0.5868544600938966,0.7605633802816901,0.6185446009389671,0.9014084507042254,0.6327632461435279,1.0,0.0873015873015873,0.2135265700483092,221.0,,,,0.0
3,0.27325725626395436,0.0531986531986532,158.0,2970.0,378.0,0.0,0.275,0.275,0.3666666666666667,0.5,0.40104166666666663,0.65,0.4485565476190477,1.0,0.0582010582010582,0.21619047619047618,227.0,,,,0.0
4,0.2812784255354337,0.06308943089430895,194.0,3075.0,378.0,0.0,0.3037974683544304,0.3037974683544304,0.4071729957805906,0.5569620253164557,0.4483122362869199,0.7341772151898734,0.4816405465139644,1.0,0.06349206349206349,0.20124113475177305,227.0,,,,0.0
5,0.28967171090713634,0.06554730384242816,203.0,3097.0,378.0,0.0,0.3333333333333333,0.3333333333333333,0.4406130268199234,0.5977011494252874,0.48831417624521073,0.8045977011494253,0.5155400474365992,1.0,0.07671957671957672,0.2029126213592233,209.0,,,,0.0
6,0.2988919209460018,0.07104173303599873,223.0,3139.0,378.0,0.0,0.25252525252525254,0.25252525252525254,0.3855218855218855,0.5757575757575758,0.4173400673400674,0.7171717171717171,0.45494227994228,1.0,0.06613756613756613,0.20235756385068762,206.0,,,,0.0
7,0.3057967419168114,0.05443285528031291,167.0,3068.0,378.0,0.0,0.25,0.25,0.3409090909090909,0.4659090909090909,0.37954545454545463,0.6363636363636364,0.4308847402597403,1.0,0.0582010582010582,0.22163308589607636,209.0,,,,0.0
8,0.3120400231538907,0.048012718600953894,151.0,3145.0,378.0,0.0,0.19753086419753085,0.19753086419753085,0.28806584362139914,0.4074074074074074,0.3343621399176955,0.6172839506172839,0.38522927689594355,1.0,0.042328042328042326,0.2172211350293542,222.0,,,,0.0
9,0.3172909947903746,0.0405880472994567,127.0,3129.0,378.0,0.0,0.13157894736842105,0.13157894736842105,0.26096491228070173,0.4342105263157895,0.30570175438596486,0.631578947368421,0.3544642857142857,1.0,0.026455026455026454,0.22210300429184548,207.0,,,,0.0
