round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25575493927859344,0.02130492676431425,32.0,1502.0,186.0,0.0,0.3888888888888889,0.3888888888888889,0.537037037037037,0.7222222222222222,0.5620370370370371,0.8333333333333334,0.5810846560846561,1.0,0.03763440860215054,0.14285714285714285,102.0,2.1322314049586777,0.1716718241761906,1.7381365757328169,0.0
1,0.26481783578031537,0.033602150537634407,50.0,1488.0,186.0,0.0,0.7,0.7,0.7916666666666667,0.95,0.7916666666666667,0.95,0.7988095238095239,1.0,0.07526881720430108,0.15940054495912806,117.0,,,,0.0
2,0.27460576400217507,0.03366583541147132,54.0,1604.0,186.0,0.0,0.5,0.5,0.5972222222222222,0.7083333333333334,0.626388888888889,0.8333333333333334,0.6508597883597883,1.0,0.06451612903225806,0.1592797783933518,115.0,,,,0.0
3,0.28783759289468913,0.04462102689486552,73.0,1636.0,186.0,0.0,0.46153846153846156,0.46153846153846156,0.6217948717948717,0.8076923076923077,0.641025641025641,0.8846153846153846,0.6543803418803419,1.0,0.06451612903225806,0.15917843388960207,124.0,,,,0.0
4,0.29563168388617,0.02628361858190709,43.0,1636.0,186.0,0.0,0.5294117647058824,0.5294117647058824,0.6176470588235294,0.7058823529411765,0.6588235294117647,0.8823529411764706,0.6745098039215687,1.0,0.04838709677419355,0.1536231884057971,106.0,,,,0.0
5,0.3061446438281675,0.03489771359807461,58.0,1662.0,186.0,0.0,0.39285714285714285,0.39285714285714285,0.49404761904761907,0.6071428571428571,0.5422619047619047,0.8214285714285714,0.5632936507936507,1.0,0.05913978494623656,0.15851851851851853,107.0,,,,0.0
6,0.31520754032988946,0.02965599051008304,50.0,1686.0,186.0,0.0,0.13636363636363635,0.13636363636363635,0.3106060606060606,0.5,0.3424242424242424,0.6363636363636364,0.388997113997114,1.0,0.016129032258064516,0.1563845050215208,109.0,,,,0.0
7,0.32680804785209355,0.038882138517618466,64.0,1646.0,186.0,0.0,0.3225806451612903,0.3225806451612903,0.37096774193548393,0.45161290322580644,0.43064516129032254,0.7096774193548387,0.4711853558627752,1.0,0.053763440860215055,0.15114503816793892,99.0,,,,0.0
8,0.3324270436831611,0.018332347723240685,31.0,1691.0,186.0,0.0,0.42105263157894735,0.42105263157894735,0.48245614035087714,0.5789473684210527,0.5271929824561404,0.7894736842105263,0.5565789473684211,1.0,0.043010752688172046,0.145748987854251,108.0,,,,0.0
9,0.3378647815841943,0.017985611510791366,30.0,1668.0,186.0,0.0,0.26666666666666666,0.26666666666666666,0.3555555555555555,0.4666666666666667,0.38222222222222224,0.6,0.43830687830687837,1.0,0.021505376344086023,0.15160349854227406,104.0,,,,0.0
10,0.3440275512053652,0.019428571428571427,34.0,1750.0,186.0,0.0,0.14285714285714285,0.14285714285714285,0.2619047619047619,0.38095238095238093,0.29047619047619044,0.5238095238095238,0.34727891156462587,1.0,0.016129032258064516,0.15797317436661698,106.0,2.2888888888888888,0.14097250425240065,1.4290668551160401,0.0
11,0.34638390429581295,0.007466973004020678,13.0,1741.0,186.0,0.0,0.09090909090909091,0.09090909090909091,0.1212121212121212,0.18181818181818182,0.253030303030303,0.7272727272727273,0.28459595959595957,1.0,0.005376344086021506,0.15352697095435686,111.0,,,,0.0
12,0.3503715787565706,0.013056379821958458,22.0,1685.0,186.0,0.0,0.2,0.2,0.3833333333333333,0.6,0.4083333333333333,0.7,0.44761904761904764,1.0,0.010752688172043012,0.17115689381933438,108.0,,,,0.0
13,0.3539967373572594,0.011621150493898896,20.0,1721.0,186.0,0.0,0.5,0.5,0.5625,0.625,0.59375,0.75,0.6215277777777778,1.0,0.021505376344086023,0.16246498599439776,116.0,,,,0.0
