round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.27470014842151713,0.646379853095488,616.0,953.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8061224489795918,0.17752808988764046,79.0,1.2043010752688172,0.28037741660241783,0.19245007884691032,0.0
1,0.30009226202414857,0.6498973305954825,633.0,974.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8979591836734694,0.18888888888888888,85.0,,,,0.0
2,0.32091138834289384,0.5295918367346939,519.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8367346938775511,0.1905781584582441,89.0,,,,0.0
3,0.34140960327329617,0.5214285714285715,511.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8673469387755102,0.18012422360248448,87.0,,,,0.0
4,0.358859160014441,0.44387755102040816,435.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8163265306122449,0.17671517671517672,85.0,,,,0.0
5,0.3742629066548999,0.3930399181166837,384.0,977.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7959183673469388,0.1885593220338983,89.0,,,,0.0
6,0.3909502988487304,0.424923391215526,416.0,979.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8163265306122449,0.17184265010351968,83.0,,,,0.0
7,0.4050703999358177,0.3613963039014374,352.0,974.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8061224489795918,0.17525773195876287,85.0,,,,0.0
8,0.4187492478639336,0.3479591836734694,341.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7448979591836735,0.17515274949083504,86.0,,,,0.0
9,0.4321472983272494,0.3408163265306122,334.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7755102040816326,0.18144329896907216,88.0,,,,0.0
10,0.44285771591319345,0.2744090441932169,267.0,973.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7040816326530612,0.18725099601593626,94.0,1.336734693877551,0.17588141873752336,0.421947484833585,0.0
11,0.45441052589353764,0.2938775510204082,288.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7346938775510204,0.1724137931034483,85.0,,,,0.0
12,0.46636447510931045,0.3040816326530612,298.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.1718146718146718,89.0,,,,0.0
13,0.4765534116891973,0.25918367346938775,254.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7040816326530612,0.18548387096774194,92.0,,,,0.0
14,0.48533836094508404,0.2241555783009212,219.0,977.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.1702127659574468,88.0,,,,0.0
15,0.49344137350074213,0.20932642487046632,202.0,965.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5510204081632653,0.17148362235067438,89.0,,,,0.0
16,0.5013438164386859,0.2010204081632653,197.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5612244897959183,0.17261904761904762,87.0,,,,0.0
17,0.5096473986120582,0.21122448979591837,207.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5612244897959183,0.18503937007874016,94.0,,,,0.0
18,0.5192346263388022,0.24588477366255143,239.0,972.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5204081632653061,0.17288801571709234,88.0,,,,0.0
19,0.5279393477476032,0.22325102880658437,217.0,972.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6122448979591837,0.18127490039840638,91.0,,,,0.0
20,0.5362830438445184,0.2139917695473251,208.0,972.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5612244897959183,0.18108651911468812,90.0,1.4387755102040816,0.13586017937559886,0.22928050276663128,0.0
21,0.543343094388062,0.17959183673469387,176.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4897959183673469,0.1875,93.0,,,,0.0
22,0.5503630310080629,0.1800411522633745,175.0,972.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5408163265306123,0.17892644135188868,90.0,,,,0.0
23,0.5574230815516066,0.17959183673469387,176.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4897959183673469,0.17315175097276264,89.0,,,,0.0
24,0.5640017650126359,0.16872427983539096,164.0,972.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4489795918367347,0.16091954022988506,84.0,,,,0.0
25,0.5695776003850936,0.14183673469387756,139.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47959183673469385,0.17704280155642024,91.0,,,,0.0
26,0.5751534357575514,0.14183673469387756,139.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47959183673469385,0.17578125,90.0,,,,0.0
27,0.5798467648120663,0.11938775510204082,117.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37755102040816324,0.16541353383458646,88.0,,,,0.0
28,0.5839784989369811,0.10510204081632653,103.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3163265306122449,0.1708253358925144,89.0,,,,0.0
29,0.5884712583737816,0.11522633744855967,112.0,972.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3673469387755102,0.1765834932821497,92.0,,,,0.0
30,0.5918809418749248,0.08673469387755102,85.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3469387755102041,0.16573556797020483,89.0,1.6391752577319587,0.1066883148385695,0.13363352145173635,0.0
31,0.595892334229211,0.10214504596527069,100.0,979.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3163265306122449,0.17267552182163187,91.0,,,,0.0
32,0.5993822455774399,0.0888661899897855,87.0,979.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30612244897959184,0.17325800376647835,92.0,,,,0.0
33,0.6022303341489831,0.07304526748971193,71.0,972.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24489795918367346,0.1743295019157088,91.0,,,,0.0
