round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2542793351525676,0.036814159292035395,104.0,2825.0,378.0,0.0,0.5833333333333334,0.5833333333333334,0.6583333333333334,0.75,0.6775,0.8333333333333334,0.6983068783068783,1.0,0.09259259259259259,0.2178723404255319,256.0,1.9111111111111112,0.14276201544605505,0.08598432542124913,0.0
1,0.26043992392293064,0.05033783783783784,149.0,2960.0,378.0,0.0,0.6575342465753424,0.6575342465753424,0.7214611872146119,0.7945205479452054,0.7351598173515982,0.863013698630137,0.7528103935638182,1.0,0.12698412698412698,0.1946414499605989,247.0,,,,0.0
2,0.268171669560903,0.06016731016731017,187.0,3108.0,378.0,0.0,0.6103896103896104,0.6103896103896104,0.6926406926406926,0.7922077922077922,0.7043290043290044,0.8441558441558441,0.725556586270872,1.0,0.12433862433862433,0.18869257950530036,267.0,,,,0.0
3,0.2777226494666336,0.07354345749761222,231.0,3141.0,378.0,0.0,0.5888888888888889,0.5888888888888889,0.6796296296296296,0.8,0.7024074074074075,0.9,0.7160493827160493,1.0,0.1402116402116402,0.1893063583815029,262.0,,,,0.0
4,0.2890928636401224,0.08438171218165082,275.0,3259.0,378.0,0.0,0.5784313725490197,0.5784313725490197,0.6797385620915032,0.8137254901960784,0.6973856209150326,0.8921568627450981,0.7121965452847805,1.0,0.15608465608465608,0.19114391143911438,259.0,,,,0.0
5,0.30071115521376,0.08528072837632777,281.0,3295.0,378.0,0.0,0.48623853211009177,0.48623853211009177,0.6299694189602446,0.7981651376146789,0.6496941896024464,0.8899082568807339,0.6643949322848405,1.0,0.1402116402116402,0.19446640316205532,246.0,,,,0.0
6,0.31208136938724884,0.08417508417508418,275.0,3267.0,378.0,0.0,0.5714285714285714,0.5714285714285714,0.681547619047619,0.8125,0.7047619047619047,0.9107142857142857,0.7163265306122449,1.0,0.1693121693121693,0.19155844155844157,236.0,,,,0.0
7,0.3236583147275283,0.08573178199632578,280.0,3266.0,378.0,0.0,0.5454545454545454,0.5454545454545454,0.6308539944903581,0.7355371900826446,0.6511019283746556,0.8264462809917356,0.6752722025449297,1.0,0.1746031746031746,0.2051926298157454,245.0,,,,0.0
8,0.3342429504672124,0.07857581338244321,256.0,3258.0,378.0,0.0,0.5378151260504201,0.5378151260504201,0.6274509803921569,0.7394957983193278,0.6471988795518208,0.8235294117647058,0.6725556889422436,1.0,0.1693121693121693,0.20657276995305165,220.0,,,,0.0
9,0.34383527660630114,0.07088298197372442,232.0,3273.0,378.0,0.0,0.4224137931034483,0.4224137931034483,0.5560344827586207,0.7327586206896551,0.5758620689655172,0.8189655172413793,0.6000273672687466,1.0,0.12962962962962962,0.21173235563703025,231.0,,,,0.0
