round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.30133134871413214,0.010624597553122988,33.0,3106.0,378.0,0.0,0.21428571428571427,0.21428571428571427,0.24404761904761904,0.2857142857142857,0.2761904761904762,0.42857142857142855,0.35225340136054417,1.0,0.015873015873015872,0.17568517217146873,250.0,2.1483516483516483,0.13685489021784836,0.11908107962733158,0.0
1,0.30224096584801124,0.007182500816193275,22.0,3063.0,378.0,0.0,0.047619047619047616,0.047619047619047616,0.11904761904761904,0.19047619047619047,0.14047619047619048,0.2857142857142857,0.2261148904006046,1.0,0.0026455026455026454,0.1852409638554217,246.0,,,,0.0
2,0.30315058298189035,0.0070967741935483875,22.0,3100.0,378.0,0.0,0.16666666666666666,0.16666666666666666,0.2685185185185185,0.3888888888888889,0.3212962962962963,0.6111111111111112,0.3739858906525573,1.0,0.007936507936507936,0.17981520966595593,253.0,,,,0.0
3,0.30364673778218804,0.0038809831824062097,12.0,3092.0,378.0,0.0,0.2727272727272727,0.2727272727272727,0.33333333333333337,0.45454545454545453,0.3924242424242424,0.7272727272727273,0.4306637806637807,1.0,0.007936507936507936,0.19011976047904192,254.0,,,,0.0
4,0.30406020011576945,0.003287310979618672,10.0,3042.0,378.0,0.0,0.4,0.4,0.4666666666666666,0.6,0.48666666666666664,0.7,0.5216666666666666,1.0,0.010582010582010581,0.18455882352941178,251.0,,,,0.0
5,0.304804432316216,0.006016042780748663,18.0,2992.0,378.0,0.0,0.13333333333333333,0.13333333333333333,0.22222222222222224,0.3333333333333333,0.2688888888888889,0.5333333333333333,0.32841269841269843,1.0,0.005291005291005291,0.1835180055401662,265.0,,,,0.0
6,0.30517654841643926,0.002925877763328999,9.0,3076.0,378.0,0.0,0.25,0.25,0.3125,0.375,0.39375000000000004,0.75,0.42723214285714284,1.0,0.005291005291005291,0.18556701030927836,252.0,,,,0.0
7,0.30546597204994624,0.0023003614853762734,7.0,3043.0,378.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5416666666666666,0.8333333333333334,0.5601851851851852,1.0,0.005291005291005291,0.17385057471264367,242.0,,,,0.0
8,0.3057553956834532,0.0023801428085685142,7.0,2941.0,378.0,0.0,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.2833333333333333,0.5,0.3444444444444444,1.0,0.0026455026455026454,0.1843220338983051,261.0,,,,0.0
9,0.30608616555031837,0.002611818478615736,8.0,3063.0,378.0,0.0,0.0,0.0,0.047619047619047616,0.14285714285714285,0.08333333333333333,0.2857142857142857,0.16859410430839003,1.0,0.0,0.18156228008444758,258.0,,,,0.0
10,0.3062515504837509,0.0012991230919129587,4.0,3079.0,378.0,0.0,0.0,0.0,0.125,0.25,0.175,0.5,0.23055555555555557,1.0,0.0,0.18043478260869567,249.0,2.0765027322404372,0.12998375400554413,0.12359364448040772,0.0
11,0.3064582816505416,0.0016688918558077437,5.0,2996.0,378.0,0.0,0.2,0.2,0.2,0.2,0.3,0.6,0.3485714285714286,1.0,0.0026455026455026454,0.19086219602063376,259.0,,,,0.0
12,0.30658232035061606,0.0009950248756218905,3.0,3015.0,378.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.425925925925926,1.0,0.0026455026455026454,0.1917808219178082,266.0,,,,0.0
13,0.3067477052840486,0.001281640499839795,4.0,3121.0,378.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.14583333333333331,0.5,0.21726190476190477,1.0,0.0,0.1873156342182891,254.0,,,,0.0
14,0.30687174398412304,0.0009643201542912247,3.0,3111.0,378.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.18148148148148147,1.0,0.0,0.1807829181494662,254.0,,,,0.0
15,0.30699578268419747,0.0010111223458038423,3.0,2967.0,378.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5370370370370371,1.0,0.0026455026455026454,0.19792438843587842,267.0,,,,0.0
16,0.3071198213842719,0.0009633911368015414,3.0,3114.0,378.0,0.0,0.0,0.0,0.27777777777777773,0.6666666666666666,0.3444444444444444,1.0,0.3444444444444444,1.0,0.0,0.18936635105608157,260.0,,,,0.0
17,0.3073265525510626,0.0016155088852988692,5.0,3095.0,378.0,0.0,0.0,0.0,0.1,0.2,0.15,0.4,0.23666666666666664,1.0,0.0,0.187683284457478,256.0,,,,0.0
18,0.3076159761845696,0.0021984924623115578,7.0,3184.0,378.0,0.0,0.0,0.0,0.26666666666666666,0.6,0.3466666666666666,1.0,0.3466666666666666,1.0,0.0,0.17809187279151945,252.0,,,,0.0
19,0.30769866865128587,0.0006297229219143577,2.0,3176.0,378.0,0.0,0.5,0.5,0.5,0.5,0.625,1.0,0.625,1.0,0.0026455026455026454,0.19122933141624732,266.0,,,,0.0
20,0.30769866865128587,0.0,0.0,3167.0,378.0,0.0,,,,,,,,,0.0,0.18469101123595505,263.0,2.0698924731182795,0.12806707043706192,0.1264965401261257,0.0
21,0.30774001488464403,0.0003180661577608143,1.0,3144.0,378.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.2,1.0,0.0,0.19388516032811334,260.0,,,,0.0
22,0.30774001488464403,0.0,0.0,3190.0,378.0,0.0,,,,,,,,,0.0,0.1964152352501867,263.0,,,,0.0
23,0.3078227073513603,0.0006383657835939994,2.0,3133.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.1856115107913669,258.0,,,,0.0
24,0.3079053998180766,0.0006325110689437065,2.0,3162.0,378.0,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.20833333333333331,1.0,0.0,0.1840228245363766,258.0,,,,0.0
25,0.3079053998180766,0.0,0.0,3174.0,378.0,0.0,,,,,,,,,0.0,0.1910919540229885,266.0,,,,0.0
26,0.308029438518151,0.0009603072983354673,3.0,3124.0,378.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5714285714285714,1.0,0.0026455026455026454,0.1900647948164147,264.0,,,,0.0
27,0.308029438518151,0.0,0.0,3179.0,378.0,0.0,,,,,,,,,0.0,0.1875891583452211,263.0,,,,0.0
28,0.3081121309848673,0.0006441223832528181,2.0,3105.0,378.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.5,0.2222222222222222,1.0,0.0,0.20185614849187936,261.0,,,,0.0
