round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.3025226645644462,0.030391583869082407,52.0,1711.0,189.0,0.0,0.3611111111111111,0.3611111111111111,0.43981481481481477,0.5555555555555556,0.4898148148148148,0.7777777777777778,0.5182429453262787,1.0,0.06878306878306878,0.1936813186813187,141.0,1.9575757575757575,0.06857148731276169,0.14543136942660112,0.0
1,0.30557745368545525,0.03536794067313177,62.0,1753.0,189.0,0.0,0.18604651162790697,0.18604651162790697,0.3217054263565891,0.4883720930232558,0.36124031007751933,0.6511627906976745,0.4062846068660022,1.0,0.042328042328042326,0.1893063583815029,131.0,,,,0.0
2,0.30764682696097756,0.023986293546544833,42.0,1751.0,189.0,0.0,0.21428571428571427,0.21428571428571427,0.27976190476190477,0.39285714285714285,0.3458333333333333,0.6785714285714286,0.3890731292517007,1.0,0.031746031746031744,0.182328190743338,130.0,,,,0.0
3,0.3096176586519511,0.023228803716608595,40.0,1722.0,189.0,0.0,0.32142857142857145,0.32142857142857145,0.4404761904761904,0.6428571428571429,0.47440476190476183,0.7857142857142857,0.5013321995464852,1.0,0.047619047619047616,0.18691588785046728,120.0,,,,0.0
4,0.31222901064249114,0.031066822977725676,53.0,1706.0,189.0,0.0,0.21052631578947367,0.21052631578947367,0.3201754385964912,0.4473684210526316,0.343859649122807,0.5526315789473685,0.4026629072681704,1.0,0.042328042328042326,0.17945007235890015,124.0,,,,0.0
5,0.31449546708711074,0.02648244099021301,46.0,1737.0,189.0,0.0,0.13333333333333333,0.13333333333333333,0.25,0.4,0.2966666666666667,0.6,0.3478042328042328,1.0,0.021164021164021163,0.18995290423861852,121.0,,,,0.0
6,0.3166633819471817,0.02473299606520517,44.0,1779.0,189.0,0.0,0.20588235294117646,0.20588235294117646,0.2696078431372549,0.38235294117647056,0.29901960784313725,0.5,0.35936041083099907,1.0,0.037037037037037035,0.17647058823529413,117.0,,,,0.0
7,0.31892983839180133,0.0265282583621684,46.0,1734.0,189.0,0.0,0.1875,0.1875,0.2864583333333333,0.4375,0.34739583333333335,0.6875,0.39321676587301585,1.0,0.031746031746031744,0.17729393468118196,114.0,,,,0.0
8,0.32080212849822626,0.021456804065499716,38.0,1771.0,189.0,0.0,0.1,0.1,0.20555555555555555,0.36666666666666664,0.27222222222222214,0.6666666666666666,0.31735449735449733,1.0,0.015873015873015872,0.1774436090225564,118.0,,,,0.0
9,0.3230685849428459,0.02603282399547255,46.0,1767.0,189.0,0.0,0.13333333333333333,0.13333333333333333,0.2333333333333333,0.36666666666666664,0.24999999999999997,0.43333333333333335,0.32017195767195766,1.0,0.021164021164021163,0.18799368088467613,119.0,,,,0.0
10,0.32474379188017344,0.01951779563719862,34.0,1742.0,189.0,0.0,0.36363636363636365,0.36363636363636365,0.38636363636363635,0.4090909090909091,0.40454545454545454,0.5,0.47559523809523796,1.0,0.042328042328042326,0.18770226537216828,116.0,1.9085714285714286,0.050054894620614104,0.15356206190325053,0.0
11,0.3263697280252266,0.018151815181518153,33.0,1818.0,189.0,0.0,0.14285714285714285,0.14285714285714285,0.20833333333333331,0.2857142857142857,0.2672619047619048,0.5714285714285714,0.32191043083900217,1.0,0.021164021164021163,0.1649782923299566,114.0,,,,0.0
12,0.3282912889239259,0.02181208053691275,39.0,1788.0,189.0,0.0,0.18518518518518517,0.18518518518518517,0.2037037037037037,0.2222222222222222,0.2833333333333333,0.5925925925925926,0.33327454438565546,1.0,0.026455026455026454,0.18111455108359134,117.0,,,,0.0
13,0.3298679542767048,0.01784718349135527,32.0,1793.0,189.0,0.0,0.08333333333333333,0.08333333333333333,0.15277777777777776,0.25,0.20902777777777778,0.5,0.2703042328042328,1.0,0.010582010582010581,0.17099236641221374,112.0,,,,0.0
14,0.33144461962948363,0.017827298050139277,32.0,1795.0,189.0,0.0,0.0,0.0,0.12878787878787878,0.2727272727272727,0.1878787878787879,0.5454545454545454,0.2463924963924964,1.0,0.0,0.1783960720130933,109.0,,,,0.0
15,0.3326271186440678,0.013544018058690745,24.0,1772.0,189.0,0.0,0.047619047619047616,0.047619047619047616,0.12698412698412698,0.23809523809523808,0.17936507936507937,0.47619047619047616,0.2456349206349206,1.0,0.005291005291005291,0.17884914463452567,115.0,,,,0.0
16,0.3336618052818289,0.011817670230725942,21.0,1777.0,189.0,0.0,0.0,0.0,0.08333333333333333,0.1875,0.13645833333333335,0.4375,0.2043154761904762,1.0,0.0,0.18373493975903615,122.0,,,,0.0
17,0.3351399290500591,0.01680672268907563,30.0,1785.0,189.0,0.0,0.041666666666666664,0.041666666666666664,0.1597222222222222,0.3333333333333333,0.18680555555555556,0.4583333333333333,0.26044973544973543,1.0,0.005291005291005291,0.18041237113402062,105.0,,,,0.0
18,0.3367658651951123,0.018867924528301886,33.0,1749.0,189.0,0.0,0.17391304347826086,0.17391304347826086,0.2681159420289855,0.391304347826087,0.29637681159420287,0.5217391304347826,0.35094893029675633,1.0,0.021164021164021163,0.17862838915470494,112.0,,,,0.0
19,0.3380469057942452,0.014823261117445839,26.0,1754.0,189.0,0.0,0.2,0.2,0.3083333333333333,0.45,0.3433333333333333,0.6,0.3912301587301587,1.0,0.021164021164021163,0.1782006920415225,103.0,,,,0.0
20,0.33927867560110364,0.014132278123233465,25.0,1769.0,189.0,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.20227272727272727,0.2727272727272727,0.29296536796536793,1.0,0.021164021164021163,0.18019480519480519,111.0,1.9597701149425288,0.04210858970933262,0.13877454584726867,0.0
21,0.34051044540796216,0.014442518775274409,25.0,1731.0,189.0,0.0,0.05263157894736842,0.05263157894736842,0.11403508771929824,0.21052631578947367,0.20350877192982456,0.631578947368421,0.24830827067669176,1.0,0.005291005291005291,0.17896678966789667,97.0,,,,0.0
22,0.34169294442254633,0.013651877133105802,24.0,1758.0,189.0,0.0,0.0,0.0,0.07142857142857142,0.19047619047619047,0.11428571428571428,0.38095238095238093,0.19567271352985638,1.0,0.0,0.18181818181818182,108.0,,,,0.0
23,0.34253054789121007,0.009753298909925417,17.0,1743.0,189.0,0.0,0.0,0.0,0.0641025641025641,0.15384615384615385,0.09871794871794871,0.3076923076923077,0.18339438339438338,1.0,0.0,0.21023765996343693,115.0,,,,0.0
24,0.3433188805675995,0.009237875288683603,16.0,1732.0,189.0,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615383,0.3076923076923077,0.2076923076923077,0.5384615384615384,0.2683455433455434,1.0,0.005291005291005291,0.1863468634686347,101.0,,,,0.0
25,0.34420575482853766,0.010465116279069767,18.0,1720.0,189.0,0.0,0.07692307692307693,0.07692307692307693,0.14102564102564102,0.23076923076923078,0.17564102564102563,0.38461538461538464,0.24816849816849818,1.0,0.005291005291005291,0.18324607329842932,105.0,,,,0.0
26,0.3446491919590067,0.0051933064050779,9.0,1733.0,189.0,0.0,0.0,0.0,0.10416666666666666,0.25,0.17916666666666667,0.625,0.21944444444444444,1.0,0.0,0.17773788150807898,99.0,,,,0.0
27,0.3454375246353961,0.009024252679075015,16.0,1773.0,189.0,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.1892573696145125,1.0,0.0,0.1912280701754386,109.0,,,,0.0
28,0.3462751281040599,0.00968109339407745,17.0,1756.0,189.0,0.0,0.1875,0.1875,0.1875,0.1875,0.253125,0.5,0.31299603174603174,1.0,0.015873015873015872,0.19337016574585636,105.0,,,,0.0
29,0.34696491919590067,0.007869589657110737,14.0,1779.0,189.0,0.0,0.0,0.0,0.0,0.0,0.08846153846153845,0.38461538461538464,0.16291208791208792,1.0,0.0,0.17341977309562398,107.0,,,,0.0
30,0.3476547102877414,0.007882882882882882,14.0,1776.0,189.0,0.0,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.26107503607503607,1.0,0.005291005291005291,0.176056338028169,100.0,1.988950276243094,0.039113131446523376,0.17472682185226054,0.0
31,0.3481966890027592,0.0062535531552018195,11.0,1759.0,189.0,0.0,0.0,0.0,0.03333333333333333,0.1,0.05833333333333333,0.2,0.1601984126984127,1.0,0.0,0.18996415770609318,106.0,,,,0.0
32,0.3486401261332282,0.005064715813168261,9.0,1777.0,189.0,0.0,0.25,0.25,0.29166666666666663,0.375,0.29166666666666663,0.375,0.35694444444444445,1.0,0.010582010582010581,0.18512396694214875,112.0,,,,0.0
33,0.34908356326369727,0.005145797598627788,9.0,1749.0,189.0,0.0,0.1111111111111111,0.1111111111111111,0.14814814814814814,0.2222222222222222,0.19259259259259257,0.4444444444444444,0.2521604938271605,1.0,0.005291005291005291,0.18505338078291814,104.0,,,,0.0
34,0.3497240835632637,0.007514450867052023,13.0,1730.0,189.0,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.2,0.2727272727272727,0.2908730158730159,1.0,0.010582010582010581,0.1925925925925926,104.0,,,,0.0
35,0.35016752069373275,0.00513405590416429,9.0,1753.0,189.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.1111111111111111,0.1271604938271605,1.0,0.0,0.2136279926335175,116.0,,,,0.0
36,0.35090658257784785,0.008412787436904094,15.0,1783.0,189.0,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.25,0.3333333333333333,0.3339506172839506,1.0,0.010582010582010581,0.19294990723562153,104.0,,,,0.0
37,0.3512514781237682,0.00390625,7.0,1792.0,189.0,0.0,0.0,0.0,0.05555555555555555,0.16666666666666666,0.08888888888888889,0.3333333333333333,0.17797619047619048,1.0,0.0,0.16787003610108303,93.0,,,,0.0
38,0.3518427276310603,0.006670372429127293,12.0,1799.0,189.0,0.0,0.0,0.0,0.05555555555555555,0.1111111111111111,0.07777777777777778,0.2222222222222222,0.17235449735449737,1.0,0.0,0.1937269372693727,105.0,,,,0.0
39,0.3521876231769807,0.003970504821327283,7.0,1763.0,189.0,0.0,0.0,0.0,0.0,0.0,0.028571428571428574,0.14285714285714285,0.13055555555555556,1.0,0.0,0.20436507936507936,103.0,,,,0.0
40,0.35248324793062674,0.003403289846851957,6.0,1763.0,189.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2642857142857143,1.0,0.005291005291005291,0.20077220077220076,104.0,1.9344262295081966,0.036914056932362854,0.190253783918418,0.0
41,0.3526803310997241,0.0022522522522522522,4.0,1776.0,189.0,0.0,0.0,0.0,0.0,0.0,0.05,0.25,0.15833333333333333,1.0,0.0,0.18029739776951673,97.0,,,,0.0
42,0.35292668506109576,0.002799552071668533,5.0,1786.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12571428571428572,1.0,0.0,0.20637898686679174,110.0,,,,0.0
43,0.35322230981474184,0.0034285714285714284,6.0,1750.0,189.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.11666666666666665,0.3333333333333333,0.1851851851851852,1.0,0.0,0.21129326047358835,116.0,,,,0.0
