round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.3090447707087185,0.03075030750307503,50.0,1626.0,186.0,0.0,0.35,0.35,0.4583333333333333,0.6,0.5008333333333334,0.8,0.5288095238095238,1.0,0.03763440860215054,0.19095477386934673,76.0,2.238095238095238,0.16449847606529808,0.1238692264182448,0.0
1,0.3164763458401305,0.024346793349168647,41.0,1684.0,186.0,0.0,0.20833333333333334,0.20833333333333334,0.25,0.2916666666666667,0.33749999999999997,0.6666666666666666,0.3832506613756614,1.0,0.026881720430107527,0.16707021791767554,69.0,,,,0.0
2,0.32372666304150804,0.022909507445589918,40.0,1746.0,186.0,0.0,0.25,0.25,0.36666666666666664,0.5,0.4091666666666667,0.7,0.44700396825396815,1.0,0.026881720430107527,0.16546762589928057,69.0,,,,0.0
3,0.32843936922240347,0.015002885170225043,26.0,1733.0,186.0,0.0,0.21428571428571427,0.21428571428571427,0.27380952380952384,0.35714285714285715,0.3380952380952381,0.6428571428571429,0.3824263038548753,1.0,0.016129032258064516,0.16744186046511628,72.0,,,,0.0
4,0.3317020119630234,0.01026811180832858,18.0,1753.0,186.0,0.0,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.42857142857142855,0.4035714285714286,0.6428571428571429,0.4484693877551021,1.0,0.021505376344086023,0.1642512077294686,68.0,,,,0.0
5,0.33750226572412545,0.018648018648018648,32.0,1716.0,186.0,0.0,0.3,0.3,0.36666666666666664,0.45,0.40166666666666667,0.6,0.4613888888888889,1.0,0.03225806451612903,0.17040358744394618,76.0,,,,0.0
6,0.3440275512053652,0.020845396641574986,36.0,1727.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.45370370370370366,0.6111111111111112,0.46759259259259256,0.6666666666666666,0.5187389770723104,1.0,0.03225806451612903,0.15945330296127563,70.0,,,,0.0
7,0.349284031176364,0.016310461192350956,29.0,1778.0,186.0,0.0,0.375,0.375,0.45833333333333337,0.5625,0.49895833333333334,0.75,0.5280257936507937,1.0,0.03225806451612903,0.15982721382289417,74.0,,,,0.0
8,0.35345296356715605,0.013023782559456399,23.0,1766.0,186.0,0.0,0.3125,0.3125,0.34375,0.375,0.359375,0.4375,0.43841765873015875,1.0,0.026881720430107527,0.14655172413793102,68.0,,,,0.0
9,0.3590719593982237,0.017494356659142212,31.0,1772.0,186.0,0.0,0.15789473684210525,0.15789473684210525,0.25438596491228066,0.3684210526315789,0.27807017543859647,0.47368421052631576,0.3529866332497912,1.0,0.016129032258064516,0.16901408450704225,84.0,,,,0.0
10,0.36360340764908466,0.014285714285714285,25.0,1750.0,186.0,0.0,0.2,0.2,0.3555555555555555,0.5333333333333333,0.3555555555555555,0.5333333333333333,0.4085185185185185,1.0,0.016129032258064516,0.17463617463617465,84.0,2.273381294964029,0.14782432207555887,0.11292138625133555,0.0
11,0.36686605038970455,0.010135135135135136,18.0,1776.0,186.0,0.0,0.06666666666666667,0.06666666666666667,0.12222222222222222,0.2,0.16555555555555557,0.4,0.24174603174603174,1.0,0.005376344086021506,0.1643002028397566,81.0,,,,0.0
12,0.36958491934022114,0.008625646923519264,15.0,1739.0,186.0,0.0,0.45454545454545453,0.45454545454545453,0.5303030303030303,0.6363636363636364,0.5303030303030303,0.6363636363636364,0.5715728715728715,1.0,0.026881720430107527,0.15976331360946747,81.0,,,,0.0
13,0.37393510966104765,0.013896931094383324,24.0,1727.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.40277777777777773,0.5,0.41944444444444445,0.5833333333333334,0.4773809523809524,1.0,0.021505376344086023,0.16942148760330578,82.0,,,,0.0
14,0.3762914627514954,0.0075014425851125215,13.0,1733.0,186.0,0.0,0.0,0.0,0.07575757575757575,0.18181818181818182,0.14393939393939392,0.45454545454545453,0.2195165945165945,1.0,0.0,0.14201183431952663,72.0,,,,0.0
15,0.3788290737719775,0.007891770011273957,14.0,1774.0,186.0,0.0,0.2727272727272727,0.2727272727272727,0.34848484848484845,0.45454545454545453,0.3893939393939394,0.6363636363636364,0.438997113997114,1.0,0.016129032258064516,0.1814595660749507,92.0,,,,0.0
