round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.3071121986441494,0.1869747899159664,178.0,952.0,98.0,0.0,0.29411764705882354,0.29411764705882354,0.40686274509803916,0.5735294117647058,0.45759803921568626,0.7941176470588235,0.48489145658263305,1.0,0.20408163265306123,0.1340782122905028,24.0,1.7894736842105263,0.27690395209246726,0.17390135249490402,0.0
1,0.3131694010991215,0.15487179487179487,151.0,975.0,98.0,0.0,0.34545454545454546,0.34545454545454546,0.4424242424242424,0.5636363636363636,0.47787878787878785,0.7272727272727273,0.5140836940836941,1.0,0.19387755102040816,0.1271186440677966,15.0,,,,0.0
2,0.31894580608929357,0.1487603305785124,144.0,968.0,98.0,0.0,0.375,0.375,0.5148809523809523,0.6785714285714286,0.5434523809523809,0.8035714285714286,0.5713293650793652,1.0,0.21428571428571427,0.13636363636363635,18.0,,,,0.0
3,0.3253239199326086,0.16493775933609958,159.0,964.0,98.0,0.0,0.3584905660377358,0.3584905660377358,0.45911949685534587,0.6226415094339622,0.49402515723270435,0.7735849056603774,0.5255016471997604,1.0,0.19387755102040816,0.1328125,17.0,,,,0.0
4,0.3318223755465522,0.16875,162.0,960.0,98.0,0.0,0.375,0.375,0.4613095238095238,0.5714285714285714,0.5104166666666667,0.7857142857142857,0.539625850340136,1.0,0.21428571428571427,0.2,24.0,,,,0.0
5,0.3372778691483814,0.140641158221303,136.0,967.0,98.0,0.0,0.3269230769230769,0.3269230769230769,0.4935897435897435,0.7307692307692307,0.5147435897435897,0.8269230769230769,0.5366300366300366,1.0,0.17346938775510204,0.16393442622950818,20.0,,,,0.0
6,0.3430542741385535,0.14799588900308325,144.0,973.0,98.0,0.0,0.288135593220339,0.288135593220339,0.4124293785310735,0.5932203389830508,0.4429378531073446,0.7288135593220338,0.4796206618240517,1.0,0.17346938775510204,0.2072072072072072,23.0,,,,0.0
7,0.34854988166392553,0.1408016443987667,137.0,973.0,98.0,0.0,0.16666666666666666,0.16666666666666666,0.2611111111111111,0.38333333333333336,0.3152777777777778,0.6166666666666667,0.36760582010582005,1.0,0.10204081632653061,0.15503875968992248,20.0,,,,0.0
8,0.3535641221067833,0.1286008230452675,125.0,972.0,98.0,0.0,0.32727272727272727,0.32727272727272727,0.44848484848484843,0.6181818181818182,0.4803030303030303,0.7636363636363637,0.5107287157287157,1.0,0.1836734693877551,0.1865671641791045,25.0,,,,0.0
9,0.3585382486260981,0.1273100616016427,124.0,974.0,98.0,0.0,0.3137254901960784,0.3137254901960784,0.39542483660130723,0.5098039215686274,0.4562091503267974,0.7843137254901961,0.48528633675692495,1.0,0.16326530612244897,0.16666666666666666,23.0,,,,0.0
10,0.3630711219864415,0.11530612244897959,113.0,980.0,98.0,0.0,0.2777777777777778,0.2777777777777778,0.3641975308641975,0.48148148148148145,0.4049382716049383,0.6666666666666666,0.44553203997648444,1.0,0.15306122448979592,0.15126050420168066,18.0,1.7628865979381443,0.24279671998390953,0.25624965471311056,0.0
11,0.3676039953467849,0.11721991701244813,113.0,964.0,98.0,0.0,0.24528301886792453,0.24528301886792453,0.34591194968553457,0.49056603773584906,0.38176100628930815,0.6415094339622641,0.4282869122491764,1.0,0.1326530612244898,0.19047619047619047,24.0,,,,0.0
12,0.37161538770107105,0.10330578512396695,100.0,968.0,98.0,0.0,0.25,0.25,0.38888888888888884,0.5833333333333334,0.4065972222222222,0.6666666666666666,0.45313326719576724,1.0,0.12244897959183673,0.15702479338842976,19.0,,,,0.0
13,0.37434313450198564,0.0698869475847893,68.0,973.0,98.0,0.0,0.23684210526315788,0.23684210526315788,0.3157894736842105,0.42105263157894735,0.3618421052631579,0.631578947368421,0.4120822890559732,1.0,0.09183673469387756,0.1925925925925926,26.0,,,,0.0
14,0.3771109952264431,0.07040816326530612,69.0,980.0,98.0,0.0,0.21428571428571427,0.21428571428571427,0.28174603174603174,0.38095238095238093,0.31150793650793646,0.5238095238095238,0.3750661375661376,1.0,0.09183673469387756,0.17164179104477612,23.0,,,,0.0
15,0.38040033695695774,0.08375893769152196,82.0,979.0,98.0,0.0,0.3235294117647059,0.3235294117647059,0.3725490196078431,0.4411764705882353,0.42254901960784313,0.6764705882352942,0.4690592903828198,1.0,0.11224489795918367,0.16083916083916083,23.0,,,,0.0
16,0.38368967868747245,0.0836734693877551,82.0,980.0,98.0,0.0,0.20930232558139536,0.20930232558139536,0.3372093023255814,0.5348837209302325,0.3709302325581395,0.6744186046511628,0.4148025101513474,1.0,0.09183673469387756,0.18115942028985507,25.0,,,,0.0
17,0.3869790204179871,0.08506224066390042,82.0,964.0,98.0,0.0,0.11904761904761904,0.11904761904761904,0.20238095238095238,0.3333333333333333,0.2392857142857143,0.5,0.29968820861678,1.0,0.05102040816326531,0.17647058823529413,24.0,,,,0.0
18,0.38954631152473024,0.06625258799171843,64.0,966.0,98.0,0.0,0.24324324324324326,0.24324324324324326,0.2792792792792793,0.32432432432432434,0.309009009009009,0.4594594594594595,0.37880737880737875,1.0,0.09183673469387756,0.19230769230769232,25.0,,,,0.0
19,0.3917926912431305,0.05779153766769866,56.0,969.0,98.0,0.0,0.22857142857142856,0.22857142857142856,0.3142857142857143,0.42857142857142855,0.35,0.5714285714285714,0.4014965986394558,1.0,0.08163265306122448,0.16666666666666666,25.0,,,,0.0
20,0.3939989570379879,0.05646817248459959,55.0,974.0,98.0,0.0,0.25806451612903225,0.25806451612903225,0.3548387096774194,0.4838709677419355,0.3903225806451613,0.6451612903225806,0.4337557603686636,1.0,0.08163265306122448,0.16233766233766234,25.0,1.8125,0.22169055538082183,0.20643663016925135,0.0
21,0.3966063620682739,0.0663265306122449,65.0,980.0,98.0,0.0,0.2571428571428571,0.2571428571428571,0.3380952380952381,0.45714285714285713,0.36952380952380953,0.6,0.4225170068027211,1.0,0.09183673469387756,0.17054263565891473,22.0,,,,0.0
22,0.3979301215451883,0.0336734693877551,33.0,980.0,98.0,0.0,0.17391304347826086,0.17391304347826086,0.18840579710144925,0.21739130434782608,0.22536231884057972,0.391304347826087,0.3061249137336094,1.0,0.04081632653061224,0.15714285714285714,22.0,,,,0.0
23,0.4002166151871315,0.05858170606372045,57.0,973.0,98.0,0.0,0.25,0.25,0.32870370370370366,0.4166666666666667,0.34259259259259256,0.4722222222222222,0.4113646384479718,1.0,0.09183673469387756,0.17037037037037037,23.0,,,,0.0
24,0.402382767058446,0.05510204081632653,54.0,980.0,98.0,0.0,0.2,0.2,0.31111111111111106,0.43333333333333335,0.3244444444444445,0.5,0.38929894179894176,1.0,0.061224489795918366,0.17424242424242425,23.0,,,,0.0
25,0.4041477796943319,0.044897959183673466,44.0,980.0,98.0,0.0,0.21428571428571427,0.21428571428571427,0.27976190476190477,0.39285714285714285,0.2958333333333333,0.4642857142857143,0.3590136054421768,1.0,0.061224489795918366,0.20714285714285716,29.0,,,,0.0
26,0.40619358979501785,0.052904564315352696,51.0,964.0,98.0,0.0,0.14285714285714285,0.14285714285714285,0.25,0.39285714285714285,0.27321428571428574,0.5,0.3381094104308389,1.0,0.04081632653061224,0.20588235294117646,28.0,,,,0.0
27,0.408760880901761,0.06652806652806653,64.0,962.0,98.0,0.0,0.125,0.125,0.203125,0.3125,0.2109375,0.34375,0.2912202380952381,1.0,0.04081632653061224,0.1968503937007874,25.0,,,,0.0
28,0.4110473745437041,0.059251559251559255,57.0,962.0,98.0,0.0,0.09090909090909091,0.09090909090909091,0.16666666666666666,0.2727272727272727,0.20151515151515154,0.42424242424242425,0.27329244829244825,1.0,0.030612244897959183,0.1875,24.0,,,,0.0
29,0.4133739821091901,0.05973223480947477,58.0,971.0,98.0,0.0,0.14285714285714285,0.14285714285714285,0.23214285714285715,0.35714285714285715,0.2482142857142857,0.42857142857142855,0.3188350340136055,1.0,0.04081632653061224,0.1984126984126984,25.0,,,,0.0
30,0.4152593365157046,0.04795918367346939,47.0,980.0,98.0,0.0,0.14814814814814814,0.14814814814814814,0.21604938271604937,0.2962962962962963,0.24012345679012345,0.4074074074074074,0.3170487948265726,1.0,0.04081632653061224,0.19014084507042253,27.0,1.84375,0.20960690490404726,0.24843634852347812,0.0
31,0.41650286814553333,0.03189300411522634,31.0,972.0,98.0,0.0,0.2,0.2,0.275,0.35,0.3175,0.55,0.3745634920634921,1.0,0.04081632653061224,0.1875,27.0,,,,0.0
32,0.417465602310562,0.02494802494802495,24.0,962.0,98.0,0.0,0.35294117647058826,0.35294117647058826,0.37254901960784315,0.4117647058823529,0.396078431372549,0.5294117647058824,0.4529411764705883,1.0,0.061224489795918366,0.21052631578947367,28.0,,,,0.0
33,0.4189498174816479,0.03810504634397528,37.0,971.0,98.0,0.0,0.09523809523809523,0.09523809523809523,0.1746031746031746,0.2857142857142857,0.22698412698412693,0.5238095238095238,0.2918367346938776,1.0,0.02040816326530612,0.15384615384615385,22.0,,,,0.0
34,0.41983232379959085,0.022448979591836733,22.0,980.0,98.0,0.0,0.0,0.0,0.15476190476190474,0.35714285714285715,0.20476190476190476,0.5714285714285714,0.25484693877551023,1.0,0.0,0.19230769230769232,25.0,,,,0.0
35,0.42055437442336235,0.018575851393188854,18.0,969.0,98.0,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.2,0.36363636363636365,0.2817821067821068,1.0,0.01020408163265306,0.189873417721519,30.0,,,,0.0
