round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2545687587860746,0.05699115044247788,161.0,2825.0,378.0,0.0,0.3157894736842105,0.3157894736842105,0.47368421052631576,0.6666666666666666,0.5061403508771929,0.8070175438596491,0.5306251740462267,1.0,0.06084656084656084,0.21447253705318223,246.0,2.0054945054945055,0.13685062528590583,0.09320966499736022,0.0
1,0.2601091540560655,0.0665041782729805,191.0,2872.0,378.0,0.0,0.43548387096774194,0.43548387096774194,0.575268817204301,0.7580645161290323,0.5970430107526882,0.8548387096774194,0.6164810547875064,1.0,0.09259259259259259,0.20436187399030695,253.0,,,,0.0
2,0.2687918630612751,0.09238578680203045,273.0,2955.0,378.0,0.0,0.43373493975903615,0.43373493975903615,0.5481927710843374,0.6987951807228916,0.5753012048192772,0.8192771084337349,0.5989720787913559,1.0,0.11375661375661375,0.19754977029096477,258.0,,,,0.0
3,0.2791697676341685,0.09511568123393316,296.0,3112.0,378.0,0.0,0.5319148936170213,0.5319148936170213,0.6347517730496455,0.7553191489361702,0.6597517730496455,0.8723404255319149,0.6764733198243837,1.0,0.15343915343915343,0.19479495268138802,247.0,,,,0.0
4,0.28987844207392705,0.10018844221105527,319.0,3184.0,378.0,0.0,0.4857142857142857,0.4857142857142857,0.5968253968253969,0.7523809523809524,0.624920634920635,0.8666666666666667,0.6420634920634921,1.0,0.14285714285714285,0.19243156199677938,239.0,,,,0.0
5,0.2999669230133135,0.10120942075111394,318.0,3142.0,378.0,0.0,0.46226415094339623,0.46226415094339623,0.5959119496855345,0.7735849056603774,0.6143081761006288,0.8584905660377359,0.6341157532195267,1.0,0.1455026455026455,0.1961639058413252,225.0,,,,0.0
6,0.30960059538576035,0.08566329565734682,288.0,3362.0,378.0,0.0,0.3644859813084112,0.3644859813084112,0.5093457943925233,0.7009345794392523,0.541588785046729,0.8504672897196262,0.5620456905503635,1.0,0.12698412698412698,0.19095022624434388,211.0,,,,0.0
7,0.31857272802447695,0.09009287925696595,291.0,3230.0,378.0,0.0,0.24528301886792453,0.24528301886792453,0.4040880503144654,0.6132075471698113,0.44701257861635224,0.8018867924528302,0.47464435459718474,1.0,0.10052910052910052,0.20218037661050545,204.0,,,,0.0
8,0.3265525510625982,0.07471790179932906,245.0,3279.0,378.0,0.0,0.2826086956521739,0.2826086956521739,0.4311594202898551,0.6195652173913043,0.47409420289855075,0.8043478260869565,0.5019668737060041,1.0,0.08994708994708994,0.208498023715415,211.0,,,,0.0
9,0.3351112213677334,0.08496332518337409,278.0,3272.0,378.0,0.0,0.3333333333333333,0.3333333333333333,0.46127946127946123,0.6363636363636364,0.48501683501683507,0.7373737373737373,0.5215367965367965,1.0,0.11375661375661375,0.1966893865628043,202.0,,,,0.0
10,0.3423468122054081,0.07601246105919003,244.0,3210.0,378.0,0.0,0.26881720430107525,0.26881720430107525,0.3691756272401434,0.5161290322580645,0.4197132616487455,0.7419354838709677,0.45136542072025954,1.0,0.07936507936507936,0.20412595005428882,188.0,1.989795918367347,0.07173396118730561,0.20761155206688242,0.0
11,0.34875547837591997,0.060964782480023676,206.0,3379.0,378.0,0.0,0.19753086419753085,0.19753086419753085,0.29012345679012347,0.43209876543209874,0.3253086419753087,0.5802469135802469,0.3817950225357633,1.0,0.0582010582010582,0.20594262295081966,201.0,,,,0.0
12,0.3550401058463574,0.0671573137074517,219.0,3261.0,378.0,0.0,0.17333333333333334,0.17333333333333334,0.3088888888888889,0.5066666666666667,0.34688888888888886,0.68,0.38891534391534394,1.0,0.047619047619047616,0.209,209.0,,,,0.0
13,0.3607045398164227,0.06042111687519072,198.0,3277.0,378.0,0.0,0.21621621621621623,0.21621621621621623,0.34684684684684686,0.527027027027027,0.3887387387387387,0.7162162162162162,0.4271825396825397,1.0,0.0582010582010582,0.21321961620469082,200.0,,,,0.0
14,0.36694782105350204,0.06255639097744362,208.0,3325.0,378.0,0.0,0.1978021978021978,0.1978021978021978,0.2783882783882784,0.38461538461538464,0.3206959706959707,0.5714285714285714,0.3760291296005582,1.0,0.05555555555555555,0.20525291828793774,211.0,,,,0.0
15,0.37224013892334407,0.05677380594773205,189.0,3329.0,378.0,0.0,0.29333333333333333,0.29333333333333333,0.38444444444444437,0.52,0.41711111111111115,0.6666666666666666,0.4615396825396826,1.0,0.06613756613756613,0.21078921078921078,211.0,,,,0.0
16,0.3767055321260233,0.051365795724465556,173.0,3368.0,378.0,0.0,0.15873015873015872,0.15873015873015872,0.26455026455026454,0.42857142857142855,0.3359788359788359,0.746031746031746,0.36986016628873764,1.0,0.037037037037037035,0.20961538461538462,218.0,,,,0.0
