round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2555197221533118,0.06513274336283185,184.0,2825.0,378.0,0.0,0.3382352941176471,0.3382352941176471,0.5318627450980392,0.7647058823529411,0.5509803921568628,0.8529411764705882,0.5723797852474323,1.0,0.082010582010582,0.1598173515981735,140.0,1.9891891891891893,0.13866373283031183,0.0953324239688732,0.0
1,0.2636235838915075,0.08644939965694683,252.0,2915.0,378.0,0.0,0.4588235294117647,0.4588235294117647,0.6,0.788235294117647,0.618235294117647,0.8705882352941177,0.6361157796451915,1.0,0.12698412698412698,0.16104461371055495,148.0,,,,0.0
2,0.27172744562970313,0.08397683397683398,261.0,3108.0,378.0,0.0,0.4533333333333333,0.4533333333333333,0.5888888888888889,0.76,0.6048888888888889,0.8266666666666667,0.6278835978835979,1.0,0.1111111111111111,0.15031055900621118,121.0,,,,0.0
3,0.28069957826841974,0.08489347966429955,263.0,3098.0,378.0,0.0,0.3263157894736842,0.3263157894736842,0.4666666666666666,0.6736842105263158,0.5008771929824561,0.8210526315789474,0.524966583124478,1.0,0.09259259259259259,0.15723270440251572,125.0,,,,0.0
4,0.29058132804101544,0.09376966645689112,298.0,3178.0,378.0,0.0,0.3669724770642202,0.3669724770642202,0.5244648318042813,0.7155963302752294,0.5611620795107034,0.8715596330275229,0.5791612057667105,1.0,0.12169312169312169,0.14453125,111.0,,,,0.0
5,0.2990573058794344,0.0890713834491472,282.0,3166.0,378.0,0.0,0.3523809523809524,0.3523809523809524,0.4841269841269841,0.6571428571428571,0.516984126984127,0.8,0.5452191987906274,1.0,0.12698412698412698,0.15809768637532134,123.0,,,,0.0
6,0.30728520631770445,0.0786144578313253,261.0,3320.0,378.0,0.0,0.30851063829787234,0.30851063829787234,0.42021276595744683,0.5638297872340425,0.47606382978723405,0.7978723404255319,0.5039935832489024,1.0,0.09788359788359788,0.150354609929078,106.0,,,,0.0
7,0.3154717605226164,0.08425023577491354,268.0,3181.0,378.0,0.0,0.21495327102803738,0.21495327102803738,0.3598130841121495,0.5607476635514018,0.39532710280373834,0.719626168224299,0.43280299658804333,1.0,0.06613756613756613,0.1750841750841751,104.0,,,,0.0
8,0.32336889109402134,0.07155529272619751,242.0,3382.0,378.0,0.0,0.1782178217821782,0.1782178217821782,0.2854785478547855,0.43564356435643564,0.333993399339934,0.6534653465346535,0.37958117240295464,1.0,0.06349206349206349,0.1467304625199362,92.0,,,,0.0
9,0.3300669808980402,0.06924643584521385,238.0,3437.0,378.0,0.0,0.24175824175824176,0.24175824175824176,0.34615384615384615,0.5054945054945055,0.3714285714285714,0.6153846153846154,0.4239752311180883,1.0,0.07142857142857142,0.14795918367346939,87.0,,,,0.0
