round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25006436245791874,0.17025440313111545,87.0,511.0,75.0,0.0,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.9090909090909091,0.8181818181818182,0.9090909090909091,0.8272727272727273,1.0,0.21333333333333335,0.14989733059548255,73.0,2.464788732394366,0.09858910355263883,0.002517207239214451,0.0
1,0.25013707729587276,0.1527777777777778,88.0,576.0,75.0,0.0,0.8461538461538461,0.8461538461538461,0.8846153846153846,0.9230769230769231,0.8999999999999999,1.0,0.8999999999999999,1.0,0.24,0.14122137404580154,74.0,,,,0.0
2,0.2502038963361548,0.13884007029876977,79.0,569.0,75.0,0.0,0.5833333333333334,0.5833333333333334,0.6388888888888888,0.75,0.6597222222222222,0.8333333333333334,0.6799603174603175,1.0,0.17333333333333334,0.1420345489443378,74.0,,,,0.0
3,0.25025499324931166,0.1399662731871838,83.0,593.0,75.0,0.0,0.6,0.6,0.7833333333333333,1.0,0.7833333333333333,1.0,0.7833333333333333,1.0,0.17333333333333334,0.13333333333333333,74.0,,,,0.0
4,0.2503355691508283,0.15993265993265993,95.0,594.0,75.0,0.0,0.7647058823529411,0.7647058823529411,0.8529411764705882,0.9411764705882353,0.8529411764705882,0.9411764705882353,0.8627450980392156,1.0,0.21333333333333335,0.13653136531365315,74.0,,,,0.0
5,0.25041221452056356,0.14184397163120568,80.0,564.0,75.0,0.0,0.5,0.5,0.6309523809523808,0.7857142857142857,0.680952380952381,1.0,0.680952380952381,1.0,0.25333333333333335,0.13812154696132597,75.0,,,,0.0
6,0.2504613461678298,0.12773722627737227,70.0,548.0,75.0,0.0,0.5333333333333333,0.5333333333333333,0.6777777777777777,0.8666666666666667,0.7077777777777778,1.0,0.7077777777777778,1.0,0.16,0.14705882352941177,75.0,,,,0.0
7,0.2505556789305809,0.17491749174917492,106.0,606.0,75.0,0.0,0.6470588235294118,0.6470588235294118,0.784313725490196,0.9411764705882353,0.796078431372549,1.0,0.796078431372549,1.0,0.25333333333333335,0.13111888111888112,75.0,,,,0.0
8,0.25064018536387883,0.17346938775510204,102.0,588.0,75.0,0.0,0.4166666666666667,0.4166666666666667,0.5694444444444444,0.75,0.5694444444444444,0.75,0.6071428571428571,1.0,0.16,0.13686131386861314,75.0,,,,0.0
9,0.25071093493594215,0.17443868739205526,101.0,579.0,75.0,0.0,0.7333333333333333,0.7333333333333333,0.8111111111111112,0.9333333333333333,0.8244444444444444,1.0,0.8244444444444444,1.0,0.22666666666666666,0.13358070500927643,72.0,,,,0.0
10,0.25078364977389617,0.14020270270270271,83.0,592.0,75.0,0.0,0.5294117647058824,0.5294117647058824,0.6568627450980392,0.8235294117647058,0.6803921568627451,0.9411764705882353,0.6887955182072829,1.0,0.17333333333333334,0.13394495412844037,73.0,2.106060606060606,0.09729370838703616,0.002767529049013461,0.0
