round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2523649980291683,0.127633955448525,212.0,1661.0,189.0,0.0,0.45161290322580644,0.45161290322580644,0.5215053763440859,0.6129032258064516,0.5731182795698925,0.8387096774193549,0.5965437788018434,1.0,0.15343915343915343,0.20849933598937584,157.0,2.0898876404494384,0.06490938633269439,0.3220699635152366,0.0
1,0.25601103665746944,0.13500597371565112,226.0,1674.0,189.0,0.0,0.2222222222222222,0.2222222222222222,0.3703703703703703,0.5777777777777777,0.39370370370370367,0.6888888888888889,0.4326190476190477,1.0,0.12169312169312169,0.19214586255259467,137.0,,,,0.0
2,0.2593121797398502,0.13213038416763678,227.0,1718.0,189.0,0.0,0.21568627450980393,0.21568627450980393,0.3398692810457517,0.47058823529411764,0.3790849673202615,0.6470588235294118,0.4244708994708995,1.0,0.14814814814814814,0.19744318181818182,139.0,,,,0.0
3,0.26256405202995664,0.12623045744064854,218.0,1727.0,189.0,0.0,0.14,0.14,0.23666666666666664,0.36,0.2876666666666667,0.58,0.34106349206349207,1.0,0.09523809523809523,0.19047619047619047,140.0,,,,0.0
4,0.2658651951123374,0.13479977439368301,239.0,1773.0,189.0,0.0,0.13043478260869565,0.13043478260869565,0.26811594202898553,0.45652173913043476,0.34094202898550724,0.782608695652174,0.3705227743271221,1.0,0.12698412698412698,0.18666666666666668,140.0,,,,0.0
5,0.26911706740244384,0.12550143266475644,219.0,1745.0,189.0,0.0,0.17307692307692307,0.17307692307692307,0.298076923076923,0.4423076923076923,0.34807692307692306,0.6730769230769231,0.3931700244200244,1.0,0.12698412698412698,0.20090634441087613,133.0,,,,0.0
6,0.2721718565234529,0.12036508841985168,211.0,1753.0,189.0,0.0,0.11764705882352941,0.11764705882352941,0.25163398692810457,0.43137254901960786,0.28888888888888886,0.5882352941176471,0.34172113289760353,1.0,0.13756613756613756,0.19345238095238096,130.0,,,,0.0
7,0.2746846669294442,0.1331476323119777,239.0,1795.0,189.0,0.0,0.16216216216216217,0.16216216216216217,0.26126126126126137,0.40540540540540543,0.30855855855855857,0.6216216216216216,0.3565422565422566,1.0,0.10052910052910052,0.19623233908948196,125.0,,,,0.0
8,0.27685258178951516,0.11614730878186968,205.0,1765.0,189.0,0.0,0.20588235294117646,0.20588235294117646,0.2598039215686274,0.3235294117647059,0.3142156862745098,0.5588235294117647,0.37145191409897294,1.0,0.10052910052910052,0.19117647058823528,117.0,,,,0.0
9,0.27916830902640916,0.12557603686635946,218.0,1736.0,189.0,0.0,0.17647058823529413,0.17647058823529413,0.22549019607843135,0.29411764705882354,0.28137254901960784,0.5294117647058824,0.3420985060690943,1.0,0.13227513227513227,0.20499108734402852,115.0,,,,0.0
