round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2500469438126119,0.0034120376688958646,25.0,7327.0,773.0,0.0,0.3333333333333333,0.3333333333333333,0.48148148148148145,0.6666666666666666,0.5231481481481481,0.8333333333333334,0.5455246913580247,1.0,0.007761966364812419,0.11170055997642205,758.0,3.0357142857142856,0.03709856907531457,0.006010427933045588,0.0
1,0.25012437690558004,0.00552791597567717,40.0,7236.0,773.0,0.0,0.42857142857142855,0.42857142857142855,0.5079365079365079,0.6190476190476191,0.5484126984126984,0.8095238095238095,0.5732615268329553,1.0,0.01164294954721863,0.11309434528273586,754.0,,,,0.0
2,0.25017083676136087,0.0032777929527451517,24.0,7322.0,773.0,0.0,0.29411764705882354,0.29411764705882354,0.4117647058823529,0.5882352941176471,0.47941176470588226,0.8823529411764706,0.4990196078431373,1.0,0.00646830530401035,0.11236288170767862,758.0,,,,0.0
3,0.2502443981996806,0.0052291179303701665,38.0,7267.0,773.0,0.0,0.48,0.48,0.5333333333333333,0.6,0.5753333333333334,0.8,0.6033809523809525,1.0,0.015523932729624839,0.11212438331589177,750.0,,,,0.0
4,0.2503121521560277,0.004868549172346641,35.0,7189.0,773.0,0.0,0.43478260869565216,0.43478260869565216,0.5507246376811594,0.6956521739130435,0.6115942028985507,0.9565217391304348,0.6170289855072464,1.0,0.0129366106080207,0.11355034065102196,750.0,,,,0.0
5,0.25036829114842957,0.003953646898432175,29.0,7335.0,773.0,0.0,0.47058823529411764,0.47058823529411764,0.5882352941176471,0.7058823529411765,0.6147058823529411,0.8235294117647058,0.640266106442577,1.0,0.01034928848641656,0.11142266824085006,755.0,,,,0.0
6,0.25043410927745247,0.004676110576261862,34.0,7271.0,773.0,0.0,0.3181818181818182,0.3181818181818182,0.40151515151515144,0.5,0.4674242424242424,0.7727272727272727,0.4951298701298701,1.0,0.009055627425614488,0.11390510402634337,761.0,,,,0.0
7,0.25049218409717855,0.004162042175360711,30.0,7208.0,773.0,0.0,0.4583333333333333,0.4583333333333333,0.5138888888888888,0.5833333333333334,0.5597222222222222,0.7916666666666666,0.5924603174603175,1.0,0.014230271668822769,0.11311873671424233,745.0,,,,0.0
8,0.25058123215409184,0.006387114690363788,46.0,7202.0,773.0,0.0,0.30434782608695654,0.30434782608695654,0.46376811594202905,0.6956521739130435,0.505072463768116,0.8695652173913043,0.5219806763285024,1.0,0.009055627425614488,0.11414839291078402,760.0,,,,0.0
9,0.2506122053912791,0.0021780560849441874,16.0,7346.0,773.0,0.0,0.38461538461538464,0.38461538461538464,0.46153846153846156,0.5384615384615384,0.4807692307692308,0.6153846153846154,0.5280830280830281,1.0,0.00646830530401035,0.1103600293901543,751.0,,,,0.0
