round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25001403474810047,0.0010918520540466768,8.0,7327.0,773.0,0.0,0.25,0.25,0.35416666666666663,0.5,0.44166666666666665,0.875,0.4625,1.0,0.00258732212160414,0.11650652024708305,679.0,3.385321100917431,0.037103121911065594,0.00601655367072375,0.0
1,0.2500450079852877,0.002211166390270868,16.0,7236.0,773.0,0.0,0.2857142857142857,0.2857142857142857,0.4047619047619047,0.5714285714285714,0.4333333333333333,0.7142857142857143,0.46802721088435373,1.0,0.00258732212160414,0.11817865832464372,680.0,,,,0.0
2,0.2500566229492329,0.0008194482381862879,6.0,7322.0,773.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.29166666666666663,1.0,0.29166666666666663,1.0,0.0,0.11583679114799447,670.0,,,,0.0
3,0.25007017374050233,0.0009632585661208202,7.0,7267.0,773.0,0.0,0.5,0.5,0.5555555555555555,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.6071428571428571,1.0,0.0038809831824062097,0.11607298001737619,668.0,,,,0.0
4,0.2500895320137444,0.0013910140492418973,10.0,7189.0,773.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.7864583333333334,1.0,0.007761966364812419,0.11643835616438356,663.0,,,,0.0
5,0.2501127619416348,0.0016359918200408998,12.0,7335.0,773.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5740740740740741,1.0,0.0038809831824062097,0.11440457618304732,660.0,,,,0.0
6,0.25013212021487685,0.0013753266400770184,10.0,7271.0,773.0,0.0,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.6,1.0,0.0038809831824062097,0.11593196806664352,668.0,,,,0.0
7,0.25015728597009146,0.0018035516093229745,13.0,7208.0,773.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5277777777777778,0.7777777777777778,0.5547619047619048,1.0,0.0038809831824062097,0.11581722319859403,659.0,,,,0.0
8,0.2501785800706577,0.0015275656158866824,11.0,7201.0,773.0,0.0,0.3333333333333333,0.3333333333333333,0.5277777777777778,0.8333333333333334,0.5277777777777778,0.8333333333333334,0.548611111111111,1.0,0.00258732212160414,0.11776061776061776,671.0,,,,0.0
9,0.2501882592072787,0.0006806425265450585,5.0,7346.0,773.0,0.0,0.25,0.25,0.25,0.25,0.3125,0.5,0.3958333333333333,1.0,0.00129366106080207,0.11492074431426602,667.0,,,,0.0
10,0.25022116827179014,0.002341275306431621,17.0,7261.0,773.0,0.0,0.3076923076923077,0.3076923076923077,0.47435897435897434,0.6923076923076923,0.47435897435897434,0.6923076923076923,0.51013431013431,1.0,0.00517464424320828,0.116960083667422,671.0,3.3366336633663365,0.03667976517749687,0.005999453986630096,0.0
11,0.25024246237235637,0.001515986769570011,11.0,7256.0,773.0,0.0,0.2222222222222222,0.2222222222222222,0.37037037037037035,0.5555555555555556,0.39814814814814814,0.6666666666666666,0.4382716049382716,1.0,0.00258732212160414,0.11484593837535013,656.0,,,,0.0
12,0.25026762812757103,0.0017852238396045043,13.0,7282.0,773.0,0.0,0.5384615384615384,0.5384615384615384,0.6025641025641025,0.6923076923076923,0.617948717948718,0.7692307692307693,0.6457264957264957,1.0,0.009055627425614488,0.11668122270742358,668.0,,,,0.0
13,0.25028892222813726,0.0015087093677136195,11.0,7291.0,773.0,0.0,0.4444444444444444,0.4444444444444444,0.5,0.5555555555555556,0.5,0.5555555555555556,0.5648148148148149,1.0,0.00517464424320828,0.115160848733744,673.0,,,,0.0
14,0.25029472971010985,0.00041231445849367786,3.0,7276.0,773.0,0.0,0.0,0.0,0.0,0.0,0.15,0.6666666666666666,0.18333333333333335,1.0,0.0,0.1153054221002059,672.0,,,,0.0
15,0.2503160238106761,0.0015120274914089348,11.0,7275.0,773.0,0.0,0.36363636363636365,0.36363636363636365,0.4090909090909091,0.45454545454545453,0.45,0.6363636363636364,0.49166666666666675,1.0,0.00517464424320828,0.11933797909407666,685.0,,,,0.0
16,0.2503257029472971,0.0006976419701409237,5.0,7167.0,773.0,0.0,0.4,0.4,0.4,0.4,0.49000000000000005,0.8,0.515,1.0,0.00258732212160414,0.1174496644295302,665.0,,,,0.0
17,0.25034118956589074,0.0011026878015161956,8.0,7255.0,773.0,0.0,0.2857142857142857,0.2857142857142857,0.40476190476190477,0.5714285714285714,0.4333333333333334,0.7142857142857143,0.473015873015873,1.0,0.00258732212160414,0.11612903225806452,666.0,,,,0.0
18,0.25035474035716015,0.0009577233547680941,7.0,7309.0,773.0,0.0,0.5,0.5,0.6666666666666666,0.8333333333333334,0.7083333333333334,1.0,0.7083333333333334,1.0,0.0038809831824062097,0.11450643776824035,667.0,,,,0.0
19,0.2503702269757538,0.0011128112393935178,8.0,7189.0,773.0,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5074829931972789,1.0,0.0038809831824062097,0.11959017841370782,677.0,,,,0.0
20,0.25038571359434736,0.0010825439783491205,8.0,7390.0,773.0,0.0,0.2,0.2,0.26666666666666666,0.4,0.30666666666666664,0.6,0.3602380952380952,1.0,0.00129366106080207,0.11158432708688246,655.0,3.212962962962963,0.03624403299691905,0.005977872499822599,0.0
21,0.25042636596815565,0.00283247909360669,21.0,7414.0,773.0,0.0,0.3333333333333333,0.3333333333333333,0.4166666666666666,0.5833333333333334,0.45833333333333326,0.75,0.48898809523809517,1.0,0.00517464424320828,0.11563932755985736,681.0,,,,0.0
22,0.2504534675506945,0.0019207024283166415,14.0,7289.0,773.0,0.0,0.3076923076923077,0.3076923076923077,0.4871794871794872,0.6923076923076923,0.5025641025641026,0.7692307692307693,0.5326923076923077,1.0,0.00517464424320828,0.11654200730561837,670.0,,,,0.0
23,0.2504766974785849,0.0016240357287860333,12.0,7389.0,773.0,0.0,0.2727272727272727,0.2727272727272727,0.4090909090909091,0.5454545454545454,0.4090909090909091,0.5454545454545454,0.45782828282828286,1.0,0.0038809831824062097,0.1163554633471646,673.0,,,,0.0
24,0.25049218409717855,0.001094391244870041,8.0,7310.0,773.0,0.0,0.14285714285714285,0.14285714285714285,0.2619047619047619,0.42857142857142855,0.3190476190476191,0.7142857142857143,0.35532879818594104,1.0,0.00129366106080207,0.1149922185716756,665.0,,,,0.0
25,0.25051154237042056,0.0013902405116085082,10.0,7193.0,773.0,0.0,0.625,0.625,0.75,0.875,0.75,0.875,0.7625,1.0,0.00646830530401035,0.11776061776061776,671.0,,,,0.0
26,0.25052315733436575,0.0008295313148071339,6.0,7233.0,773.0,0.0,0.6666666666666666,0.6666666666666666,0.7777777777777778,1.0,0.7777777777777778,1.0,0.7777777777777778,1.0,0.00517464424320828,0.1171468240194377,675.0,,,,0.0
27,0.25053670812563517,0.0009600877794541216,7.0,7291.0,773.0,0.0,0.5,0.5,0.5,0.5,0.5333333333333333,0.6666666666666666,0.5796296296296296,1.0,0.0038809831824062097,0.11707655005195705,676.0,,,,0.0
28,0.25055025891690463,0.0009527698380291275,7.0,7347.0,773.0,0.0,0.2857142857142857,0.2857142857142857,0.380952380952381,0.5714285714285714,0.4166666666666667,0.7142857142857143,0.4642857142857143,1.0,0.00258732212160414,0.11500773594636411,669.0,,,,0.0
29,0.2505676813628224,0.001244296972210701,9.0,7233.0,773.0,0.0,0.5,0.5,0.6041666666666666,0.75,0.6354166666666666,0.875,0.6479166666666667,1.0,0.00517464424320828,0.11786941580756014,686.0,,,,0.0
