round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2500372646759909,0.002752167331773772,20.0,7267.0,773.0,0.0,0.3888888888888889,0.3888888888888889,0.48148148148148145,0.6111111111111112,0.5092592592592592,0.7222222222222222,0.5420414462081129,1.0,0.009055627425614488,0.11188191881918819,758.0,3.1951219512195124,0.03664583545685052,0.005903133370382603,0.0
1,0.25006823791317817,0.002207200993240447,16.0,7249.0,773.0,0.0,0.4,0.4,0.5,0.6,0.5,0.6,0.5569444444444444,1.0,0.00517464424320828,0.11181033221132738,764.0,,,,0.0
2,0.2500992111503654,0.002186389723968297,16.0,7318.0,773.0,0.0,0.46153846153846156,0.46153846153846156,0.5128205128205128,0.6153846153846154,0.532051282051282,0.6923076923076923,0.5702686202686202,1.0,0.007761966364812419,0.1113706028317034,763.0,,,,0.0
3,0.25013792769684945,0.0027498968788670424,20.0,7273.0,773.0,0.0,0.3157894736842105,0.3157894736842105,0.47368421052631576,0.6842105263157895,0.4868421052631579,0.7368421052631579,0.5206140350877192,1.0,0.007761966364812419,0.11196341643310223,759.0,,,,0.0
4,0.2501998741712239,0.00436442989634479,32.0,7332.0,773.0,0.0,0.391304347826087,0.391304347826087,0.46376811594202894,0.5652173913043478,0.49202898550724644,0.6956521739130435,0.5311421670117322,1.0,0.01164294954721863,0.11083271923360354,752.0,,,,0.0
5,0.2502521415089774,0.0036729696639912937,27.0,7351.0,773.0,0.0,0.47058823529411764,0.47058823529411764,0.5588235294117647,0.6470588235294118,0.5735294117647058,0.7058823529411765,0.6162464985994398,1.0,0.01034928848641656,0.11075766338924234,766.0,,,,0.0
6,0.25029279388278564,0.002872384078785392,21.0,7311.0,773.0,0.0,0.4444444444444444,0.4444444444444444,0.48148148148148145,0.5555555555555556,0.5314814814814814,0.7777777777777778,0.557716049382716,1.0,0.01034928848641656,0.11168258633357825,760.0,,,,0.0
7,0.2503353820839181,0.0030278007156619873,22.0,7266.0,773.0,0.0,0.3333333333333333,0.3333333333333333,0.4722222222222222,0.6666666666666666,0.4833333333333333,0.7222222222222222,0.521957671957672,1.0,0.007761966364812419,0.11122478807366268,761.0,,,,0.0
8,0.25035280452983594,0.0012108166285483655,9.0,7433.0,773.0,0.0,0.6666666666666666,0.6666666666666666,0.75,0.8333333333333334,0.75,0.8333333333333334,0.7666666666666666,1.0,0.00517464424320828,0.10969976905311778,760.0,,,,0.0
9,0.2503779702850506,0.001798312353022548,13.0,7229.0,773.0,0.0,0.38461538461538464,0.38461538461538464,0.4102564102564103,0.46153846153846156,0.4256410256410256,0.5384615384615384,0.4956043956043956,1.0,0.00646830530401035,0.1121301775147929,758.0,,,,0.0
10,0.25041281517688624,0.0024533187951478806,18.0,7337.0,773.0,0.0,0.38461538461538464,0.38461538461538464,0.4487179487179487,0.5384615384615384,0.4794871794871795,0.6923076923076923,0.5196275946275947,1.0,0.00646830530401035,0.1111111111111111,763.0,3.1358024691358026,0.03627475599207741,0.005850528133836082,0.0
11,0.2504554033780187,0.0030141115221263186,22.0,7299.0,773.0,0.0,0.3,0.3,0.39166666666666666,0.5,0.41666666666666663,0.6,0.4718055555555555,1.0,0.007761966364812419,0.11143566525485614,763.0,,,,0.0
12,0.25049992740647536,0.003136933987997818,23.0,7332.0,773.0,0.0,0.5,0.5,0.5666666666666667,0.65,0.6016666666666667,0.8,0.6289484126984127,1.0,0.0129366106080207,0.11064078236753759,758.0,,,,0.0
13,0.250544451434932,0.003136933987997818,23.0,7332.0,773.0,0.0,0.38095238095238093,0.38095238095238093,0.4920634920634921,0.6190476190476191,0.5015873015873016,0.6666666666666666,0.5430461073318216,1.0,0.01034928848641656,0.11007841998257334,758.0,,,,0.0
14,0.25058316798141606,0.0027363524421945545,20.0,7309.0,773.0,0.0,0.2777777777777778,0.2777777777777778,0.45370370370370366,0.6666666666666666,0.45370370370370366,0.6666666666666666,0.4943562610229276,1.0,0.00646830530401035,0.11089922253190553,756.0,,,,0.0
15,0.25062188452790013,0.0027184993883376377,20.0,7357.0,773.0,0.0,0.4375,0.4375,0.5,0.5625,0.53125,0.6875,0.5751488095238095,1.0,0.009055627425614488,0.11073825503355705,759.0,,,,0.0
16,0.25064705028311474,0.0017778993435448578,13.0,7312.0,773.0,0.0,0.6363636363636364,0.6363636363636364,0.7424242424242423,0.9090909090909091,0.7424242424242423,0.9090909090909091,0.7554112554112553,1.0,0.009055627425614488,0.11197878296743775,760.0,,,,0.0
17,0.2506702802110052,0.0016576875259013675,12.0,7239.0,773.0,0.0,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.6203703703703705,1.0,0.00517464424320828,0.11285545023696683,762.0,,,,0.0
18,0.25070706093016504,0.0026027397260273972,19.0,7300.0,773.0,0.0,0.25,0.25,0.47916666666666663,0.75,0.47916666666666663,0.75,0.5105902777777778,1.0,0.00517464424320828,0.11142143172129942,758.0,,,,0.0
19,0.2507380341673523,0.0021768707482993197,16.0,7350.0,773.0,0.0,0.38461538461538464,0.38461538461538464,0.48717948717948717,0.6153846153846154,0.517948717948718,0.7692307692307693,0.5503052503052503,1.0,0.00646830530401035,0.1105776225811145,760.0,,,,0.0
20,0.2507690074045395,0.0021899808376676703,16.0,7306.0,773.0,0.0,0.4,0.4,0.611111111111111,0.8666666666666667,0.6277777777777778,0.9333333333333333,0.6361111111111111,1.0,0.007761966364812419,0.11209439528023599,760.0,3.1142857142857143,0.03599381206831902,0.0058666275171329624,0.0
21,0.25079804481440254,0.002050580997949419,15.0,7315.0,773.0,0.0,0.4,0.4,0.5,0.7,0.525,0.8,0.5492857142857142,1.0,0.00517464424320828,0.11054545454545454,760.0,,,,0.0
22,0.2508483763248318,0.003527336860670194,26.0,7371.0,773.0,0.0,0.2608695652173913,0.2608695652173913,0.3768115942028985,0.5217391304347826,0.40507246376811595,0.6521739130434783,0.452639751552795,1.0,0.007761966364812419,0.11112727272727273,764.0,,,,0.0
23,0.25087934956201907,0.0021893814997263274,16.0,7308.0,773.0,0.0,0.4,0.4,0.48888888888888893,0.6,0.5022222222222222,0.6666666666666666,0.5424867724867724,1.0,0.007761966364812419,0.11148353249781405,765.0,,,,0.0
24,0.2509083869718821,0.002025931928687196,15.0,7404.0,773.0,0.0,0.4166666666666667,0.4166666666666667,0.5277777777777778,0.6666666666666666,0.5652777777777778,0.8333333333333334,0.5828703703703704,1.0,0.00646830530401035,0.11032388663967611,763.0,,,,0.0
25,0.2509471035183662,0.002722940776038121,20.0,7345.0,773.0,0.0,0.5294117647058824,0.5294117647058824,0.6176470588235294,0.7058823529411765,0.6470588235294118,0.8235294117647058,0.6668300653594771,1.0,0.01164294954721863,0.11143738070767875,759.0,,,,0.0
