round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4000580748197261,0.0041174855888004395,30.0,7286.0,773.0,0.0,0.38095238095238093,0.38095238095238093,0.4841269841269841,0.6190476190476191,0.5365079365079365,0.8571428571428571,0.5580498866213152,1.0,0.01034928848641656,0.11380880121396054,750.0,3.111111111111111,0.032128042598090746,0.004364577595385877,0.0
1,0.4001025988481827,0.0031014023732470336,23.0,7416.0,773.0,0.0,0.3,0.3,0.4916666666666666,0.7,0.5166666666666666,0.8,0.5433928571428571,1.0,0.007761966364812419,0.10943230159894382,746.0,,,,0.0
2,0.4001548661859362,0.0036976170912078883,27.0,7302.0,773.0,0.0,0.3157894736842105,0.3157894736842105,0.45614035087719296,0.631578947368421,0.4903508771929824,0.7894736842105263,0.5175438596491229,1.0,0.007761966364812419,0.11232100238663484,753.0,,,,0.0
3,0.40017228863185406,0.0012352456766401318,9.0,7286.0,773.0,0.0,0.625,0.625,0.6875,0.75,0.71875,0.875,0.7395833333333334,1.0,0.00646830530401035,0.11177794448612154,745.0,,,,0.0
4,0.4002013260417171,0.002054231717337716,15.0,7302.0,773.0,0.0,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.7857142857142857,0.6035714285714285,0.9285714285714286,0.6154761904761905,1.0,0.007761966364812419,0.11230105607615648,755.0,,,,0.0
5,0.4002322992789043,0.0021947873799725653,16.0,7290.0,773.0,0.0,0.3333333333333333,0.3333333333333333,0.5138888888888888,0.75,0.5513888888888888,0.9166666666666666,0.5652777777777778,1.0,0.00517464424320828,0.11186741639538325,756.0,,,,0.0
6,0.40024972172482215,0.0012263251124131353,9.0,7339.0,773.0,0.0,0.2222222222222222,0.2222222222222222,0.4629629629629629,0.7777777777777778,0.4629629629629629,0.7777777777777778,0.49118165784832457,1.0,0.00258732212160414,0.11189427312775331,762.0,,,,0.0
7,0.4002652083434158,0.0010976948408342481,8.0,7288.0,773.0,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.48072562358276644,1.0,0.00258732212160414,0.11264675286075197,758.0,,,,0.0
8,0.4002981174079272,0.002350013823610727,17.0,7234.0,773.0,0.0,0.13333333333333333,0.13333333333333333,0.22222222222222224,0.3333333333333333,0.2855555555555556,0.6,0.336005291005291,1.0,0.00258732212160414,0.11435413860200569,764.0,,,,0.0
9,0.40032909064511446,0.002200825309491059,16.0,7270.0,773.0,0.0,0.4,0.4,0.43333333333333335,0.4666666666666667,0.48000000000000004,0.6666666666666666,0.5214550264550265,1.0,0.007761966364812419,0.11343909009278659,758.0,,,,0.0
10,0.40035425640032907,0.0017998061747196456,13.0,7223.0,773.0,0.0,0.5,0.5,0.5694444444444444,0.6666666666666666,0.5694444444444444,0.6666666666666666,0.6139880952380953,1.0,0.007761966364812419,0.11372138261259913,760.0,3.111111111111111,0.031703466380427384,0.004358704802549682,0.0
11,0.40038910129216476,0.0024769505985963946,18.0,7267.0,773.0,0.0,0.4666666666666667,0.4666666666666667,0.5777777777777777,0.7333333333333333,0.611111111111111,0.8666666666666667,0.6317460317460316,1.0,0.009055627425614488,0.11324690806139175,760.0,,,,0.0
12,0.4004162028747036,0.0019289060347203086,14.0,7258.0,773.0,0.0,0.7,0.7,0.8,0.9,0.8,0.9,0.8142857142857143,1.0,0.009055627425614488,0.11231454005934718,757.0,,,,0.0
13,0.4004626627304844,0.003278688524590164,24.0,7320.0,773.0,0.0,0.5789473684210527,0.5789473684210527,0.6228070175438596,0.6842105263157895,0.6596491228070175,0.8421052631578947,0.6808479532163743,1.0,0.014230271668822769,0.11147346575748592,752.0,,,,0.0
14,0.4005149300682379,0.003679476696647588,27.0,7338.0,773.0,0.0,0.5238095238095238,0.5238095238095238,0.5873015873015873,0.6666666666666666,0.6206349206349205,0.8095238095238095,0.6501133786848072,1.0,0.014230271668822769,0.11171622019428908,759.0,,,,0.0
15,0.40054396747810095,0.0020369364475828354,15.0,7364.0,773.0,0.0,0.5,0.5,0.619047619047619,0.7857142857142857,0.619047619047619,0.7857142857142857,0.6460317460317461,1.0,0.009055627425614488,0.11133780238997378,764.0,,,,0.0
16,0.4005749407152882,0.0021691973969631237,16.0,7376.0,773.0,0.0,0.46153846153846156,0.46153846153846156,0.5512820512820512,0.6923076923076923,0.5897435897435896,0.8461538461538461,0.6102564102564102,1.0,0.007761966364812419,0.11135595710298223,758.0,,,,0.0
17,0.4006194647437449,0.0031472359058565954,23.0,7308.0,773.0,0.0,0.3157894736842105,0.3157894736842105,0.42105263157894735,0.5789473684210527,0.45526315789473687,0.7368421052631579,0.4924394319131161,1.0,0.007761966364812419,0.11307738452309538,754.0,,,,0.0
18,0.4006504379809321,0.002186987424822307,16.0,7316.0,773.0,0.0,0.5,0.5,0.5625,0.625,0.603125,0.8125,0.6272321428571428,1.0,0.01034928848641656,0.11244266903388075,760.0,,,,0.0
19,0.40068721870009194,0.002590320381731425,19.0,7335.0,773.0,0.0,0.13333333333333333,0.13333333333333333,0.2111111111111111,0.3333333333333333,0.2577777777777778,0.5333333333333333,0.3112962962962963,1.0,0.00258732212160414,0.11170212765957446,756.0,,,,0.0
20,0.40071432028263076,0.001903984768121855,14.0,7353.0,773.0,0.0,0.38461538461538464,0.38461538461538464,0.47435897435897434,0.6153846153846154,0.49358974358974356,0.6923076923076923,0.5373931623931625,1.0,0.00646830530401035,0.11150131694468832,762.0,3.1025641025641026,0.03135387124057957,0.0043487446122449135,0.0
21,0.4007569084837633,0.0030091642730132677,22.0,7311.0,773.0,0.0,0.47368421052631576,0.47368421052631576,0.5614035087719298,0.6842105263157895,0.624561403508772,0.9473684210526315,0.6320802005012531,1.0,0.01164294954721863,0.11331740818154673,759.0,,,,0.0
22,0.4007975608575715,0.002896551724137931,21.0,7250.0,773.0,0.0,0.47058823529411764,0.47058823529411764,0.4901960784313725,0.5294117647058824,0.5254901960784314,0.7058823529411765,0.5627217553688142,1.0,0.01034928848641656,0.11309167165967646,755.0,,,,0.0
23,0.40084014905870397,0.0030034129692832765,22.0,7325.0,773.0,0.0,0.55,0.55,0.5833333333333333,0.65,0.6083333333333333,0.75,0.6409523809523809,1.0,0.014230271668822769,0.11285777843689752,761.0,,,,0.0
24,0.4008711222958912,0.0021804306350504225,16.0,7338.0,773.0,0.0,0.5,0.5,0.5520833333333333,0.625,0.5958333333333333,0.8125,0.6179563492063492,1.0,0.01034928848641656,0.11173266597968497,759.0,,,,0.0
25,0.4009137104970237,0.003022393185877181,22.0,7279.0,773.0,0.0,0.4117647058823529,0.4117647058823529,0.5392156862745098,0.7058823529411765,0.5656862745098039,0.8235294117647058,0.5898459383753503,1.0,0.009055627425614488,0.11307578008915305,761.0,,,,0.0
26,0.4009408120795625,0.001944174420219414,14.0,7201.0,773.0,0.0,0.18181818181818182,0.18181818181818182,0.393939393939394,0.6363636363636364,0.43939393939393945,0.8181818181818182,0.46085858585858586,1.0,0.00258732212160414,0.11388596359259816,757.0,,,,0.0
27,0.40098340028069496,0.003049625727751594,22.0,7214.0,773.0,0.0,0.7058823529411765,0.7058823529411765,0.7647058823529411,0.8235294117647058,0.7647058823529411,0.8235294117647058,0.7855275443510737,1.0,0.015523932729624839,0.11381132075471698,754.0,,,,0.0
28,0.40102792430915163,0.0031580392695317863,23.0,7283.0,773.0,0.0,0.35,0.35,0.4416666666666666,0.55,0.4766666666666667,0.7,0.5191269841269841,1.0,0.009055627425614488,0.1125392318039157,753.0,,,,0.0
29,0.40104921840971786,0.0015062303163083663,11.0,7303.0,773.0,0.0,0.5454545454545454,0.5454545454545454,0.6818181818181818,0.8181818181818182,0.6818181818181818,0.8181818181818182,0.7077922077922078,1.0,0.007761966364812419,0.11334225792057118,762.0,,,,0.0
