round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40006001064705027,0.0042547351084271205,31.0,7286.0,773.0,0.0,0.6,0.6,0.6416666666666666,0.7,0.6766666666666666,0.85,0.698392857142857,1.0,0.015523932729624839,0.11390487730990609,752.0,3.1652173913043478,0.03212941813566689,0.0043763645333060605,0.0
1,0.4000948555388859,0.0024271844660194173,18.0,7416.0,773.0,0.0,0.375,0.375,0.46875,0.5625,0.515625,0.75,0.5505208333333333,1.0,0.007761966364812419,0.1105733978589236,754.0,,,,0.0
2,0.4001548661859362,0.004245412215831279,31.0,7302.0,773.0,0.0,0.48,0.48,0.56,0.68,0.568,0.72,0.6042222222222222,1.0,0.015523932729624839,0.11290322580645161,756.0,,,,0.0
3,0.40019164690509607,0.002607740872906945,19.0,7286.0,773.0,0.0,0.42857142857142855,0.42857142857142855,0.5,0.5714285714285714,0.5142857142857143,0.6428571428571429,0.5586167800453514,1.0,0.007761966364812419,0.11164250485727097,747.0,,,,0.0
4,0.4002342351062285,0.0030128731854286495,22.0,7302.0,773.0,0.0,0.4375,0.4375,0.53125,0.6875,0.559375,0.8125,0.5795138888888889,1.0,0.009055627425614488,0.11260253542132737,755.0,,,,0.0
5,0.4002845666166578,0.0035665294924554186,26.0,7290.0,773.0,0.0,0.3157894736842105,0.3157894736842105,0.47368421052631576,0.6842105263157895,0.5184210526315789,0.8947368421052632,0.5308479532163742,1.0,0.007761966364812419,0.1125599520383693,751.0,,,,0.0
6,0.40031360402652083,0.0020438751873552256,15.0,7339.0,773.0,0.0,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.6923076923076923,0.6499999999999999,0.8461538461538461,0.6653846153846155,1.0,0.009055627425614488,0.11221464571597985,757.0,,,,0.0
7,0.4003697430189227,0.0039791437980241495,29.0,7288.0,773.0,0.0,0.375,0.375,0.46527777777777773,0.5833333333333334,0.49444444444444446,0.7083333333333334,0.5285714285714286,1.0,0.01164294954721863,0.11382113821138211,756.0,,,,0.0
8,0.40041233122005515,0.0030411943599668234,22.0,7234.0,773.0,0.0,0.2631578947368421,0.2631578947368421,0.42105263157894735,0.5789473684210527,0.4605263157894737,0.7368421052631579,0.4885964912280702,1.0,0.00646830530401035,0.11544319220225403,758.0,,,,0.0
9,0.40046459855780864,0.0037138927097661624,27.0,7270.0,773.0,0.0,0.38095238095238093,0.38095238095238093,0.5317460317460319,0.7619047619047619,0.5555555555555556,0.8571428571428571,0.5742630385487529,1.0,0.01034928848641656,0.11428571428571428,756.0,,,,0.0
