round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40019164690509607,0.013587702443041449,99.0,7286.0,773.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0724450194049159,0.11490588949605343,757.0,3.168067226890756,0.03209340248042452,0.004336230017197917,0.0
1,0.40035425640032907,0.011326860841423949,84.0,7416.0,773.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06597671410090557,0.1134173461823573,765.0,,,,0.0
2,0.400582684024585,0.01615995617639003,118.0,7302.0,773.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08279430789133248,0.11257288084915533,753.0,,,,0.0
3,0.40079949668489573,0.015371946198188307,112.0,7286.0,773.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0724450194049159,0.11381867716058726,752.0,,,,0.0
4,0.4009679136621013,0.01191454396055875,87.0,7302.0,773.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.062095730918499355,0.11362266425557564,754.0,,,,0.0
5,0.40113245898465855,0.011659807956104253,85.0,7290.0,773.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0724450194049159,0.11347409995442807,747.0,,,,0.0
6,0.4013124909258094,0.012665123246629443,93.0,7343.0,773.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.062095730918499355,0.11275388291517324,755.0,,,,0.0
7,0.4015176886221749,0.014536478332419089,106.0,7292.0,773.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06985769728331177,0.11321325866505222,748.0,,,,0.0
8,0.4017073996999468,0.013547138512579486,98.0,7234.0,773.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07632600258732213,0.11431198283787926,746.0,,,,0.0
9,0.40189904660504283,0.013617606602475928,99.0,7270.0,773.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07373868046571798,0.11493555724033358,758.0,,,,0.0
10,0.40206939940957265,0.012178245225574315,88.0,7226.0,773.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07632600258732213,0.11576053756872327,758.0,2.94392523364486,0.03124275732046649,0.00434424997660561,0.0
11,0.40228040458791076,0.014986937989825382,109.0,7273.0,773.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07891332470892626,0.11297640653357532,747.0,,,,0.0
12,0.40248173062962783,0.014299463770108621,104.0,7273.0,773.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0685640362225097,0.11471169937623611,754.0,,,,0.0
13,0.4026559550888061,0.012276633474287273,90.0,7331.0,773.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06597671410090557,0.11284983448690943,750.0,,,,0.0
