round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4000832405749407,0.005868704790500887,43.0,7327.0,773.0,0.0,0.4444444444444444,0.4444444444444444,0.5185185185185185,0.5925925925925926,0.5518518518518518,0.7407407407407407,0.5892857142857143,1.0,0.015523932729624839,0.11307100859339665,750.0,3.1238938053097347,0.03245056936772216,0.0044678951837533645,0.0
1,0.4001742244591782,0.006484547461368654,47.0,7248.0,773.0,0.0,0.5,0.5,0.5833333333333334,0.6875,0.6130208333333333,0.8125,0.6359747023809523,1.0,0.02069857697283312,0.1151995031827356,742.0,,,,0.0
2,0.4002729516527126,0.0069920482588428845,51.0,7294.0,773.0,0.0,0.23076923076923078,0.23076923076923078,0.3418803418803419,0.48717948717948717,0.37777777777777777,0.6410256410256411,0.42836792836792836,1.0,0.01164294954721863,0.11444308445532436,748.0,,,,0.0
3,0.40036780719159853,0.0067914067914067915,49.0,7215.0,773.0,0.0,0.35135135135135137,0.35135135135135137,0.5135135135135134,0.7567567567567568,0.5391891891891891,0.8648648648648649,0.5571535821535821,1.0,0.016817593790426907,0.11536679536679537,747.0,,,,0.0
4,0.4004278178386488,0.004291845493562232,31.0,7223.0,773.0,0.0,0.4782608695652174,0.4782608695652174,0.5652173913043478,0.6956521739130435,0.5760869565217391,0.7391304347826086,0.6056073153899242,1.0,0.014230271668822769,0.11308068459657701,740.0,,,,0.0
5,0.40055751826937036,0.00925542201961597,67.0,7239.0,773.0,0.0,0.4318181818181818,0.4318181818181818,0.5568181818181818,0.7045454545454546,0.5909090909090909,0.8409090909090909,0.609090909090909,1.0,0.02457956015523933,0.11298741172858459,736.0,,,,0.0
6,0.40068721870009194,0.009186891539832716,67.0,7293.0,773.0,0.0,0.4772727272727273,0.4772727272727273,0.5757575757575758,0.7045454545454546,0.5916666666666667,0.7727272727272727,0.6208964646464648,1.0,0.027166882276843468,0.11473651960784313,749.0,,,,0.0
7,0.40077433092968107,0.006123282079194449,45.0,7349.0,773.0,0.0,0.2903225806451613,0.2903225806451613,0.4301075268817204,0.6129032258064516,0.4672043010752687,0.7741935483870968,0.4964157706093189,1.0,0.01164294954721863,0.11373197115384616,757.0,,,,0.0
8,0.4008769297778638,0.007261268666940677,53.0,7299.0,773.0,0.0,0.2682926829268293,0.2682926829268293,0.3861788617886179,0.5609756097560976,0.42032520325203254,0.7073170731707317,0.4615079365079364,1.0,0.014230271668822769,0.11427700746609783,750.0,,,,0.0
9,0.4009601703528045,0.005872712373668397,43.0,7322.0,773.0,0.0,0.27586206896551724,0.27586206896551724,0.43103448275862066,0.6206896551724138,0.45517241379310347,0.7241379310344828,0.49261083743842365,1.0,0.01034928848641656,0.1134098459679855,751.0,,,,0.0
10,0.40102211682717903,0.004405892881729313,32.0,7263.0,773.0,0.0,0.2962962962962963,0.2962962962962963,0.38271604938271603,0.5185185185185185,0.40679012345679016,0.6296296296296297,0.46036155202821866,1.0,0.01034928848641656,0.11318160989766306,741.0,3.0569105691056913,0.031633538709522145,0.004523753497876291,0.0
11,0.40111890819338913,0.006868131868131868,50.0,7280.0,773.0,0.0,0.25806451612903225,0.25806451612903225,0.3870967741935484,0.5161290322580645,0.4306451612903225,0.7096774193548387,0.4722094214029698,1.0,0.01034928848641656,0.11376878258203005,742.0,,,,0.0
12,0.4012292503508687,0.007746670290839902,57.0,7358.0,773.0,0.0,0.358974358974359,0.358974358974359,0.4487179487179486,0.5641025641025641,0.4935897435897436,0.7692307692307693,0.5257122507122507,1.0,0.018111254851228976,0.11325337786549264,746.0,,,,0.0
13,0.40132991337172724,0.007112570099849542,52.0,7311.0,773.0,0.0,0.4,0.4,0.5208333333333334,0.675,0.5433333333333333,0.775,0.5733134920634921,1.0,0.02069857697283312,0.11316187594553706,748.0,,,,0.0
