C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/30  coverage=0.4000  prec@K=0.0034  accepted=25  loss=0.6625  (19.7s)
Round    2/30  coverage=0.4001  prec@K=0.0037  accepted=27  loss=0.6590  (16.5s)
Round    3/30  coverage=0.4002  prec@K=0.0037  accepted=27  loss=0.6524  (15.2s)
Round    4/30  coverage=0.4002  prec@K=0.0049  accepted=35  loss=0.6449  (17.9s)
Round    5/30  coverage=0.4003  prec@K=0.0024  accepted=17  loss=0.6347  (24.5s)
Round    6/30  coverage=0.4003  prec@K=0.0021  accepted=15  loss=0.6220  (16.9s)
Round    7/30  coverage=0.4003  prec@K=0.0026  accepted=19  loss=0.6111  (15.7s)
Round    8/30  coverage=0.4003  prec@K=0.0012  accepted=9  loss=0.5995  (18.0s)
Round    9/30  coverage=0.4004  prec@K=0.0030  accepted=22  loss=0.5910  (40.2s)
Round   10/30  coverage=0.4004  prec@K=0.0008  accepted=6  loss=0.5779  (36.8s)
Round   11/30  coverage=0.4004  prec@K=0.0026  accepted=19  loss=0.5697  (33.9s)
Round   12/30  coverage=0.4004  prec@K=0.0014  accepted=10  loss=0.5556  (33.3s)
Round   13/30  coverage=0.4005  prec@K=0.0027  accepted=20  loss=0.5443  (32.3s)
Round   14/30  coverage=0.4005  prec@K=0.0025  accepted=18  loss=0.5334  (24.3s)
Round   15/30  coverage=0.4005  prec@K=0.0008  accepted=6  loss=0.5214  (36.5s)
Round   16/30  coverage=0.4006  prec@K=0.0023  accepted=17  loss=0.5114  (38.3s)
Round   17/30  coverage=0.4006  prec@K=0.0012  accepted=9  loss=0.4985  (33.4s)
Round   18/30  coverage=0.4006  prec@K=0.0011  accepted=8  loss=0.4888  (37.7s)
Round   19/30  coverage=0.4006  prec@K=0.0018  accepted=13  loss=0.4831  (47.1s)
Round   20/30  coverage=0.4007  prec@K=0.0024  accepted=17  loss=0.4770  (32.5s)
Round   21/30  coverage=0.4007  prec@K=0.0028  accepted=20  loss=0.4705  (28.7s)
Round   22/30  coverage=0.4007  prec@K=0.0024  accepted=17  loss=0.4605  (38.9s)
Round   23/30  coverage=0.4008  prec@K=0.0018  accepted=13  loss=0.4559  (42.2s)
Round   24/30  coverage=0.4008  prec@K=0.0025  accepted=18  loss=0.4515  (29.6s)
Round   25/30  coverage=0.4008  prec@K=0.0020  accepted=15  loss=0.4489  (25.6s)
Round   26/30  coverage=0.4009  prec@K=0.0027  accepted=20  loss=0.4454  (30.9s)
Round   27/30  coverage=0.4009  prec@K=0.0041  accepted=30  loss=0.4459  (29.2s)
Round   28/30  coverage=0.4010  prec@K=0.0027  accepted=20  loss=0.4410  (23.8s)
Round   29/30  coverage=0.4010  prec@K=0.0012  accepted=9  loss=0.4368  (28.1s)
Round   30/30  coverage=0.4010  prec@K=0.0023  accepted=17  loss=0.4397  (49.8s)

结果已写入 results\online\algo_sweep_slashdot_v2_ir40_s2\slashdot_gnn_h32/rounds.csv
