round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.250025246914827,0.0009314703925482369,14.0,15030.0,1572.0,0.0,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.45454545454545453,0.40454545454545454,0.6363636363636364,0.45198412698412693,1.0,0.0019083969465648854,0.10780141843971631,1368.0,2.857142857142857,0.07284773107324591,0.0012376444432238803,0.0
1,0.25006564197855025,0.0014678409394182012,22.0,14988.0,1572.0,0.0,0.5333333333333333,0.5333333333333333,0.6666666666666666,0.8,0.6833333333333333,0.8666666666666667,0.6981481481481481,1.0,0.005089058524173028,0.1091724027533216,1364.0,,,,0.0
2,0.25009869248523287,0.001195616074393889,18.0,15055.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.47222222222222215,0.6666666666666666,0.5305555555555556,0.9166666666666666,0.5424603174603174,1.0,0.002544529262086514,0.10824175824175825,1379.0,,,,0.0
3,0.25012990685265535,0.00112404125892621,17.0,15124.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.4666666666666666,0.6666666666666666,0.52,0.9333333333333333,0.5295238095238095,1.0,0.0031806615776081423,0.10685579196217494,1356.0,,,,0.0
4,0.25014643210599663,0.0005968169761273209,9.0,15080.0,1572.0,0.0,0.1111111111111111,0.1111111111111111,0.3888888888888889,0.7777777777777778,0.3888888888888889,0.7777777777777778,0.41710758377425045,1.0,0.0006361323155216285,0.10796612827348283,1377.0,,,,0.0
5,0.2501776464734191,0.0011387232902404715,17.0,14929.0,1572.0,0.0,0.2,0.2,0.28888888888888886,0.4,0.34555555555555556,0.6666666666666666,0.3858201058201059,1.0,0.0019083969465648854,0.109307274016865,1387.0,,,,0.0
6,0.25020702470158146,0.0010656720394298656,16.0,15014.0,1572.0,0.0,0.3,0.3,0.36666666666666664,0.5,0.4666666666666666,0.9,0.4833333333333334,1.0,0.0019083969465648854,0.10836397777951647,1385.0,,,,0.0
7,0.2502492559045648,0.0015250978051853325,23.0,15081.0,1572.0,0.0,0.2777777777777778,0.2777777777777778,0.4351851851851852,0.6111111111111112,0.5101851851851852,0.9444444444444444,0.5194444444444444,1.0,0.0031806615776081423,0.1072675341161536,1352.0,,,,0.0
8,0.2502749618542069,0.0009349539201282223,14.0,14974.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.37037037037037035,0.4444444444444444,0.39814814814814814,0.5555555555555556,0.46494708994708994,1.0,0.0019083969465648854,0.10676727944127799,1330.0,,,,0.0
9,0.2503153569179301,0.001473444511419195,22.0,14931.0,1572.0,0.0,0.5,0.5,0.5833333333333333,0.6875,0.5989583333333333,0.75,0.6323660714285715,1.0,0.005089058524173028,0.10804359933168908,1358.0,,,,0.0
10,0.25034289900683226,0.000998003992015968,15.0,15030.0,1572.0,0.0,0.23076923076923078,0.23076923076923078,0.3333333333333333,0.46153846153846156,0.38333333333333336,0.6923076923076923,0.42765567765567764,1.0,0.0019083969465648854,0.10681238034460754,1339.0,3.05,0.07274721100022251,0.0012303771663900206,0.0
11,0.2503906386275961,0.0017337956788476927,26.0,14996.0,1572.0,0.0,0.3684210526315789,0.3684210526315789,0.5350877192982456,0.7368421052631579,0.5482456140350876,0.7894736842105263,0.5743943191311612,1.0,0.004452926208651399,0.10794103661436044,1362.0,,,,0.0
12,0.25041818071649824,0.001002673796791444,15.0,14960.0,1572.0,0.0,0.2,0.2,0.25555555555555554,0.3333333333333333,0.28555555555555556,0.4666666666666667,0.3551587301587301,1.0,0.0019083969465648854,0.10908664372849547,1395.0,,,,0.0
