C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/30  coverage=0.2500  prec@K=0.0001  accepted=2  loss=0.6719  (42.1s)
Round    2/30  coverage=0.2500  prec@K=0.0007  accepted=11  loss=0.6686  (64.3s)
Round    3/30  coverage=0.2500  prec@K=0.0006  accepted=9  loss=0.6640  (47.8s)
Round    4/30  coverage=0.2500  prec@K=0.0003  accepted=4  loss=0.6590  (63.2s)
Round    5/30  coverage=0.2501  prec@K=0.0004  accepted=6  loss=0.6544  (59.5s)
Round    6/30  coverage=0.2501  prec@K=0.0009  accepted=13  loss=0.6504  (78.8s)
Round    7/30  coverage=0.2501  prec@K=0.0003  accepted=4  loss=0.6460  (67.6s)
Round    8/30  coverage=0.2501  prec@K=0.0005  accepted=7  loss=0.6421  (79.8s)
Round    9/30  coverage=0.2501  prec@K=0.0007  accepted=11  loss=0.6377  (73.7s)
Round   10/30  coverage=0.2501  prec@K=0.0005  accepted=7  loss=0.6333  (76.3s)
Round   11/30  coverage=0.2502  prec@K=0.0010  accepted=15  loss=0.6295  (96.4s)
Round   12/30  coverage=0.2502  prec@K=0.0003  accepted=5  loss=0.6248  (92.3s)
Round   13/30  coverage=0.2502  prec@K=0.0006  accepted=9  loss=0.6213  (95.5s)
Round   14/30  coverage=0.2502  prec@K=0.0005  accepted=8  loss=0.6171  (103.7s)
Round   15/30  coverage=0.2502  prec@K=0.0003  accepted=4  loss=0.6126  (99.6s)
Round   16/30  coverage=0.2502  prec@K=0.0005  accepted=7  loss=0.6086  (148.9s)
Round   17/30  coverage=0.2502  prec@K=0.0006  accepted=9  loss=0.6049  (161.5s)
Round   18/30  coverage=0.2502  prec@K=0.0003  accepted=5  loss=0.6011  (135.6s)
Round   19/30  coverage=0.2503  prec@K=0.0009  accepted=13  loss=0.5979  (131.1s)
Round   20/30  coverage=0.2503  prec@K=0.0006  accepted=9  loss=0.5940  (112.6s)
Round   21/30  coverage=0.2503  prec@K=0.0006  accepted=9  loss=0.5901  (155.8s)
Round   22/30  coverage=0.2503  prec@K=0.0003  accepted=4  loss=0.5864  (136.7s)
Round   23/30  coverage=0.2503  prec@K=0.0004  accepted=6  loss=0.5825  (152.6s)
Round   24/30  coverage=0.2503  prec@K=0.0003  accepted=4  loss=0.5790  (172.4s)
Round   25/30  coverage=0.2503  prec@K=0.0006  accepted=9  loss=0.5760  (181.0s)
Round   26/30  coverage=0.2504  prec@K=0.0005  accepted=8  loss=0.5731  (190.3s)
Round   27/30  coverage=0.2504  prec@K=0.0009  accepted=14  loss=0.5694  (234.6s)
Round   28/30  coverage=0.2504  prec@K=0.0005  accepted=8  loss=0.5646  (224.6s)
Round   29/30  coverage=0.2504  prec@K=0.0004  accepted=6  loss=0.5610  (243.8s)
Round   30/30  coverage=0.2504  prec@K=0.0004  accepted=6  loss=0.5580  (221.8s)

结果已写入 results\online\algo_sweep_sx_askubuntu_v2_constlr_s0\sx_askubuntu_gnn_sum/rounds.csv
