round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4000212992154177,0.0008078088185796028,12.0,14855.0,1572.0,0.0,0.25,0.25,0.4166666666666667,0.5833333333333334,0.4583333333333333,0.75,0.49603174603174605,1.0,0.0019083969465648854,0.11090600310123311,1502.0,2.8653846153846154,0.06427238192928147,0.0003942384957653217,0.0
1,0.4000359883294989,0.0005424464334147003,8.0,14748.0,1572.0,0.0,0.625,0.625,0.6666666666666666,0.75,0.6666666666666666,0.75,0.7083333333333334,1.0,0.0031806615776081423,0.11203717362442839,1519.0,,,,0.0
2,0.40006720269692136,0.0011570922951265996,17.0,14692.0,1572.0,0.0,0.2,0.2,0.2888888888888889,0.4666666666666667,0.33222222222222225,0.6666666666666666,0.3740740740740741,1.0,0.0019083969465648854,0.11137706634752038,1489.0,,,,0.0
3,0.40009658092508366,0.0010847457627118644,16.0,14750.0,1572.0,0.0,0.35714285714285715,0.35714285714285715,0.4523809523809524,0.5714285714285714,0.5059523809523809,0.7857142857142857,0.5386904761904762,1.0,0.0031806615776081423,0.1109378480730675,1494.0,,,,0.0
4,0.40012228687472573,0.0009416195856873823,14.0,14868.0,1572.0,0.0,0.25,0.25,0.37499999999999994,0.5833333333333334,0.4333333333333333,0.8333333333333334,0.4518518518518517,1.0,0.0019083969465648854,0.1109965382632393,1507.0,,,,0.0
5,0.4001516651028881,0.001083937402614999,16.0,14761.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.5222222222222221,0.8,0.5388888888888889,0.8666666666666667,0.5537037037037037,1.0,0.0031806615776081423,0.11084748276117742,1495.0,,,,0.0
6,0.4001663542169692,0.0005448477831505824,8.0,14683.0,1572.0,0.0,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.42857142857142855,0.38571428571428573,0.5714285714285714,0.438265306122449,1.0,0.001272264631043257,0.11171886707627754,1491.0,,,,0.0
7,0.40018655174883083,0.0007455605259590619,11.0,14754.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.4722222222222222,0.6666666666666666,0.513095238095238,1.0,0.0019083969465648854,0.11057692307692307,1495.0,,,,0.0
8,0.4002049131414323,0.0006748549061951681,10.0,14818.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.42592592592592593,0.5555555555555556,0.45370370370370366,0.6666666666666666,0.49104938271604937,1.0,0.0019083969465648854,0.11027422303473491,1508.0,,,,0.0
9,0.4002287829518142,0.0008795074758135445,13.0,14781.0,1572.0,0.0,0.5454545454545454,0.5454545454545454,0.6818181818181818,0.8181818181818182,0.7272727272727273,1.0,0.7272727272727273,1.0,0.003816793893129771,0.11125886524822695,1506.0,,,,0.0
