round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4000047739620764,0.00020222446916076846,3.0,14835.0,1572.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.167989417989418,1.0,0.0,0.11934117647058824,1268.0,2.7752808988764044,0.06463190063915,0.0009803480241656615,0.0
1,0.40001946307615754,0.0005439216752787598,8.0,14708.0,1572.0,0.0,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.2857142857142857,0.2619047619047619,0.5714285714285714,0.31859410430839,1.0,0.0006361323155216285,0.11998875983514425,1281.0,,,,0.0
2,0.400024971493938,0.00020412329046744235,3.0,14697.0,1572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12962962962962962,1.0,0.0,0.12143708184401063,1325.0,,,,0.0
3,0.4000304799117184,0.0002021018593371059,3.0,14844.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.6666666666666666,0.4583333333333333,1.0,0.0006361323155216285,0.12040163497423138,1355.0,,,,0.0
4,0.4000359883294989,0.0002023199352576207,3.0,14828.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.5555555555555555,1.0,0.5555555555555555,1.0,0.5555555555555555,1.0,0.0006361323155216285,0.12008830022075055,1360.0,,,,0.0
5,0.40004700516505975,0.00040980807321904243,6.0,14641.0,1572.0,0.0,0.2,0.2,0.26666666666666666,0.4,0.3466666666666666,0.8,0.37166666666666665,1.0,0.0006361323155216285,0.12117981520966596,1364.0,,,,0.0
6,0.40004700516505975,0.0,0.0,14668.0,1572.0,0.0,,,,,,,,,0.0,0.12018300193559739,1366.0,,,,0.0
7,0.4000488413043199,6.782419967444384e-05,1.0,14744.0,1572.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006361323155216285,0.11993302784631653,1361.0,,,,0.0
8,0.40005251358284016,0.0001362769146906514,2.0,14676.0,1572.0,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.1875,1.0,0.0,0.12203212290502793,1398.0,,,,0.0
9,0.40005802200062063,0.00020607226267344415,3.0,14558.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.0006361323155216285,0.12099549907333863,1371.0,,,,0.0
10,0.40005802200062063,0.0,0.0,14682.0,1572.0,0.0,,,,,,,,,0.0,0.11945422535211267,1357.0,2.9397590361445785,0.06458098746441479,0.0009707814417956046,0.0
11,0.40005985813988076,6.825006825006825e-05,1.0,14652.0,1572.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.11986691182908676,1369.0,,,,0.0
12,0.4000616942791409,6.878525244187646e-05,1.0,14538.0,1572.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.12085098870056497,1369.0,,,,0.0
13,0.40006720269692136,0.00020459660369637864,3.0,14663.0,1572.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.12108867123168934,1397.0,,,,0.0
14,0.40007087497544164,0.0001350347714536493,2.0,14811.0,1572.0,0.0,0.5,0.5,0.5,0.5,0.625,1.0,0.625,1.0,0.0006361323155216285,0.11768245508467291,1369.0,,,,0.0
15,0.4000745472539619,0.0001362119457876456,2.0,14683.0,1572.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.11800752867022674,1348.0,,,,0.0
16,0.4000763833932221,6.750371270419872e-05,1.0,14814.0,1572.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006361323155216285,0.11726159682703914,1360.0,,,,0.0
17,0.40007821953248224,6.825472663981981e-05,1.0,14651.0,1572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0.0,0.11989795918367346,1363.0,,,,0.0
18,0.4000800556717424,6.780120686148214e-05,1.0,14749.0,1572.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006361323155216285,0.11846113673948995,1361.0,,,,0.0
19,0.400087400228783,0.00027192386131883074,4.0,14710.0,1572.0,0.0,0.25,0.25,0.25,0.25,0.3125,0.5,0.3759920634920635,1.0,0.0006361323155216285,0.11918704788150189,1384.0,,,,0.0
20,0.40009107250730325,0.00013518080432578573,2.0,14795.0,1572.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5714285714285714,1.0,0.0006361323155216285,0.11765717725982627,1368.0,3.0919540229885056,0.06454715205435314,0.0009707814417956046,0.0
21,0.4000929086465634,6.821282401091406e-05,1.0,14660.0,1572.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006361323155216285,0.12103796586555207,1390.0,,,,0.0
22,0.4000929086465634,0.0,0.0,14869.0,1572.0,0.0,,,,,,,,,0.0,0.11727335164835165,1366.0,,,,0.0
23,0.40009841706434385,0.00020229265003371543,3.0,14830.0,1572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1259259259259259,1.0,0.0,0.11790772438960813,1357.0,,,,0.0
24,0.4001020893428641,0.00013454423141607804,2.0,14865.0,1572.0,0.0,0.5,0.5,0.5,0.5,0.625,1.0,0.625,1.0,0.0006361323155216285,0.1190786614515428,1370.0,,,,0.0
25,0.40010392548212426,6.757213325224677e-05,1.0,14799.0,1572.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006361323155216285,0.11702770346077501,1356.0,,,,0.0
26,0.4001075977606446,0.000135685210312076,2.0,14740.0,1572.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,1.0,0.0,0.1175305665576029,1365.0,,,,0.0
27,0.4001075977606446,0.0,0.0,14758.0,1572.0,0.0,,,,,,,,,0.0,0.11912766140849927,1382.0,,,,0.0
28,0.40011127003916486,0.00013690190978164144,2.0,14609.0,1572.0,0.0,0.0,0.0,0.0,0.0,0.225,1.0,0.225,1.0,0.0,0.11932162325863113,1379.0,,,,0.0
29,0.40011677845694527,0.0002017213555675094,3.0,14872.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.6666666666666666,0.4537037037037037,1.0,0.0006361323155216285,0.11839413569723832,1389.0,,,,0.0
