C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/30  coverage=0.2500  prec@K=0.0001  accepted=2  loss=0.5505  (16.3s)
Round    2/30  coverage=0.2500  prec@K=0.0008  accepted=12  loss=0.5512  (35.8s)
Round    3/30  coverage=0.2500  prec@K=0.0005  accepted=7  loss=0.5494  (27.7s)
Round    4/30  coverage=0.2500  prec@K=0.0003  accepted=4  loss=0.5474  (27.7s)
Round    5/30  coverage=0.2501  prec@K=0.0008  accepted=12  loss=0.5469  (45.8s)
Round    6/30  coverage=0.2501  prec@K=0.0009  accepted=14  loss=0.5440  (34.9s)
Round    7/30  coverage=0.2501  prec@K=0.0003  accepted=5  loss=0.5397  (39.1s)
Round    8/30  coverage=0.2501  prec@K=0.0005  accepted=7  loss=0.5363  (42.0s)
Round    9/30  coverage=0.2501  prec@K=0.0009  accepted=14  loss=0.5347  (48.9s)
Round   10/30  coverage=0.2502  prec@K=0.0007  accepted=10  loss=0.5312  (49.1s)
Round   11/30  coverage=0.2502  prec@K=0.0011  accepted=17  loss=0.5285  (53.8s)
Round   12/30  coverage=0.2502  prec@K=0.0007  accepted=11  loss=0.5241  (52.9s)
Round   13/30  coverage=0.2502  prec@K=0.0008  accepted=12  loss=0.5212  (56.9s)
Round   14/30  coverage=0.2503  prec@K=0.0007  accepted=11  loss=0.5187  (61.4s)
Round   15/30  coverage=0.2503  prec@K=0.0003  accepted=4  loss=0.5151  (65.3s)
Round   16/30  coverage=0.2503  prec@K=0.0005  accepted=7  loss=0.5133  (69.0s)
Round   17/30  coverage=0.2503  prec@K=0.0006  accepted=9  loss=0.5112  (69.6s)
Round   18/30  coverage=0.2503  prec@K=0.0006  accepted=9  loss=0.5088  (74.3s)
Round   19/30  coverage=0.2503  prec@K=0.0009  accepted=13  loss=0.5076  (74.4s)
Round   20/30  coverage=0.2503  prec@K=0.0007  accepted=10  loss=0.5040  (97.3s)
Round   21/30  coverage=0.2504  prec@K=0.0006  accepted=9  loss=0.5030  (87.5s)
Round   22/30  coverage=0.2504  prec@K=0.0003  accepted=5  loss=0.5006  (114.1s)
Round   23/30  coverage=0.2504  prec@K=0.0005  accepted=7  loss=0.5004  (87.8s)
Round   24/30  coverage=0.2504  prec@K=0.0005  accepted=8  loss=0.4990  (89.8s)
Round   25/30  coverage=0.2504  prec@K=0.0008  accepted=12  loss=0.4990  (93.6s)
Round   26/30  coverage=0.2504  prec@K=0.0005  accepted=7  loss=0.4986  (107.8s)
Round   27/30  coverage=0.2505  prec@K=0.0011  accepted=16  loss=0.4995  (101.7s)
Round   28/30  coverage=0.2505  prec@K=0.0005  accepted=8  loss=0.4979  (104.5s)
Round   29/30  coverage=0.2505  prec@K=0.0006  accepted=9  loss=0.4978  (109.7s)
Round   30/30  coverage=0.2505  prec@K=0.0009  accepted=13  loss=0.4989  (114.9s)

结果已写入 results\online\algo_sweep_sx_askubuntu_v2_s0\sx_askubuntu_gnn_sum_h8/rounds.csv
