round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25000688552222555,0.0002677017802168384,4.0,14942.0,1572.0,0.0,0.0,0.0,0.20833333333333331,0.5,0.20833333333333331,0.5,0.27529761904761907,1.0,0.0,0.11100852272727273,1563.0,3.08955223880597,0.0727325116208872,0.0006660909126176629,0.0
1,0.2500160662185263,0.0003340236488743403,5.0,14969.0,1572.0,0.0,0.0,0.0,0.16666666666666666,0.4,0.16666666666666666,0.4,0.23888888888888887,1.0,0.0,0.11022171849543104,1556.0,,,,0.0
2,0.250025246914827,0.0003301419610432486,5.0,15145.0,1572.0,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6583333333333333,1.0,0.0019083969465648854,0.10909732016925247,1547.0,,,,0.0
3,0.25004544444668864,0.0007333333333333333,11.0,15000.0,1572.0,0.0,0.5,0.5,0.6,0.7,0.65,0.9,0.6599999999999999,1.0,0.0031806615776081423,0.11002755988976044,1557.0,,,,0.0
4,0.25005095286446904,0.00019889942319167275,3.0,15083.0,1572.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7333333333333334,1.0,0.7333333333333334,1.0,0.001272264631043257,0.10951677569107407,1557.0,,,,0.0
5,0.2500601335607698,0.00033467202141900936,5.0,14940.0,1572.0,0.0,0.6,0.6,0.6666666666666667,0.8,0.6666666666666667,0.8,0.6866666666666668,1.0,0.0019083969465648854,0.1098286361705141,1551.0,,,,0.0
6,0.2500729865355908,0.0004674457429048414,7.0,14975.0,1572.0,0.0,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.2857142857142857,0.29761904761904756,0.7142857142857143,0.332312925170068,1.0,0.0006361323155216285,0.11009044657998869,1558.0,,,,0.0
7,0.2500858395104118,0.0004670402989057913,7.0,14988.0,1572.0,0.0,0.42857142857142855,0.42857142857142855,0.6428571428571429,0.8571428571428571,0.6785714285714286,1.0,0.6785714285714286,1.0,0.0019083969465648854,0.11039740241406085,1564.0,,,,0.0
8,0.25009869248523287,0.00046419098143236074,7.0,15080.0,1572.0,0.0,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.2833333333333333,0.5,0.3494708994708995,1.0,0.0006361323155216285,0.11003806569857606,1561.0,,,,0.0
9,0.2501060370422734,0.0002657101102696958,4.0,15054.0,1572.0,0.0,0.75,0.75,0.875,1.0,0.875,1.0,0.875,1.0,0.0019083969465648854,0.10951374207188161,1554.0,,,,0.0
10,0.25011521773857415,0.00033231423634188487,5.0,15046.0,1572.0,0.0,0.2,0.2,0.3,0.4,0.35,0.6,0.40555555555555556,1.0,0.0006361323155216285,0.10961226075287803,1552.0,3.0,0.0726706830249508,0.0005357012591131172,0.0
11,0.2501207261563546,0.00020083009773731424,3.0,14938.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.4777777777777778,1.0,0.0006361323155216285,0.11063075832742736,1561.0,,,,0.0
12,0.250126234574135,0.00019940179461615153,3.0,15045.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.611111111111111,1.0,0.611111111111111,1.0,0.611111111111111,1.0,0.0006361323155216285,0.10927733689163564,1556.0,,,,0.0
