round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2500054826725616,0.0008389261744966443,2.0,2384.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15476190476190477,1.0,0.0,0.1107754279959718,220.0,3.056,0.21852197959439382,0.007527415083291062,0.0
1,0.2500054826725616,0.0,0.0,2373.0,247.0,0.0,,,,,,,,,0.0,0.11666666666666667,231.0,,,,0.0
2,0.25000986881061094,0.0004175365344467641,1.0,2395.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004048582995951417,0.11044176706827309,220.0,,,,0.0
3,0.25001425494866025,0.00041476565740356696,1.0,2411.0,247.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.11004543160020192,218.0,,,,0.0
4,0.25001425494866025,0.0,0.0,2394.0,247.0,0.0,,,,,,,,,0.0,0.11278952668680765,224.0,,,,0.0
5,0.2500230272247589,0.0008399832003359933,2.0,2381.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15476190476190477,1.0,0.0,0.11483253588516747,216.0,,,,0.0
6,0.2500274133628082,0.0004210526315789474,1.0,2375.0,247.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.11293634496919917,220.0,,,,0.0
7,0.25003179950085747,0.00041999160016799666,1.0,2381.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.10989583333333333,211.0,,,,0.0
8,0.2500405717769561,0.0008357709987463436,2.0,2393.0,247.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.5,0.23809523809523808,1.0,0.0,0.11436031331592689,219.0,,,,0.0
9,0.2500405717769561,0.0,0.0,2347.0,247.0,0.0,,,,,,,,,0.0,0.11703239289446186,224.0,,,,0.0
10,0.2500449579150054,0.0004170141784820684,1.0,2398.0,247.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.10928681375064135,213.0,3.096,0.2184469289695659,0.0075457417001256214,0.0
11,0.25005373019110405,0.0008264462809917355,2.0,2420.0,247.0,0.0,0.0,0.0,0.41666666666666663,1.0,0.41666666666666663,1.0,0.41666666666666663,1.0,0.0,0.10957551826258638,222.0,,,,0.0
12,0.25005373019110405,0.0,0.0,2402.0,247.0,0.0,,,,,,,,,0.0,0.11629098360655737,227.0,,,,0.0
13,0.25006250246720263,0.0008492569002123143,2.0,2355.0,247.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.5,0.22916666666666666,1.0,0.0,0.11583206879109763,229.0,,,,0.0
14,0.25007127474330126,0.0008322929671244278,2.0,2403.0,247.0,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.1875,1.0,0.0,0.1109979633401222,218.0,,,,0.0
15,0.2500844331574492,0.0012391573729863693,3.0,2421.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.6666666666666666,0.47222222222222227,1.0,0.004048582995951417,0.10991268618387262,214.0,,,,0.0
16,0.2500844331574492,0.0,0.0,2353.0,247.0,0.0,,,,,,,,,0.0,0.11395101171458999,214.0,,,,0.0
17,0.2500932054335478,0.000836470096194061,2.0,2391.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.10871743486973948,217.0,,,,0.0
18,0.25010197770964643,0.0008399832003359933,2.0,2381.0,247.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.1625,1.0,0.0,0.11004056795131846,217.0,,,,0.0
19,0.25010197770964643,0.0,0.0,2363.0,247.0,0.0,,,,,,,,,0.0,0.11424100156494522,219.0,,,,0.0
20,0.25011074998574506,0.0008565310492505353,2.0,2335.0,247.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.2,1.0,0.0,0.1130890052356021,216.0,3.1777777777777776,0.21823426653143935,0.007542441411945246,0.0
21,0.25011074998574506,0.0,0.0,2385.0,247.0,0.0,,,,,,,,,0.0,0.109979633401222,216.0,,,,0.0
