round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2500230272247589,0.0025167785234899327,6.0,2384.0,247.0,0.0,0.25,0.25,0.375,0.5,0.4375,0.75,0.4732142857142857,1.0,0.004048582995951417,0.12004730928444707,203.0,2.801980198019802,0.21852105214274153,0.006783415699084093,0.0
1,0.25004934405305473,0.0025284450063211127,6.0,2373.0,247.0,0.0,0.2,0.2,0.4,0.6,0.4,0.6,0.44222222222222224,1.0,0.004048582995951417,0.11733174508636093,197.0,,,,0.0
2,0.25007127474330126,0.0020876826722338203,5.0,2395.0,247.0,0.0,0.2,0.2,0.2,0.2,0.24,0.4,0.3022222222222223,1.0,0.004048582995951417,0.11850554582603619,203.0,,,,0.0
3,0.2500800470193999,0.0008295313148071339,2.0,2411.0,247.0,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.20833333333333331,1.0,0.0,0.12066021627774616,212.0,,,,0.0
4,0.2501151361237944,0.003341687552213868,8.0,2394.0,247.0,0.0,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3819444444444444,1.0,0.004048582995951417,0.1098546042003231,204.0,,,,0.0
5,0.25012390839989296,0.0008399832003359933,2.0,2381.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15476190476190477,1.0,0.0,0.1140011068068622,206.0,,,,0.0
6,0.25014583909013954,0.002105263157894737,5.0,2375.0,247.0,0.0,0.0,0.0,0.3,0.6,0.3,0.6,0.35079365079365077,1.0,0.0,0.11621621621621622,215.0,,,,0.0
7,0.2501546113662381,0.0008399832003359933,2.0,2381.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,1.0,0.0,0.11431682090364725,210.0,,,,0.0
8,0.25016338364233676,0.0008357709987463436,2.0,2393.0,247.0,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.19642857142857142,1.0,0.0,0.11355115158007499,212.0,,,,0.0
9,0.2501721559184354,0.0008521516829995739,2.0,2347.0,247.0,0.0,0.5,0.5,0.75,1.0,0.75,1.0,0.75,1.0,0.004048582995951417,0.11235955056179775,210.0,,,,0.0
10,0.2501853143325833,0.0012510425354462051,3.0,2398.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13425925925925927,1.0,0.0,0.11347150259067358,219.0,2.781609195402299,0.2184416106255883,0.006842566351860831,0.0
11,0.25019847274673124,0.0012396694214876034,3.0,2420.0,247.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.19444444444444442,0.6666666666666666,0.23611111111111108,1.0,0.0,0.11344969199178645,221.0,,,,0.0
12,0.25020285888478055,0.00041631973355537054,1.0,2402.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.11173184357541899,220.0,,,,0.0
13,0.25022040343697777,0.0016985138004246285,4.0,2355.0,247.0,0.0,0.0,0.0,0.0,0.0,0.1125,0.5,0.175,1.0,0.0,0.11566018423746162,226.0,,,,0.0
14,0.25023794798917504,0.0016645859342488557,4.0,2403.0,247.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.08333333333333333,0.25,0.1884920634920635,1.0,0.0,0.11586638830897704,222.0,,,,0.0
15,0.2502423341272243,0.0004130524576621231,1.0,2421.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.11605316973415133,227.0,,,,0.0
16,0.2502423341272243,0.0,0.0,2353.0,247.0,0.0,,,,,,,,,0.0,0.1167274622199062,224.0,,,,0.0
17,0.25025110640332293,0.000836470096194061,2.0,2391.0,247.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.1126102750389206,217.0,,,,0.0
18,0.25025549254137225,0.00041999160016799666,1.0,2381.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,0.11122448979591837,218.0,,,,0.0
19,0.2502642648174709,0.0008463817181548879,2.0,2363.0,247.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5555555555555556,1.0,0.004048582995951417,0.11296199895887558,217.0,,,,0.0
20,0.25027303709356946,0.0008561643835616438,2.0,2336.0,247.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.2,1.0,0.0,0.12046291425565492,229.0,2.6626506024096384,0.21834028518807155,0.006841568013843271,0.0
21,0.2502774232316188,0.0004192872117400419,1.0,2385.0,247.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,1.0,0.0,0.11560102301790282,226.0,,,,0.0
22,0.25029058164576673,0.0012594458438287153,3.0,2382.0,247.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.19206349206349205,1.0,0.0,0.11234256926952141,223.0,,,,0.0
23,0.25029496778381605,0.00042625745950554135,1.0,2346.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.11658031088082901,225.0,,,,0.0
24,0.25029496778381605,0.0,0.0,2401.0,247.0,0.0,,,,,,,,,0.0,0.11347517730496454,224.0,,,,0.0
25,0.2503037400599146,0.0008417508417508417,2.0,2376.0,247.0,0.0,0.0,0.0,0.25,0.5,0.25,0.5,0.3214285714285714,1.0,0.0,0.11235955056179775,220.0,,,,0.0
26,0.25030812619796394,0.00041425020712510354,1.0,2414.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,0.11015228426395939,217.0,,,,0.0
27,0.2503344430262598,0.0024989587671803417,6.0,2401.0,247.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5722222222222223,1.0,0.012145748987854251,0.11418330773169483,223.0,,,,0.0
28,0.25036075985455564,0.0025041736227045075,6.0,2396.0,247.0,0.0,0.2,0.2,0.36666666666666664,0.6,0.36666666666666664,0.6,0.4238095238095238,1.0,0.004048582995951417,0.11424100156494522,219.0,,,,0.0
29,0.25036514599260495,0.00041684035014589413,1.0,2399.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004048582995951417,0.11274014155712841,223.0,,,,0.0
