round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25012390839989296,0.012048192771084338,29.0,2407.0,247.0,0.0,0.47368421052631576,0.47368421052631576,0.5175438596491228,0.5789473684210527,0.5543859649122806,0.7368421052631579,0.5871136173767753,1.0,0.03643724696356275,0.11244794076816289,243.0,2.3076923076923075,0.21863580975332622,0.00502914798844106,0.0
1,0.2502642648174709,0.013389121338912133,32.0,2390.0,247.0,0.0,0.4117647058823529,0.4117647058823529,0.5098039215686274,0.6470588235294118,0.5568627450980392,0.8823529411764706,0.5711484593837535,1.0,0.02834008097165992,0.11281070745697896,236.0,,,,0.0
2,0.25038707668285154,0.011532125205930808,28.0,2428.0,247.0,0.0,0.3125,0.3125,0.47916666666666663,0.6875,0.5260416666666666,0.875,0.5427827380952381,1.0,0.020242914979757085,0.10641200545702592,234.0,,,,0.0
3,0.2504879578579856,0.009535655058043118,23.0,2412.0,247.0,0.0,0.6428571428571429,0.6428571428571429,0.738095238095238,0.8571428571428571,0.7559523809523808,0.9285714285714286,0.7678571428571427,1.0,0.03643724696356275,0.11025408348457351,243.0,,,,0.0
4,0.2505625222048239,0.006970069700697007,17.0,2439.0,247.0,0.0,0.45454545454545453,0.45454545454545453,0.5606060606060606,0.7272727272727273,0.6015151515151514,0.9090909090909091,0.6145021645021644,1.0,0.020242914979757085,0.10790067720090293,239.0,,,,0.0
5,0.2507072647604511,0.013924050632911392,33.0,2370.0,247.0,0.0,0.2,0.2,0.36666666666666664,0.6,0.44666666666666666,0.95,0.45499999999999996,1.0,0.016194331983805668,0.111534795042898,234.0,,,,0.0
6,0.2508037597975359,0.009155222638368706,22.0,2403.0,247.0,0.0,0.25,0.25,0.2916666666666667,0.3333333333333333,0.3458333333333334,0.5833333333333334,0.4016203703703704,1.0,0.012145748987854251,0.1095890410958904,240.0,,,,0.0
7,0.2509177993868179,0.01090146750524109,26.0,2385.0,247.0,0.0,0.5833333333333334,0.5833333333333334,0.6527777777777778,0.75,0.673611111111111,0.8333333333333334,0.6979166666666666,1.0,0.02834008097165992,0.1102974828375286,241.0,,,,0.0
8,0.2510976310468396,0.01709045435598166,41.0,2399.0,247.0,0.0,0.5882352941176471,0.5882352941176471,0.6372549019607843,0.7058823529411765,0.6666666666666666,0.8235294117647058,0.6889589169000934,1.0,0.04048582995951417,0.10960820895522388,235.0,,,,0.0
9,0.25116780925562854,0.00667779632721202,16.0,2396.0,247.0,0.0,0.5,0.5,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6279761904761905,1.0,0.012145748987854251,0.10980036297640654,242.0,,,,0.0
10,0.25131693794930504,0.014102032351721278,34.0,2411.0,247.0,0.0,0.375,0.375,0.5104166666666666,0.6875,0.5541666666666667,0.875,0.5697916666666667,1.0,0.024291497975708502,0.10943223443223443,239.0,2.4326923076923075,0.21789689042388535,0.004444182934919713,0.0
11,0.2514353636766364,0.011194029850746268,27.0,2412.0,247.0,0.0,0.3125,0.3125,0.38541666666666663,0.5,0.42916666666666664,0.6875,0.4721974206349206,1.0,0.020242914979757085,0.110269758637009,233.0,,,,0.0
12,0.25152308643762256,0.008340283569641367,20.0,2398.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.6,0.5211111111111111,0.9333333333333333,0.5294444444444444,1.0,0.020242914979757085,0.11227402473834443,236.0,,,,0.0
13,0.25163273988885526,0.010369141435089175,25.0,2411.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.4222222222222222,0.5333333333333333,0.43555555555555553,0.6,0.48137566137566135,1.0,0.020242914979757085,0.1099624060150376,234.0,,,,0.0
14,0.25167221513129906,0.003737541528239203,9.0,2408.0,247.0,0.0,0.0,0.0,0.25,0.5,0.3375,0.875,0.3583333333333333,1.0,0.0,0.1091077207582062,236.0,,,,0.0
15,0.25181257154887693,0.013422818791946308,32.0,2384.0,247.0,0.0,0.47058823529411764,0.47058823529411764,0.5196078431372548,0.5882352941176471,0.546078431372549,0.7058823529411765,0.5863445378151261,1.0,0.032388663967611336,0.11163447951012719,237.0,,,,0.0
16,0.2518959081718138,0.007959782153330541,19.0,2387.0,247.0,0.0,0.3,0.3,0.4666666666666666,0.7,0.5116666666666667,0.9,0.5259523809523811,1.0,0.012145748987854251,0.11013011152416356,237.0,,,,0.0
17,0.2519748586567014,0.007465781833264205,18.0,2411.0,247.0,0.0,0.4,0.4,0.4833333333333333,0.6,0.5033333333333333,0.7,0.5411111111111111,1.0,0.016194331983805668,0.1083676268861454,237.0,,,,0.0
18,0.25208012596988477,0.010012515644555695,24.0,2397.0,247.0,0.0,0.25,0.25,0.2916666666666667,0.3333333333333333,0.3333333333333333,0.5,0.39490740740740743,1.0,0.012145748987854251,0.11095764272559852,241.0,,,,0.0
19,0.2521590764547723,0.007640067911714771,18.0,2356.0,247.0,0.0,0.1,0.1,0.25,0.4,0.33999999999999997,0.8,0.3642857142857142,1.0,0.004048582995951417,0.10941121928604543,236.0,,,,0.0
20,0.25224679921575854,0.008406893652795292,20.0,2379.0,247.0,0.0,0.25,0.25,0.4305555555555555,0.6666666666666666,0.4472222222222222,0.75,0.47764550264550265,1.0,0.012145748987854251,0.1101813110181311,237.0,2.560344827586207,0.21740556335100614,0.005327990487595883,0.0
21,0.25235645266699125,0.010412328196584756,25.0,2401.0,247.0,0.0,0.26666666666666666,0.26666666666666666,0.4111111111111111,0.6,0.44111111111111106,0.7333333333333333,0.47018518518518515,1.0,0.016194331983805668,0.1128034269395526,237.0,,,,0.0
22,0.2524573338421253,0.0096964586846543,23.0,2372.0,247.0,0.0,0.15384615384615385,0.15384615384615385,0.3333333333333333,0.5384615384615384,0.3871794871794872,0.7692307692307693,0.4173992673992674,1.0,0.008097165991902834,0.11247058823529411,239.0,,,,0.0
23,0.25254505660311155,0.008336807002917883,20.0,2399.0,247.0,0.0,0.2,0.2,0.3888888888888889,0.6,0.41888888888888887,0.7333333333333333,0.4551851851851852,1.0,0.012145748987854251,0.11241768579492004,239.0,,,,0.0
24,0.2526810268826401,0.01284175642087821,31.0,2414.0,247.0,0.0,0.38461538461538464,0.38461538461538464,0.5256410256410257,0.6923076923076923,0.5256410256410257,0.6923076923076923,0.5726495726495726,1.0,0.020242914979757085,0.1095636025998143,236.0,,,,0.0
25,0.2527248882631332,0.004120313143798929,10.0,2427.0,247.0,0.0,0.2857142857142857,0.2857142857142857,0.47619047619047616,0.7142857142857143,0.5119047619047619,0.8571428571428571,0.5277777777777778,1.0,0.008097165991902834,0.10776255707762557,236.0,,,,0.0
26,0.252878403094859,0.014397367338543809,35.0,2431.0,247.0,0.0,0.5294117647058824,0.5294117647058824,0.6372549019607843,0.7647058823529411,0.6519607843137254,0.8235294117647058,0.6746498599439775,1.0,0.03643724696356275,0.10797034291010195,233.0,,,,0.0
27,0.25300560109828896,0.012078300708038317,29.0,2401.0,247.0,0.0,0.35294117647058826,0.35294117647058826,0.46078431372549017,0.5882352941176471,0.5284313725490196,0.8823529411764706,0.5480392156862745,1.0,0.024291497975708502,0.11063627730294397,233.0,,,,0.0
