round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25001864108670957,0.0020781379883624274,5.0,2406.0,247.0,0.0,0.4,0.4,0.5,0.6,0.5,0.6,0.5555555555555556,1.0,0.008097165991902834,0.1084926634059582,244.0,2.770642201834862,0.2197569891373535,0.005586375770342284,0.0
1,0.25005373019110405,0.0033333333333333335,8.0,2400.0,247.0,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.4571428571428572,0.7142857142857143,0.49342403628117915,1.0,0.008097165991902834,0.10792951541850221,245.0,,,,0.0
2,0.25011074998574506,0.005459890802183957,13.0,2381.0,247.0,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5833333333333334,0.6666666666666666,0.6314814814814816,1.0,0.020242914979757085,0.11141304347826086,246.0,,,,0.0
3,0.25014583909013954,0.00336417157275021,8.0,2378.0,247.0,0.0,0.5,0.5,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6944444444444445,1.0,0.012145748987854251,0.10865644724977457,241.0,,,,0.0
4,0.2501897004706326,0.004161464835622139,10.0,2403.0,247.0,0.0,0.42857142857142855,0.42857142857142855,0.47619047619047616,0.5714285714285714,0.5047619047619047,0.7142857142857143,0.534920634920635,1.0,0.012145748987854251,0.10741233910341766,242.0,,,,0.0
5,0.2502467202652736,0.005383022774327122,13.0,2415.0,247.0,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.4111111111111111,0.8888888888888888,0.42698412698412697,1.0,0.008097165991902834,0.10918774966711052,246.0,,,,0.0
6,0.2503168984740626,0.006663890045814244,16.0,2401.0,247.0,0.0,0.2727272727272727,0.2727272727272727,0.42424242424242425,0.6363636363636364,0.42424242424242425,0.6363636363636364,0.4810606060606061,1.0,0.012145748987854251,0.11054813450023031,240.0,,,,0.0
7,0.2503958489589501,0.007434944237918215,18.0,2421.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.40277777777777773,0.5,0.4361111111111111,0.6666666666666666,0.48412698412698413,1.0,0.016194331983805668,0.10824053452115813,243.0,,,,0.0
8,0.25044409647749255,0.004506349856616141,11.0,2441.0,247.0,0.0,0.0,0.0,0.10416666666666666,0.25,0.21666666666666665,0.75,0.24618055555555554,1.0,0.0,0.10605391073795846,240.0,,,,0.0
9,0.25049673013408424,0.005016722408026756,12.0,2392.0,247.0,0.0,0.25,0.25,0.41666666666666663,0.625,0.44791666666666663,0.75,0.4756944444444444,1.0,0.008097165991902834,0.11080711354309165,243.0,,,,0.0
10,0.2505449776526266,0.004629629629629629,11.0,2376.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5,0.4583333333333333,0.6666666666666666,0.4935185185185185,1.0,0.008097165991902834,0.11101042138649751,245.0,2.797979797979798,0.2196136763509602,0.004661605780762247,0.0
11,0.2506151558614156,0.006650041562759767,16.0,2406.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.5185185185185185,0.7777777777777778,0.5407407407407407,0.8888888888888888,0.5566137566137566,1.0,0.012145748987854251,0.11025408348457351,243.0,,,,0.0
12,0.2506590172419087,0.004156275976724855,10.0,2406.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.42592592592592593,0.5555555555555556,0.4759259259259259,0.7777777777777778,0.5055555555555555,1.0,0.012145748987854251,0.10928476232785429,246.0,,,,0.0
13,0.2507116508985004,0.005067567567567568,12.0,2368.0,247.0,0.0,0.3,0.3,0.3833333333333333,0.5,0.42833333333333334,0.7,0.46761904761904755,1.0,0.012145748987854251,0.11182108626198083,245.0,,,,0.0
14,0.25075112614094414,0.003770423125261835,9.0,2387.0,247.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.465,1.0,0.008097165991902834,0.1085972850678733,240.0,,,,0.0
