round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25003179950085747,0.0033444816053511705,8.0,2392.0,247.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.17777777777777778,0.6666666666666666,0.2201058201058201,1.0,0.0,0.1136890951276102,196.0,2.8444444444444446,0.2186525297241607,0.004797233428174771,0.0
1,0.25006688860525195,0.0033333333333333335,8.0,2400.0,247.0,0.0,0.2857142857142857,0.2857142857142857,0.4047619047619047,0.5714285714285714,0.4333333333333333,0.7142857142857143,0.48095238095238096,1.0,0.008097165991902834,0.12073027090694935,205.0,,,,0.0
2,0.2500932054335478,0.002497918401332223,6.0,2402.0,247.0,0.0,0.0,0.0,0.05555555555555555,0.16666666666666666,0.09722222222222221,0.3333333333333333,0.18187830687830686,1.0,0.0,0.12144102266124346,209.0,,,,0.0
3,0.2501195222618437,0.0025188916876574307,6.0,2382.0,247.0,0.0,0.0,0.0,0.0,0.0,0.075,0.3333333333333333,0.16177248677248676,1.0,0.0,0.12140391254315305,211.0,,,,0.0
4,0.2501370668140409,0.0016652789342214821,4.0,2402.0,247.0,0.0,0.0,0.0,0.0,0.0,0.05,0.25,0.14444444444444443,1.0,0.0,0.11402073104200763,209.0,,,,0.0
5,0.2501502252281888,0.0012340600575894694,3.0,2431.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13425925925925924,1.0,0.0,0.10853131749460043,201.0,,,,0.0
6,0.2501546113662381,0.0004201680672268908,1.0,2380.0,247.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.11738891936368623,214.0,,,,0.0
7,0.25018092819453397,0.0024834437086092716,6.0,2416.0,247.0,0.0,0.16666666666666666,0.16666666666666666,0.3055555555555555,0.5,0.34722222222222215,0.6666666666666666,0.3847222222222222,1.0,0.004048582995951417,0.11601915912719532,218.0,,,,0.0
8,0.2501940866086819,0.0012733446519524619,3.0,2356.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4142857142857143,1.0,0.004048582995951417,0.11913954771097628,216.0,,,,0.0
9,0.25021163116087913,0.001658374792703151,4.0,2412.0,247.0,0.0,0.0,0.0,0.25,0.5,0.3,0.75,0.33125,1.0,0.0,0.11742006615214995,213.0,,,,0.0
