round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2501326806759916,0.01287375415282392,31.0,2408.0,247.0,0.0,0.5333333333333333,0.5333333333333333,0.6777777777777777,0.8666666666666667,0.6777777777777777,0.8666666666666667,0.6927777777777777,1.0,0.032388663967611336,0.10969503868912153,241.0,2.480769230769231,0.21866170920967454,0.006917940157627251,0.0
1,0.25025987867942157,0.012008281573498964,29.0,2415.0,247.0,0.0,0.5625,0.5625,0.6458333333333333,0.75,0.6739583333333333,0.875,0.6898313492063493,1.0,0.03643724696356275,0.10719193770041227,234.0,,,,0.0
2,0.25040023509699944,0.013206768468840282,32.0,2423.0,247.0,0.0,0.35,0.35,0.3833333333333333,0.45,0.4408333333333333,0.7,0.47444444444444434,1.0,0.02834008097165992,0.10991075622357914,234.0,,,,0.0
3,0.25045725489164045,0.005501481168006771,13.0,2363.0,247.0,0.0,0.3,0.3,0.35,0.4,0.375,0.5,0.4462301587301587,1.0,0.012145748987854251,0.11321648507816201,239.0,,,,0.0
4,0.25054936379067594,0.008860759493670886,21.0,2370.0,247.0,0.0,0.5384615384615384,0.5384615384615384,0.6153846153846153,0.7692307692307693,0.6307692307692307,0.8461538461538461,0.6503052503052503,1.0,0.02834008097165992,0.11049468331021729,239.0,,,,0.0
5,0.2507248093126483,0.016849199663016005,40.0,2374.0,247.0,0.0,0.25,0.25,0.4583333333333333,0.75,0.4958333333333333,0.9,0.5097222222222222,1.0,0.020242914979757085,0.11284969179706021,238.0,,,,0.0
6,0.25085200731607826,0.012159329140461216,29.0,2385.0,247.0,0.0,0.3,0.3,0.41666666666666663,0.6,0.4291666666666667,0.65,0.47136904761904763,1.0,0.024291497975708502,0.11356013416387159,237.0,,,,0.0
7,0.2510099082858534,0.01486374896779521,36.0,2422.0,247.0,0.0,0.3125,0.3125,0.4375,0.625,0.48125,0.8125,0.5068452380952381,1.0,0.020242914979757085,0.1085634066448292,232.0,,,,0.0
8,0.2511195617370861,0.010403662089055347,25.0,2403.0,247.0,0.0,0.4444444444444444,0.4444444444444444,0.5,0.5555555555555556,0.55,0.7777777777777778,0.5843915343915344,1.0,0.016194331983805668,0.11100959342165373,243.0,,,,0.0
9,0.25124237360246676,0.011594202898550725,28.0,2415.0,247.0,0.0,0.35714285714285715,0.35714285714285715,0.5476190476190476,0.7857142857142857,0.5619047619047619,0.8571428571428571,0.5857142857142856,1.0,0.020242914979757085,0.11194731890874883,238.0,,,,0.0
10,0.25137395774394605,0.012647554806070826,30.0,2372.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.5222222222222223,0.7333333333333333,0.5555555555555555,0.8666666666666667,0.5734126984126984,1.0,0.020242914979757085,0.11008751727314602,239.0,2.4220183486238533,0.21803166180555988,0.0062575927221724115,0.0
11,0.25159326464641146,0.02097315436241611,50.0,2384.0,247.0,0.0,0.3684210526315789,0.3684210526315789,0.5263157894736842,0.7368421052631579,0.5631578947368422,0.8947368421052632,0.5736842105263158,1.0,0.02834008097165992,0.11278561011181332,232.0,,,,0.0
12,0.2516941458215456,0.009599332220367279,23.0,2396.0,247.0,0.0,0.36363636363636365,0.36363636363636365,0.4393939393939394,0.5454545454545454,0.4848484848484848,0.7272727272727273,0.5204545454545454,1.0,0.016194331983805668,0.10927456382001836,238.0,,,,0.0
13,0.2518081854108276,0.010819808572617561,26.0,2403.0,247.0,0.0,0.46153846153846156,0.46153846153846156,0.5128205128205128,0.6153846153846154,0.532051282051282,0.6923076923076923,0.5699633699633699,1.0,0.024291497975708502,0.10957642725598526,238.0,,,,0.0
14,0.2519178388620603,0.010447137484329294,25.0,2393.0,247.0,0.0,0.42857142857142855,0.42857142857142855,0.4880952380952381,0.5714285714285714,0.5059523809523809,0.6428571428571429,0.5520691609977324,1.0,0.024291497975708502,0.11023255813953488,237.0,,,,0.0
