round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25010636384769575,0.010382059800664452,25.0,2408.0,247.0,0.0,0.23529411764705882,0.23529411764705882,0.38235294117647056,0.5882352941176471,0.438235294117647,0.8235294117647058,0.46092436974789913,1.0,0.016194331983805668,0.1172962226640159,177.0,2.6504065040650406,0.2186800873304905,0.00689425920061453,0.0
1,0.2502335618511257,0.012008281573498964,29.0,2415.0,247.0,0.0,0.4444444444444444,0.4444444444444444,0.537037037037037,0.6666666666666666,0.5787037037037037,0.8333333333333334,0.5973765432098765,1.0,0.032388663967611336,0.11081262592343855,165.0,,,,0.0
2,0.25034760144040774,0.010730499380932727,26.0,2423.0,247.0,0.0,0.15789473684210525,0.15789473684210525,0.22807017543859648,0.3684210526315789,0.3096491228070175,0.7368421052631579,0.34933166248955727,1.0,0.012145748987854251,0.11261872455902307,166.0,,,,0.0
3,0.2503958489589501,0.004655099449851883,11.0,2363.0,247.0,0.0,0.2,0.2,0.31666666666666665,0.5,0.36166666666666664,0.7,0.4002380952380952,1.0,0.008097165991902834,0.11721366376423309,175.0,,,,0.0
4,0.2504835717199363,0.008438818565400843,20.0,2370.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.75,0.5416666666666666,0.9166666666666666,0.5555555555555555,1.0,0.016194331983805668,0.10956175298804781,165.0,,,,0.0
5,0.25064585882776075,0.015585509688289806,37.0,2374.0,247.0,0.0,0.2,0.2,0.3333333333333333,0.55,0.3933333333333333,0.8,0.41638888888888886,1.0,0.016194331983805668,0.11064425770308123,158.0,,,,0.0
6,0.2507730568311907,0.012164429530201342,29.0,2384.0,247.0,0.0,0.18181818181818182,0.18181818181818182,0.25757575757575757,0.36363636363636365,0.3325757575757576,0.6818181818181818,0.3703823953823953,1.0,0.016194331983805668,0.11541119557705598,167.0,,,,0.0
7,0.2509177993868179,0.013625103220478944,33.0,2422.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.45555555555555555,0.6666666666666666,0.5222222222222221,0.9333333333333333,0.5288888888888889,1.0,0.020242914979757085,0.10849056603773585,161.0,,,,0.0
8,0.25098359145755755,0.006242197253433208,15.0,2403.0,247.0,0.0,0.25,0.25,0.35416666666666663,0.5,0.38541666666666663,0.625,0.44494047619047616,1.0,0.008097165991902834,0.11530944625407166,177.0,,,,0.0
9,0.2511064033229382,0.011594202898550725,28.0,2415.0,247.0,0.0,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.5714285714285714,0.33571428571428574,0.7857142857142857,0.3657596371882086,1.0,0.004048582995951417,0.10757780784844384,159.0,,,,0.0
