round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25001960492850345,0.0009448643841707425,17.0,17992.0,1924.0,0.0,0.4375,0.4375,0.5520833333333333,0.75,0.5802083333333333,0.875,0.5942708333333333,1.0,0.0036382536382536385,0.1125803930997175,1873.0,2.56,0.07351855307499013,0.00019216452364798482,0.0
1,0.25003482069390914,0.0007187880128276014,13.0,18086.0,1924.0,0.0,0.46153846153846156,0.46153846153846156,0.5,0.5384615384615384,0.5153846153846154,0.6153846153846154,0.5599206349206349,1.0,0.0031185031185031187,0.1121237558460247,1870.0,,,,0.0
2,0.25005940000725674,0.0011638217690090888,21.0,18044.0,1924.0,0.0,0.4444444444444444,0.4444444444444444,0.5185185185185185,0.6111111111111112,0.5712962962962963,0.8333333333333334,0.5909611992945325,1.0,0.004158004158004158,0.11195593605939053,1870.0,,,,0.0
3,0.2500851497640971,0.0012153353220638603,22.0,18102.0,1924.0,0.0,0.3181818181818182,0.3181818181818182,0.45454545454545453,0.6363636363636364,0.4818181818181818,0.7727272727272727,0.5137445887445886,1.0,0.0036382536382536385,0.11228217258518475,1875.0,,,,0.0
4,0.2500980246425173,0.0006087100879862764,11.0,18071.0,1924.0,0.0,0.6,0.6,0.65,0.7,0.65,0.7,0.6944444444444444,1.0,0.0031185031185031187,0.11281070745697896,1888.0,,,,0.0
5,0.250113240407923,0.0007179940351264774,13.0,18106.0,1924.0,0.0,0.45454545454545453,0.45454545454545453,0.6363636363636364,0.8181818181818182,0.6545454545454545,0.9090909090909091,0.6675324675324675,1.0,0.002598752598752599,0.11198148477835143,1887.0,,,,0.0
6,0.25012260395586494,0.0004377325454147516,8.0,18276.0,1924.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2714285714285714,0.7142857142857143,0.30158730158730157,1.0,0.0005197505197505198,0.11107199436718887,1893.0,,,,0.0
7,0.25013196750380684,0.0004400924194080757,8.0,18178.0,1924.0,0.0,0.25,0.25,0.41666666666666663,0.625,0.47916666666666663,0.875,0.4970238095238095,1.0,0.0010395010395010396,0.11165932452276064,1901.0,,,,0.0
8,0.25014718326921254,0.0007110041566396849,13.0,18284.0,1924.0,0.0,0.3,0.3,0.3833333333333333,0.5,0.4333333333333333,0.7,0.4766666666666667,1.0,0.0015592515592515593,0.11093585699263933,1899.0,,,,0.0
9,0.2501518650431835,0.00022139812918580838,4.0,18067.0,1924.0,0.0,0.75,0.75,0.8333333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,0.0015592515592515593,0.11202024958794443,1903.0,,,,0.0
10,0.2501647399216037,0.0006073321554770318,11.0,18112.0,1924.0,0.0,0.375,0.375,0.4375,0.5,0.4375,0.5,0.5074404761904763,1.0,0.0015592515592515593,0.11148174157303371,1905.0,2.8550724637681157,0.07343370581939854,0.00019216452364798482,0.0
11,0.2501787852435166,0.0006646358349487677,12.0,18055.0,1924.0,0.0,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.757828282828283,1.0,0.004158004158004158,0.11210100890908019,1900.0,,,,0.0
12,0.25018814879145856,0.0004437787762800244,8.0,18027.0,1924.0,0.0,0.125,0.125,0.1875,0.25,0.24375,0.5,0.30223214285714284,1.0,0.0005197505197505198,0.11309099548586363,1904.0,,,,0.0
13,0.250204535000357,0.0007702041040875832,14.0,18177.0,1924.0,0.0,0.5384615384615384,0.5384615384615384,0.6025641025641025,0.6923076923076923,0.6333333333333334,0.8461538461538461,0.6538461538461539,1.0,0.0036382536382536385,0.11119555685472084,1902.0,,,,0.0
14,0.25021975076576264,0.000718152690310463,13.0,18102.0,1924.0,0.0,0.5,0.5,0.5625,0.625,0.5625,0.625,0.6150793650793651,1.0,0.002079002079002079,0.111896765069825,1899.0,,,,0.0
15,0.2502256029832264,0.0002756035718222908,5.0,18142.0,1924.0,0.0,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.0010395010395010396,0.11171118285882008,1903.0,,,,0.0
16,0.25023028475719733,0.00022142264046498756,4.0,18065.0,1924.0,0.0,0.5,0.5,0.625,0.75,0.625,0.75,0.6666666666666667,1.0,0.0010395010395010396,0.11200848906443436,1900.0,,,,0.0
17,0.2502419891921248,0.0005515719801434088,10.0,18130.0,1924.0,0.0,0.6666666666666666,0.6666666666666666,0.7037037037037037,0.7777777777777778,0.7037037037037037,0.7777777777777778,0.7271604938271605,1.0,0.0031185031185031187,0.11186380772855796,1899.0,,,,0.0
