round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25000907093706876,0.00044464206313917296,8.0,17992.0,1924.0,0.0,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.42857142857142855,0.4142857142857143,0.7142857142857143,0.44642857142857145,1.0,0.0010395010395010396,0.112039051932012,1905.0,2.6052631578947367,0.07351878361956844,0.00019216452364798482,0.0
1,0.250017264041518,0.0003870396992148623,7.0,18086.0,1924.0,0.0,0.2,0.2,0.4666666666666666,0.8,0.5166666666666666,1.0,0.5166666666666666,1.0,0.0005197505197505198,0.11149600751526538,1899.0,,,,0.0
2,0.2500359911374019,0.000886770492711855,16.0,18043.0,1924.0,0.0,0.16666666666666666,0.16666666666666666,0.2777777777777778,0.4166666666666667,0.31111111111111117,0.5833333333333334,0.37245370370370373,1.0,0.0010395010395010396,0.11173642865517645,1906.0,,,,0.0
3,0.2500500364593148,0.0006629101756711965,12.0,18102.0,1924.0,0.0,0.1111111111111111,0.1111111111111111,0.25925925925925924,0.4444444444444444,0.3648148148148148,0.8888888888888888,0.3787037037037037,1.0,0.0005197505197505198,0.11206339888464925,1909.0,,,,0.0
4,0.25005940000725674,0.000442698245808201,8.0,18071.0,1924.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.3178571428571429,1.0,0.0005197505197505198,0.1119131455399061,1907.0,,,,0.0
5,0.25006759311170595,0.0003866121727604109,7.0,18106.0,1924.0,0.0,0.4,0.4,0.5666666666666667,0.8,0.5666666666666667,0.8,0.5866666666666667,1.0,0.0010395010395010396,0.11135154102579098,1904.0,,,,0.0
6,0.2500734453291697,0.00027359781121751026,5.0,18275.0,1924.0,0.0,0.0,0.0,0.2222222222222222,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.25555555555555554,1.0,0.0,0.11040954642877832,1906.0,,,,0.0
7,0.2500839793206044,0.0004951039718340852,9.0,18178.0,1924.0,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.4928571428571429,0.8571428571428571,0.5166666666666667,1.0,0.0010395010395010396,0.11098824351065067,1907.0,,,,0.0
8,0.25009919508601003,0.0007110430454520593,13.0,18283.0,1924.0,0.0,0.1111111111111111,0.1111111111111111,0.14814814814814814,0.2222222222222222,0.28148148148148144,0.7777777777777778,0.3132275132275132,1.0,0.0005197505197505198,0.11075637081325826,1908.0,,,,0.0
9,0.2501062177469665,0.0003320971937787126,6.0,18067.0,1924.0,0.0,0.3333333333333333,0.3333333333333333,0.38888888888888884,0.5,0.4305555555555555,0.6666666666666666,0.46759259259259256,1.0,0.0010395010395010396,0.11185211185211186,1912.0,,,,0.0
10,0.2501167517384012,0.0004969355640218651,9.0,18111.0,1924.0,0.0,0.6,0.6,0.6666666666666666,0.8,0.7066666666666667,1.0,0.7066666666666667,1.0,0.0015592515592515593,0.11157097056251822,1914.0,2.73972602739726,0.07344981116992168,0.00019216452364798482,0.0
11,0.25012611528634315,0.00044309055663251177,8.0,18055.0,1924.0,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6666666666666667,1.0,0.0015592515592515593,0.1116186460529398,1906.0,,,,0.0
12,0.25012962661682137,0.00016642627316098969,3.0,18026.0,1924.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3,1.0,0.3,1.0,0.0,0.11257809737121302,1910.0,,,,0.0
13,0.2501413310517488,0.000550145788633988,10.0,18177.0,1924.0,0.0,0.2,0.2,0.3,0.4,0.35,0.6,0.41666666666666663,1.0,0.0005197505197505198,0.11078123180812667,1903.0,,,,0.0
14,0.25015888770413997,0.0008286834981492735,15.0,18101.0,1924.0,0.0,0.25,0.25,0.4375,0.75,0.4625,0.875,0.478125,1.0,0.0010395010395010396,0.11182783088019703,1907.0,,,,0.0
15,0.25016356947811097,0.00022048285745783266,4.0,18142.0,1924.0,0.0,0.25,0.25,0.25,0.25,0.3,0.5,0.35000000000000003,1.0,0.0005197505197505198,0.11112406716417911,1906.0,,,,0.0
16,0.2501705921390674,0.00033213396069748134,6.0,18065.0,1924.0,0.0,0.0,0.0,0.2,0.6,0.2899999999999999,1.0,0.2899999999999999,1.0,0.0,0.11149458906112898,1906.0,,,,0.0
17,0.2501869783479658,0.0007722007722007722,14.0,18130.0,1924.0,0.0,0.3333333333333333,0.3333333333333333,0.5185185185185185,0.7777777777777778,0.5185185185185185,0.7777777777777778,0.54320987654321,1.0,0.0015592515592515593,0.11131898971000935,1904.0,,,,0.0
18,0.25019283056542957,0.0002752546105147261,5.0,18165.0,1924.0,0.0,0.0,0.0,0.13333333333333333,0.4,0.13333333333333333,0.4,0.20055555555555554,1.0,0.0,0.11129239016431651,1910.0,,,,0.0
19,0.25020102366987873,0.0003842775581906017,7.0,18216.0,1924.0,0.0,0.25,0.25,0.4583333333333333,0.75,0.4583333333333333,0.75,0.494047619047619,1.0,0.0005197505197505198,0.1103136937145503,1906.0,,,,0.0
20,0.2502103872178207,0.0004444197544580857,8.0,18001.0,1924.0,0.0,0.0,0.0,0.047619047619047616,0.14285714285714285,0.1476190476190476,0.5714285714285714,0.2111111111111111,1.0,0.0,0.11224669603524229,1911.0,2.6619718309859155,0.07338876594250678,0.0001957519331283338,0.0
21,0.25021740987877716,0.0003285690816494168,6.0,18261.0,1924.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4365079365079365,1.0,0.0010395010395010396,0.11113048532403372,1912.0,,,,0.0
22,0.25023028475719733,0.0006060939996694033,11.0,18149.0,1924.0,0.0,0.16666666666666666,0.16666666666666666,0.3888888888888889,0.6666666666666666,0.4222222222222223,0.8333333333333334,0.446031746031746,1.0,0.0005197505197505198,0.1116567286332281,1910.0,,,,0.0
23,0.250240818748632,0.0004980630879911456,9.0,18070.0,1924.0,0.0,0.2857142857142857,0.2857142857142857,0.38095238095238093,0.5714285714285714,0.38095238095238093,0.5714285714285714,0.4394557823129252,1.0,0.0010395010395010396,0.11206390226712087,1908.0,,,,0.0
24,0.2502513527400667,0.000495567424701283,9.0,18161.0,1924.0,0.0,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.375,0.8333333333333334,0.39166666666666666,1.0,0.0005197505197505198,0.11102670484427044,1900.0,,,,0.0
25,0.2502665685054724,0.00072447614801605,13.0,17944.0,1924.0,0.0,0.42857142857142855,0.42857142857142855,0.6428571428571429,0.8571428571428571,0.6714285714285715,1.0,0.6714285714285715,1.0,0.0015592515592515593,0.11269017572826984,1911.0,,,,0.0
26,0.25027593205341436,0.0004433606739082243,8.0,18044.0,1924.0,0.0,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.2785714285714286,0.5714285714285714,0.32460317460317467,1.0,0.0005197505197505198,0.11162572550858885,1904.0,,,,0.0
27,0.2502794433838926,0.000165371258475277,3.0,18141.0,1924.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5555555555555555,1.0,0.0005197505197505198,0.1111111111111111,1905.0,,,,0.0
28,0.2502817842708781,0.00010969723562966213,2.0,18232.0,1924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,1.0,0.0,0.11078295112346537,1913.0,,,,0.0
29,0.250295829592791,0.0006617038875103391,12.0,18135.0,1924.0,0.0,0.375,0.375,0.5208333333333333,0.75,0.5208333333333333,0.75,0.5572916666666666,1.0,0.0015592515592515593,0.11137717556360238,1907.0,,,,0.0
