C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/30  coverage=0.4000  prec@K=0.0014  accepted=25  loss=0.6987  (30.9s)
Round    2/30  coverage=0.4000  prec@K=0.0007  accepted=13  loss=0.6963  (23.4s)
Round    3/30  coverage=0.4001  prec@K=0.0006  accepted=10  loss=0.6916  (26.1s)
Round    4/30  coverage=0.4001  prec@K=0.0007  accepted=13  loss=0.6851  (31.4s)
Round    5/30  coverage=0.4001  prec@K=0.0004  accepted=8  loss=0.6767  (37.3s)
Round    6/30  coverage=0.4001  prec@K=0.0004  accepted=7  loss=0.6672  (41.8s)
Round    7/30  coverage=0.4001  prec@K=0.0004  accepted=7  loss=0.6587  (50.9s)
Round    8/30  coverage=0.4001  prec@K=0.0004  accepted=7  loss=0.6506  (51.9s)
Round    9/30  coverage=0.4001  prec@K=0.0003  accepted=6  loss=0.6414  (78.9s)
Round   10/30  coverage=0.4001  prec@K=0.0002  accepted=4  loss=0.6327  (55.2s)
Round   11/30  coverage=0.4001  prec@K=0.0006  accepted=11  loss=0.6226  (73.4s)
Round   12/30  coverage=0.4001  prec@K=0.0004  accepted=8  loss=0.6117  (66.1s)
Round   13/30  coverage=0.4001  prec@K=0.0003  accepted=5  loss=0.6002  (69.2s)
Round   14/30  coverage=0.4001  prec@K=0.0002  accepted=4  loss=0.5882  (104.0s)
Round   15/30  coverage=0.4002  prec@K=0.0002  accepted=3  loss=0.5751  (75.0s)
Round   16/30  coverage=0.4002  prec@K=0.0005  accepted=9  loss=0.5627  (78.1s)
Round   17/30  coverage=0.4002  prec@K=0.0004  accepted=8  loss=0.5509  (84.5s)
Round   18/30  coverage=0.4002  prec@K=0.0003  accepted=6  loss=0.5387  (85.7s)
Round   19/30  coverage=0.4002  prec@K=0.0002  accepted=3  loss=0.5282  (89.8s)
Round   20/30  coverage=0.4002  prec@K=0.0006  accepted=11  loss=0.5194  (92.9s)
Round   21/30  coverage=0.4002  prec@K=0.0007  accepted=13  loss=0.5093  (110.0s)
Round   22/30  coverage=0.4002  prec@K=0.0003  accepted=5  loss=0.5025  (127.5s)
Round   23/30  coverage=0.4002  prec@K=0.0003  accepted=5  loss=0.4957  (107.0s)
Round   24/30  coverage=0.4002  prec@K=0.0005  accepted=8  loss=0.4910  (105.9s)
Round   25/30  coverage=0.4002  prec@K=0.0004  accepted=8  loss=0.4857  (114.0s)
Round   26/30  coverage=0.4003  prec@K=0.0005  accepted=9  loss=0.4839  (116.7s)
Round   27/30  coverage=0.4003  prec@K=0.0005  accepted=9  loss=0.4801  (122.9s)
Round   28/30  coverage=0.4003  prec@K=0.0006  accepted=10  loss=0.4793  (126.4s)
Round   29/30  coverage=0.4003  prec@K=0.0004  accepted=8  loss=0.4787  (127.4s)
Round   30/30  coverage=0.4003  prec@K=0.0004  accepted=7  loss=0.4780  (135.9s)

结果已写入 results\online\algo_sweep_sx_superuser_v2_ir40_s0\sx_superuser_gnn_h32/rounds.csv
