round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25003482069390914,0.0016543509429800375,30.0,18134.0,1924.0,0.0,0.21739130434782608,0.21739130434782608,0.4710144927536232,0.782608695652174,0.4818840579710145,0.8260869565217391,0.5069875776397516,1.0,0.002598752598752599,0.10797964921676262,1613.0,3.0,0.07347466925527828,0.00019491533104770695,0.0
1,0.2500687635551987,0.0015978841809466085,29.0,18149.0,1924.0,0.0,0.13043478260869565,0.13043478260869565,0.2971014492753623,0.5217391304347826,0.32753623188405795,0.6521739130434783,0.3760179434092477,1.0,0.0015592515592515593,0.10877074161869285,1606.0,,,,0.0
2,0.25010504730347377,0.0017048891822031569,31.0,18183.0,1924.0,0.0,0.3076923076923077,0.3076923076923077,0.4423076923076923,0.6153846153846154,0.4769230769230769,0.7692307692307693,0.5074786324786325,1.0,0.004158004158004158,0.10701625309343857,1600.0,,,,0.0
3,0.2501436719387343,0.0018255241467057587,33.0,18077.0,1924.0,0.0,0.4230769230769231,0.4230769230769231,0.5256410256410257,0.6923076923076923,0.5621794871794872,0.8461538461538461,0.5822039072039071,1.0,0.005717255717255718,0.10948358086932825,1607.0,,,,0.0
4,0.25017176258256013,0.0013201320132013201,24.0,18180.0,1924.0,0.0,0.42857142857142855,0.42857142857142855,0.5238095238095238,0.6666666666666666,0.5547619047619047,0.8095238095238095,0.5790816326530612,1.0,0.004677754677754678,0.1096210301574593,1643.0,,,,0.0
5,0.2502080463308352,0.0017056396148555709,31.0,18175.0,1924.0,0.0,0.2857142857142857,0.2857142857142857,0.39880952380952384,0.5357142857142857,0.4488095238095238,0.75,0.4846938775510204,1.0,0.004158004158004158,0.10823211875843455,1604.0,,,,0.0
6,0.2502478414095885,0.0018576189695678304,34.0,18303.0,1924.0,0.0,0.375,0.375,0.4861111111111111,0.625,0.5236111111111111,0.7916666666666666,0.5517857142857143,1.0,0.004677754677754678,0.10802919708029197,1628.0,,,,0.0
7,0.25025954584451593,0.0005480953685941354,10.0,18245.0,1924.0,0.0,0.4,0.4,0.6333333333333333,0.9,0.6333333333333333,0.9,0.6476190476190476,1.0,0.002079002079002079,0.107543391188251,1611.0,,,,0.0
8,0.2502923182623128,0.0015338263489454943,28.0,18255.0,1924.0,0.0,0.3333333333333333,0.3333333333333333,0.5396825396825398,0.8095238095238095,0.5396825396825398,0.8095238095238095,0.5656084656084657,1.0,0.0036382536382536385,0.1083996579622443,1648.0,,,,0.0
9,0.2503379655585298,0.0021532685512367492,39.0,18112.0,1924.0,0.0,0.4090909090909091,0.4090909090909091,0.5075757575757576,0.6363636363636364,0.5371212121212121,0.7727272727272727,0.5680555555555555,1.0,0.004677754677754678,0.10880203794328619,1623.0,,,,0.0
