round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2500231162589817,0.0011168816663874462,20.0,17907.0,1924.0,0.0,0.5,0.5,0.611111111111111,0.75,0.6277777777777778,0.8333333333333334,0.6474537037037037,1.0,0.0031185031185031187,0.11203369434416366,1862.0,2.765432098765432,0.07364710720434908,0.0002051055239057805,0.0
1,0.2500523773463003,0.0013781697905181918,25.0,18140.0,1924.0,0.0,0.18181818181818182,0.18181818181818182,0.25757575757575757,0.36363636363636365,0.33712121212121215,0.7272727272727273,0.3770743145743145,1.0,0.002079002079002079,0.11152327390211798,1864.0,,,,0.0
2,0.25008163843361886,0.001361952495096971,25.0,18356.0,1924.0,0.0,0.3684210526315789,0.3684210526315789,0.4473684210526316,0.5789473684210527,0.4921052631578947,0.7894736842105263,0.5195697577276525,1.0,0.0036382536382536385,0.10985317530514771,1863.0,,,,0.0
3,0.25010387685998103,0.001046140292919282,19.0,18162.0,1924.0,0.0,0.21428571428571427,0.21428571428571427,0.3095238095238095,0.5,0.3559523809523809,0.7142857142857143,0.3958333333333333,1.0,0.0015592515592515593,0.11071534579994063,1865.0,,,,0.0
4,0.2501378197212706,0.0016022099447513811,29.0,18100.0,1924.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.7142857142857143,0.5190476190476191,0.8095238095238095,0.54421768707483,1.0,0.0036382536382536385,0.11171875,1859.0,,,,0.0
5,0.25014718326921254,0.0004381880922385934,8.0,18257.0,1924.0,0.0,0.2857142857142857,0.2857142857142857,0.5238095238095238,0.8571428571428571,0.5238095238095238,0.8571428571428571,0.5396825396825397,1.0,0.0010395010395010396,0.11113737075332349,1881.0,,,,0.0
6,0.2501682512520819,0.000988413596178134,18.0,18211.0,1924.0,0.0,0.2857142857142857,0.2857142857142857,0.44047619047619035,0.7142857142857143,0.4583333333333332,0.7857142857142857,0.48758503401360537,1.0,0.002079002079002079,0.11128311997618338,1869.0,,,,0.0
7,0.2501916601219368,0.0010995052226498076,20.0,18190.0,1924.0,0.0,0.3888888888888889,0.3888888888888889,0.45370370370370366,0.5555555555555556,0.49537037037037035,0.7222222222222222,0.5385802469135803,1.0,0.0036382536382536385,0.11020456426628829,1864.0,,,,0.0
8,0.2502115576613134,0.0009399535552360942,17.0,18086.0,1924.0,0.0,0.35294117647058826,0.35294117647058826,0.46078431372549017,0.5882352941176471,0.5196078431372549,0.8235294117647058,0.5436974789915967,1.0,0.0031185031185031187,0.11077951533962038,1856.0,,,,0.0
9,0.2502337960876756,0.0010454495433036206,19.0,18174.0,1924.0,0.0,0.23076923076923078,0.23076923076923078,0.43589743589743585,0.6923076923076923,0.4897435897435897,0.9230769230769231,0.5007326007326007,1.0,0.0015592515592515593,0.11109797197422101,1879.0,,,,0.0
10,0.25024901185308124,0.0007184305056645483,13.0,18095.0,1924.0,0.0,0.4166666666666667,0.4166666666666667,0.5,0.5833333333333334,0.5375,0.75,0.5756944444444445,1.0,0.002598752598752599,0.11103207066216136,1873.0,2.607594936708861,0.07358150488618564,0.0002051055239057805,0.0
11,0.2502700798359506,0.0009831767533318768,18.0,18308.0,1924.0,0.0,0.13333333333333333,0.13333333333333333,0.25555555555555554,0.4,0.31555555555555553,0.6666666666666666,0.3574603174603175,1.0,0.0010395010395010396,0.11096628947212513,1873.0,,,,0.0
12,0.250295829592791,0.0012189716312056738,22.0,18048.0,1924.0,0.0,0.4666666666666667,0.4666666666666667,0.6444444444444444,0.8666666666666667,0.6444444444444444,0.8666666666666667,0.6594444444444444,1.0,0.0036382536382536385,0.1118717348225545,1863.0,,,,0.0
13,0.25031572713216765,0.0009345280633280194,17.0,18191.0,1924.0,0.0,0.125,0.125,0.34375,0.625,0.359375,0.6875,0.3981646825396825,1.0,0.0010395010395010396,0.11141563393708294,1870.0,,,,0.0
14,0.250346158662979,0.0014325858174004077,26.0,18149.0,1924.0,0.0,0.2777777777777778,0.2777777777777778,0.4722222222222222,0.7222222222222222,0.4833333333333333,0.7777777777777778,0.5154100529100529,1.0,0.002598752598752599,0.11175695110258868,1865.0,,,,0.0
15,0.25036371531537016,0.000821827744904668,15.0,18252.0,1924.0,0.0,0.5,0.5,0.611111111111111,0.75,0.6319444444444444,0.8333333333333334,0.6597222222222222,1.0,0.0031185031185031187,0.10976187655491056,1853.0,,,,0.0
16,0.25037776063728306,0.000656203860666047,12.0,18287.0,1924.0,0.0,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.6888888888888889,0.8888888888888888,0.7074074074074075,1.0,0.002598752598752599,0.11027805655587697,1868.0,,,,0.0
17,0.25040936261158714,0.001492289835848118,27.0,18093.0,1924.0,0.0,0.42857142857142855,0.42857142857142855,0.47619047619047616,0.5714285714285714,0.5214285714285714,0.7619047619047619,0.5568594104308391,1.0,0.004677754677754678,0.11071386008818973,1858.0,,,,0.0
18,0.2504269192639783,0.0008223684210526315,15.0,18240.0,1924.0,0.0,0.25,0.25,0.4444444444444444,0.6666666666666666,0.4611111111111111,0.75,0.49583333333333335,1.0,0.0015592515592515593,0.11055575389741759,1858.0,,,,0.0
19,0.250442135029384,0.0007158590308370044,13.0,18160.0,1924.0,0.0,0.4,0.4,0.4833333333333333,0.6,0.5533333333333333,0.9,0.5644444444444444,1.0,0.002079002079002079,0.11076721623712875,1861.0,,,,0.0
20,0.2504632030122534,0.0009906439185470555,18.0,18170.0,1924.0,0.0,0.2,0.2,0.34444444444444444,0.5333333333333333,0.3777777777777778,0.6666666666666666,0.4168518518518518,1.0,0.0015592515592515593,0.1120705055677961,1882.0,2.723076923076923,0.07349002120190978,0.00020504544682555103,0.0
21,0.25048310055163003,0.0009295713035870516,17.0,18288.0,1924.0,0.0,0.4666666666666667,0.4666666666666667,0.5555555555555556,0.6666666666666666,0.5855555555555555,0.8,0.6145238095238096,1.0,0.0036382536382536385,0.1105250681521868,1865.0,,,,0.0
22,0.25050065720402115,0.000823271130625686,15.0,18220.0,1924.0,0.0,0.4166666666666667,0.4166666666666667,0.4861111111111111,0.5833333333333334,0.5236111111111111,0.75,0.55625,1.0,0.002598752598752599,0.11031670999763649,1867.0,,,,0.0
23,0.25051938429990506,0.0008819800452014773,16.0,18141.0,1924.0,0.0,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.5384615384615384,0.35769230769230764,0.7692307692307693,0.3824786324786324,1.0,0.0010395010395010396,0.11173484622275306,1871.0,,,,0.0
