round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25529226822517337,0.09072880515617253,549.0,6051.0,711.0,0.0,0.39215686274509803,0.39215686274509803,0.5114379084967321,0.6617647058823529,0.5418300653594771,0.7892156862745098,0.5688297541238717,1.0,0.11251758087201125,0.19956896551724138,463.0,2.1581632653061225,0.06723109415777515,0.02929458932459364,0.0
1,0.2613681296955318,0.1024556838510327,630.0,6149.0,711.0,0.0,0.4125,0.4125,0.5270833333333333,0.6875,0.5541666666666667,0.8041666666666667,0.5805092592592592,1.0,0.13924050632911392,0.19056099732858414,428.0,,,,0.0
2,0.2670389337345331,0.09330371310695018,588.0,6302.0,711.0,0.0,0.3389830508474576,0.3389830508474576,0.4759887005649717,0.6483050847457628,0.5147598870056497,0.8177966101694916,0.5388703927898844,1.0,0.11251758087201125,0.20618556701030927,440.0,,,,0.0
3,0.2733559008187947,0.10280960602731125,655.0,6371.0,711.0,0.0,0.31906614785992216,0.31906614785992216,0.4669260700389105,0.669260700389105,0.4924124513618677,0.7821011673151751,0.5210873324686555,1.0,0.11533052039381153,0.19736842105263158,390.0,,,,0.0
4,0.27971144480128074,0.10322681704260651,659.0,6384.0,711.0,0.0,0.2813688212927757,0.2813688212927757,0.39416983523447396,0.5437262357414449,0.44074778200253484,0.7452471482889734,0.4756261693524051,1.0,0.10407876230661041,0.1902725815072154,356.0,,,,0.0
5,0.28639489241867505,0.1079607415485278,693.0,6419.0,711.0,0.0,0.2616487455197133,0.2616487455197133,0.41935483870967744,0.6236559139784946,0.4487455197132616,0.7526881720430108,0.48227513227513225,1.0,0.10267229254571027,0.1948529411764706,371.0,,,,0.0
6,0.2922200040505743,0.09380338561888492,604.0,6439.0,711.0,0.0,0.2595419847328244,0.2595419847328244,0.3727735368956743,0.5190839694656488,0.4162849872773537,0.7099236641221374,0.4550330182963771,1.0,0.09563994374120956,0.19803600654664485,363.0,,,,0.0
7,0.29801618300880517,0.09222034678533067,601.0,6517.0,711.0,0.0,0.23308270676691728,0.23308270676691728,0.35526315789473684,0.5112781954887218,0.39229323308270675,0.6729323308270677,0.4360932092135099,1.0,0.08720112517580872,0.20256111757857975,348.0,,,,0.0
8,0.30365805437413806,0.09092322039166925,585.0,6434.0,711.0,0.0,0.2480916030534351,0.2480916030534351,0.36195928753180656,0.5190839694656488,0.39631043256997456,0.6717557251908397,0.4397325215073306,1.0,0.09142053445850915,0.19031719532554256,342.0,,,,0.0
9,0.30861518579598607,0.07970227942316638,514.0,6449.0,711.0,0.0,0.22440944881889763,0.22440944881889763,0.34317585301837267,0.5,0.38392388451443576,0.6771653543307087,0.4273793900762405,1.0,0.08016877637130802,0.19672131147540983,336.0,,,,0.0
