round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.252321847061887,0.036224259732451525,241.0,6653.0,711.0,0.0,0.21008403361344538,0.21008403361344538,0.3515406162464986,0.5546218487394958,0.3906162464985995,0.7226890756302521,0.4280678938241964,1.0,0.035161744022503515,0.16403162055335968,581.0,2.16,0.06770037842619063,0.013211403969133638,0.0
1,0.25420247085033126,0.028979045920642,195.0,6729.0,711.0,0.0,0.1650485436893204,0.1650485436893204,0.3284789644012944,0.5436893203883495,0.37313915857605184,0.7475728155339806,0.4073239328093698,1.0,0.02390998593530239,0.16288832913518053,582.0,,,,0.0
2,0.25588056592309694,0.026114362899594776,174.0,6663.0,711.0,0.0,0.26666666666666666,0.26666666666666666,0.4111111111111112,0.6,0.4333333333333334,0.7,0.47360670194003524,1.0,0.03375527426160337,0.15892758430071863,575.0,,,,0.0
3,0.2574911514239698,0.024981301421091996,167.0,6685.0,711.0,0.0,0.3068181818181818,0.3068181818181818,0.4242424242424242,0.5909090909090909,0.4526515151515152,0.7159090909090909,0.49184253246753246,1.0,0.0379746835443038,0.15808026030368763,583.0,,,,0.0
4,0.25953572702986816,0.03194214253427753,212.0,6637.0,711.0,0.0,0.27184466019417475,0.27184466019417475,0.3980582524271845,0.5728155339805825,0.42718446601941756,0.6990291262135923,0.4686700570195717,1.0,0.03938115330520394,0.1623229461756374,573.0,,,,0.0
5,0.26149350461476145,0.030371035308198683,203.0,6684.0,711.0,0.0,0.37209302325581395,0.37209302325581395,0.45542635658914726,0.5697674418604651,0.49612403100775193,0.7441860465116279,0.5319582871908454,1.0,0.0450070323488045,0.15814741598418525,560.0,,,,0.0
6,0.2632776861576445,0.027711204313960455,185.0,6676.0,711.0,0.0,0.25842696629213485,0.25842696629213485,0.42134831460674155,0.6067415730337079,0.45786516853932585,0.7640449438202247,0.4903424291064741,1.0,0.03234880450070324,0.1576502732240437,577.0,,,,0.0
7,0.2651968868443133,0.029723674383868557,199.0,6695.0,711.0,0.0,0.3068181818181818,0.3068181818181818,0.45454545454545453,0.6363636363636364,0.4931818181818181,0.8068181818181818,0.5185651154401154,1.0,0.0379746835443038,0.15571227080394923,552.0,,,,0.0
8,0.2668460492434106,0.025834718235382987,171.0,6619.0,711.0,0.0,0.2727272727272727,0.2727272727272727,0.40909090909090906,0.5844155844155844,0.44675324675324685,0.7532467532467533,0.47931869717584014,1.0,0.029535864978902954,0.1603988603988604,563.0,,,,0.0
9,0.26885204795108447,0.030865113518326163,208.0,6739.0,711.0,0.0,0.2916666666666667,0.2916666666666667,0.38715277777777773,0.5208333333333334,0.4309027777777777,0.7083333333333334,0.47092013888888884,1.0,0.03938115330520394,0.16449840994507084,569.0,,,,0.0
10,0.2704626334519573,0.025056264066016503,167.0,6665.0,711.0,0.0,0.23809523809523808,0.23809523809523808,0.3611111111111111,0.5119047619047619,0.4123015873015874,0.7380952380952381,0.4485213529856387,1.0,0.02812939521800281,0.16165831942125766,581.0,2.130081300813008,0.05979132919282261,0.019460132398719954,0.0
11,0.2722371707702842,0.02699530516431925,184.0,6816.0,711.0,0.0,0.1956521739130435,0.1956521739130435,0.3478260869565217,0.5434782608695652,0.3869565217391305,0.717391304347826,0.4214889579020014,1.0,0.02531645569620253,0.15530410183875532,549.0,,,,0.0
12,0.27391526584304987,0.026212714673094304,174.0,6638.0,711.0,0.0,0.2413793103448276,0.2413793103448276,0.3639846743295019,0.5287356321839081,0.403639846743295,0.7011494252873564,0.4459268381682176,1.0,0.029535864978902954,0.15908440629470672,556.0,,,,0.0
13,0.2752075919335706,0.019967218000298017,134.0,6711.0,711.0,0.0,0.3283582089552239,0.3283582089552239,0.41293532338308453,0.5074626865671642,0.4711442786069652,0.7611940298507462,0.5023098791755508,1.0,0.030942334739803096,0.15942430113479103,576.0,,,,0.0
14,0.2771653695184639,0.03008298755186722,203.0,6748.0,711.0,0.0,0.3764705882352941,0.3764705882352941,0.4588235294117647,0.5647058823529412,0.49647058823529416,0.7294117647058823,0.5342016806722688,1.0,0.0450070323488045,0.15492170022371365,554.0,,,,0.0
15,0.2785541378545458,0.0213713268032057,144.0,6738.0,711.0,0.0,0.2972972972972973,0.2972972972972973,0.39864864864864863,0.527027027027027,0.44459459459459455,0.7297297297297297,0.4805662805662806,1.0,0.030942334739803096,0.16656908665105385,569.0,,,,0.0
16,0.2799043292924032,0.02067030857817806,140.0,6773.0,711.0,0.0,0.22727272727272727,0.22727272727272727,0.3434343434343434,0.5,0.39570707070707073,0.7272727272727273,0.4316197691197691,1.0,0.02109704641350211,0.1552112676056338,551.0,,,,0.0
17,0.28100377089180145,0.016941596076683014,114.0,6729.0,711.0,0.0,0.2835820895522388,0.2835820895522388,0.41044776119402987,0.582089552238806,0.4582089552238806,0.7910447761194029,0.4853293058516939,1.0,0.026722925457102673,0.155788876276958,549.0,,,,0.0
18,0.28252755837166915,0.023497917906008327,158.0,6724.0,711.0,0.0,0.28205128205128205,0.28205128205128205,0.391025641025641,0.5384615384615384,0.4083333333333333,0.6153846153846154,0.4600783475783476,1.0,0.030942334739803096,0.15424460431654677,536.0,,,,0.0
19,0.28379095178852143,0.01962252846015578,131.0,6676.0,711.0,0.0,0.2857142857142857,0.2857142857142857,0.3862433862433862,0.5238095238095238,0.4171957671957672,0.6507936507936508,0.4663832199546485,1.0,0.02531645569620253,0.15298715801228363,548.0,,,,0.0
20,0.2850061240825931,0.018666666666666668,126.0,6750.0,711.0,0.0,0.18181818181818182,0.18181818181818182,0.29040404040404044,0.45454545454545453,0.3578282828282828,0.7424242424242424,0.39215367965367964,1.0,0.016877637130801686,0.1558589306029579,548.0,2.161290322580645,0.05397184881119055,0.02162047829515343,0.0
21,0.2863852481941189,0.021340098492762274,143.0,6701.0,711.0,0.0,0.2777777777777778,0.2777777777777778,0.449074074074074,0.6527777777777778,0.4775462962962964,0.7777777777777778,0.5054287918871252,1.0,0.02812939521800281,0.15893271461716937,548.0,,,,0.0
22,0.2878029492038693,0.021842496285289746,147.0,6730.0,711.0,0.0,0.22535211267605634,0.22535211267605634,0.3591549295774648,0.5352112676056338,0.39225352112676054,0.6901408450704225,0.43267382070198973,1.0,0.02250351617440225,0.15646853146853146,537.0,,,,0.0
23,0.2892688713364002,0.022608954335861967,152.0,6723.0,711.0,0.0,0.25,0.25,0.34490740740740744,0.4583333333333333,0.3872685185185185,0.6527777777777778,0.4324349647266314,1.0,0.02531645569620253,0.15357867284844973,530.0,,,,0.0
24,0.29069621657070666,0.0217679070451537,148.0,6799.0,711.0,0.0,0.24050632911392406,0.24050632911392406,0.3691983122362869,0.5443037974683544,0.3831223628691983,0.6075949367088608,0.43468957203134434,1.0,0.026722925457102673,0.15172413793103448,528.0,,,,0.0
25,0.29172814859821194,0.016124171187462327,107.0,6636.0,711.0,0.0,0.24561403508771928,0.24561403508771928,0.33040935672514615,0.43859649122807015,0.3830409356725147,0.6666666666666666,0.42689362294625455,1.0,0.01969057665260197,0.16374269005847952,560.0,,,,0.0
26,0.2933676667727531,0.025384500522622068,170.0,6697.0,711.0,0.0,0.2692307692307692,0.2692307692307692,0.37820512820512814,0.5256410256410257,0.4230769230769232,0.7307692307692307,0.45934065934065943,1.0,0.029535864978902954,0.1597804102860445,553.0,,,,0.0
27,0.294515329494932,0.01761136599082433,119.0,6757.0,711.0,0.0,0.1875,0.1875,0.34375,0.578125,0.37578125,0.71875,0.41218377976190473,1.0,0.016877637130801686,0.1569583931133429,547.0,,,,0.0
28,0.29588480938190165,0.02106199940670424,142.0,6742.0,711.0,0.0,0.30158730158730157,0.30158730158730157,0.3994708994708994,0.5396825396825397,0.42328042328042326,0.6507936507936508,0.46947593852355757,1.0,0.026722925457102673,0.15804515575878822,553.0,,,,0.0
