round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25214825101987676,0.033518713362392906,223.0,6653.0,711.0,0.0,0.1810344827586207,0.1810344827586207,0.29310344827586204,0.4482758620689655,0.35387931034482756,0.7155172413793104,0.3935105363984674,1.0,0.029535864978902954,0.1601123595505618,570.0,2.184,0.06782416555151118,0.013354257908915616,0.0
1,0.253951721011872,0.027794292508917955,187.0,6728.0,711.0,0.0,0.1958762886597938,0.1958762886597938,0.36597938144329895,0.5979381443298969,0.4030927835051546,0.7628865979381443,0.4355465553919162,1.0,0.026722925457102673,0.1647982062780269,588.0,,,,0.0
2,0.255494796940852,0.0240132072639952,160.0,6663.0,711.0,0.0,0.3068181818181818,0.3068181818181818,0.43371212121212116,0.625,0.4615530303030303,0.75,0.495283189033189,1.0,0.0379746835443038,0.15763274336283187,570.0,,,,0.0
3,0.2570185844207197,0.023638539796529023,158.0,6684.0,711.0,0.0,0.2840909090909091,0.2840909090909091,0.37121212121212116,0.5,0.3973484848484849,0.6136363636363636,0.44402507215007214,1.0,0.035161744022503515,0.16029292107404394,591.0,,,,0.0
4,0.2588124101881588,0.02802470995931897,186.0,6637.0,711.0,0.0,0.3368421052631579,0.3368421052631579,0.43859649122807015,0.5894736842105263,0.4817543859649123,0.7894736842105263,0.5089097744360903,1.0,0.0450070323488045,0.16245384833854018,572.0,,,,0.0
5,0.26054837060826125,0.026929982046678635,180.0,6684.0,711.0,0.0,0.3218390804597701,0.3218390804597701,0.44636015325670503,0.6091954022988506,0.4877394636015326,0.7931034482758621,0.5140302864440794,1.0,0.03938115330520394,0.15719536330223352,556.0,,,,0.0
6,0.2621493118845779,0.02488382551341628,166.0,6671.0,711.0,0.0,0.4117647058823529,0.4117647058823529,0.49264705882352944,0.6176470588235294,0.5507352941176471,0.8676470588235294,0.5686041083099906,1.0,0.03938115330520394,0.16134316134316135,591.0,,,,0.0
7,0.26384669540645583,0.02630399043491257,176.0,6691.0,711.0,0.0,0.22916666666666666,0.22916666666666666,0.3541666666666667,0.5104166666666666,0.39479166666666665,0.6979166666666666,0.4323743386243386,1.0,0.030942334739803096,0.15958049886621314,563.0,,,,0.0
8,0.26554407892833376,0.026634382566585957,176.0,6608.0,711.0,0.0,0.35064935064935066,0.35064935064935066,0.44155844155844165,0.5584415584415584,0.48766233766233774,0.7662337662337663,0.5182230467944755,1.0,0.0379746835443038,0.16255025847214244,566.0,,,,0.0
9,0.26726075089932394,0.026433026433026433,178.0,6734.0,711.0,0.0,0.2826086956521739,0.2826086956521739,0.4094202898550725,0.5978260869565217,0.45507246376811594,0.8043478260869565,0.480533988957902,1.0,0.03656821378340366,0.1630938586326767,563.0,,,,0.0
10,0.268659163459962,0.021761969082995648,145.0,6663.0,711.0,0.0,0.2054794520547945,0.2054794520547945,0.3515981735159817,0.5342465753424658,0.3817351598173516,0.6712328767123288,0.4264079147640792,1.0,0.02109704641350211,0.15988857938718662,574.0,2.089430894308943,0.0609638360992482,0.011812166988116345,0.0
11,0.27033725853272766,0.025546909411246512,174.0,6811.0,711.0,0.0,0.2159090909090909,0.2159090909090909,0.3598484848484848,0.5340909090909091,0.3967803030303031,0.6931818181818182,0.4384785353535354,1.0,0.026722925457102673,0.1578503095104108,561.0,,,,0.0
12,0.2717935364407025,0.022754671488848705,151.0,6636.0,711.0,0.0,0.25333333333333335,0.25333333333333335,0.35999999999999993,0.5066666666666667,0.4,0.68,0.444037037037037,1.0,0.026722925457102673,0.15736766809728184,550.0,,,,0.0
13,0.27292191071376903,0.017447062332239784,117.0,6706.0,711.0,0.0,0.29508196721311475,0.29508196721311475,0.3879781420765027,0.5081967213114754,0.444535519125683,0.7540983606557377,0.4764246682279469,1.0,0.02531645569620253,0.16046319272125723,582.0,,,,0.0
14,0.2744264097445245,0.023135103069850217,156.0,6743.0,711.0,0.0,0.2571428571428571,0.2571428571428571,0.3928571428571428,0.5571428571428572,0.4321428571428571,0.7285714285714285,0.47175170068027217,1.0,0.02531645569620253,0.15639810426540285,561.0,,,,0.0
15,0.27573802428415745,0.020241107307635064,136.0,6719.0,711.0,0.0,0.2028985507246377,0.2028985507246377,0.36473429951690817,0.5652173913043478,0.3929951690821256,0.6811594202898551,0.4360766045548654,1.0,0.01969057665260197,0.16008134805345728,551.0,,,,0.0
16,0.277020706150122,0.019683291401509546,133.0,6757.0,711.0,0.0,0.23880597014925373,0.23880597014925373,0.3482587064676616,0.4925373134328358,0.4124378109452736,0.7761194029850746,0.44080786543473105,1.0,0.02250351617440225,0.15711490075482248,562.0,,,,0.0
17,0.27798512860573443,0.01488316713796696,100.0,6719.0,711.0,0.0,0.18181818181818182,0.18181818181818182,0.3106060606060606,0.5,0.36287878787878786,0.7272727272727273,0.3995670995670996,1.0,0.016877637130801686,0.16083119840592086,565.0,,,,0.0
18,0.2794028296154848,0.021888028588445504,147.0,6716.0,711.0,0.0,0.22666666666666666,0.22666666666666666,0.3444444444444445,0.49333333333333335,0.39844444444444443,0.7333333333333333,0.43316931216931226,1.0,0.02390998593530239,0.15903890160183065,556.0,,,,0.0
19,0.28056013656221973,0.017985611510791366,120.0,6672.0,711.0,0.0,0.3018867924528302,0.3018867924528302,0.44968553459119504,0.660377358490566,0.4742138364779874,0.7735849056603774,0.5045747229709494,1.0,0.02250351617440225,0.15577190542420027,560.0,,,,0.0
20,0.2816981550598424,0.017502224859092256,118.0,6742.0,711.0,0.0,0.32075471698113206,0.32075471698113206,0.4433962264150943,0.6226415094339622,0.4735849056603773,0.7547169811320755,0.5052111410601976,1.0,0.02390998593530239,0.1598314606741573,569.0,2.161290322580645,0.056139514353810115,0.02073062159068751,0.0
21,0.28293261580302637,0.019138755980861243,128.0,6688.0,711.0,0.0,0.1774193548387097,0.1774193548387097,0.3333333333333333,0.5483870967741935,0.37284946236559136,0.7258064516129032,0.40863415258576546,1.0,0.015471167369901548,0.16192937123169682,564.0,,,,0.0
22,0.2840513458515368,0.01729020718437919,116.0,6709.0,711.0,0.0,0.24561403508771928,0.24561403508771928,0.3508771929824561,0.5087719298245614,0.37543859649122807,0.6140350877192983,0.4266847674742412,1.0,0.01969057665260197,0.16238081479341232,562.0,,,,0.0
23,0.28521829702282786,0.018024728139430953,121.0,6713.0,711.0,0.0,0.2777777777777778,0.2777777777777778,0.35493827160493824,0.46296296296296297,0.38827160493827156,0.6111111111111112,0.4395355673133451,1.0,0.02109704641350211,0.15941193427500722,553.0,,,,0.0
24,0.2865106231133486,0.019726188723686148,134.0,6793.0,711.0,0.0,0.19718309859154928,0.19718309859154928,0.2981220657276995,0.43661971830985913,0.3530516431924883,0.676056338028169,0.39660742231164764,1.0,0.01969057665260197,0.15863453815261044,553.0,,,,0.0
25,0.28751362246718554,0.015688640820636597,104.0,6629.0,711.0,0.0,0.2857142857142857,0.2857142857142857,0.40773809523809523,0.5714285714285714,0.4488095238095238,0.75,0.4813208616780046,1.0,0.02250351617440225,0.16396761133603238,567.0,,,,0.0
26,0.28872879476125723,0.01882845188284519,126.0,6692.0,711.0,0.0,0.16176470588235295,0.16176470588235295,0.28921568627450983,0.47058823529411764,0.32009803921568625,0.6029411764705882,0.37408963585434174,1.0,0.015471167369901548,0.16425531914893618,579.0,,,,0.0
27,0.2896932172168697,0.014821402104639099,100.0,6747.0,711.0,0.0,0.24,0.24,0.39333333333333337,0.56,0.4303333333333333,0.72,0.4654920634920635,1.0,0.016877637130801686,0.15417256011315417,545.0,,,,0.0
28,0.2906769281215944,0.015151515151515152,102.0,6732.0,711.0,0.0,0.22448979591836735,0.22448979591836735,0.3469387755102041,0.4897959183673469,0.3785714285714285,0.6326530612244898,0.4276320051830256,1.0,0.015471167369901548,0.15955631399317405,561.0,,,,0.0
29,0.2919210330893344,0.019427710843373493,129.0,6640.0,711.0,0.0,0.21875,0.21875,0.3177083333333333,0.46875,0.3583333333333333,0.65625,0.4038628472222222,1.0,0.01969057665260197,0.15634807417974322,548.0,,,,0.0
