round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2573271996065156,0.11423418006914174,760.0,6653.0,711.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22784810126582278,0.16724092234296317,631.0,2.009009009009009,0.06695331432983917,0.013348386937457138,0.0
1,0.2641360221431396,0.10488783241717427,706.0,6731.0,711.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22925457102672292,0.16786762743528155,629.0,,,,0.0
2,0.2696718070383551,0.0861991289983481,574.0,6659.0,711.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18846694796061886,0.1693121693121693,640.0,,,,0.0
3,0.2748218229513256,0.07988032909498878,534.0,6685.0,711.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17862165963431786,0.16662367810162496,646.0,,,,0.0
4,0.28160171281428115,0.10604917785488008,703.0,6629.0,711.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.189873417721519,0.16984732824427481,623.0,,,,0.0
5,0.2874268244461804,0.09052757793764989,604.0,6672.0,711.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18424753867791843,0.16745283018867924,639.0,,,,0.0
6,0.29270221527838053,0.08207051762940736,547.0,6665.0,711.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16033755274261605,0.16489223578291354,635.0,,,,0.0
7,0.29847910578749914,0.08937630558042375,599.0,6702.0,711.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19268635724331926,0.16795110284347595,632.0,,,,0.0
8,0.3041788425001688,0.08926144086995923,591.0,6621.0,711.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19690576652601968,0.16976055959106806,631.0,,,,0.0
9,0.310081107928517,0.0907204269196561,612.0,6746.0,711.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2011251758087201,0.1672993492407809,617.0,,,,0.0
10,0.31528898918882425,0.08081412750673451,540.0,6682.0,711.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.180028129395218,0.17149694230257911,645.0,2.0,0.056077431181306286,0.02676705000932334,0.0
11,0.3209405047787133,0.08627797408716137,586.0,6792.0,711.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2011251758087201,0.1676486341724692,626.0,,,,0.0
12,0.326804193308837,0.09142857142857143,608.0,6650.0,711.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.180028129395218,0.16837009144701454,626.0,,,,0.0
13,0.3312501808292104,0.06891912094483481,461.0,6689.0,711.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1420534458509142,0.16623105070569785,636.0,,,,0.0
14,0.3364194851912932,0.07972631265803956,536.0,6723.0,711.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17158931082981715,0.1626994506931729,622.0,,,,0.0
